"Method","alpha","n","p","seed","s","est_error","TPR","FPR"
"glmnet",0.05,10000,1000,324,10,0.0322618908512135,1,0
"two-step",0.05,10000,1000,325,10,0.18777334860745,1,0.00303030303030303
"two-step+Adaptive Lasso",0.05,10000,1000,325,10,0.274646325191736,1,0.00303030303030303
"two-step oracle",0.05,10000,1000,325,10,0.0141844507642658,NA,NA
"glmnet",0.05,10000,1000,325,10,0.0323755427564152,1,0
"two-step",0.05,10000,1000,326,10,0.0985328317844936,1,0.00101010101010101
"two-step+Adaptive Lasso",0.05,10000,1000,326,10,0.144159769428266,1,0
"two-step oracle",0.05,10000,1000,326,10,0.0162321424602331,NA,NA
"glmnet",0.05,10000,1000,326,10,0.0217916689330052,1,0
"two-step",0.05,10000,1000,327,10,0.171566711249106,1,0.0313131313131313
"two-step+Adaptive Lasso",0.05,10000,1000,327,10,0.392794505485164,1,0.0282828282828283
"two-step oracle",0.05,10000,1000,327,10,0.0190468094084062,NA,NA
"glmnet",0.05,10000,1000,327,10,0.0295018033564517,1,0
"two-step",0.05,10000,1000,328,10,0.102529529599776,1,0.00505050505050505
"two-step+Adaptive Lasso",0.05,10000,1000,328,10,0.161139667505939,1,0
"two-step oracle",0.05,10000,1000,328,10,0.0104905704881258,NA,NA
"glmnet",0.05,10000,1000,328,10,0.0285836878796998,1,0
"two-step",0.05,10000,1000,32,10,0.147363535070733,1,0.00505050505050505
"two-step+Adaptive Lasso",0.05,10000,1000,32,10,0.219275046333373,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,32,10,0.00611436228489252,NA,NA
"glmnet",0.05,10000,1000,32,10,0.027117383068343,1,0
"two-step",0.05,10000,1000,330,10,0.182794395756166,1,0.00707070707070707
"two-step+Adaptive Lasso",0.05,10000,1000,330,10,0.289780955445576,1,0.00606060606060606
"two-step oracle",0.05,10000,1000,330,10,0.0180995098019166,NA,NA
"glmnet",0.05,10000,1000,330,10,0.0319273646999658,1,0
"two-step",0.05,10000,1000,331,10,0.17055687107668,1,0.0464646464646465
"two-step+Adaptive Lasso",0.05,10000,1000,331,10,0.457102324255057,1,0.0424242424242424
"two-step oracle",0.05,10000,1000,331,10,0.011222729350866,NA,NA
"glmnet",0.05,10000,1000,331,10,0.0288318941887598,1,0
"two-step",0.05,10000,1000,332,10,0.114079652034153,1,0.00707070707070707
"two-step+Adaptive Lasso",0.05,10000,1000,332,10,0.283496290883676,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,332,10,0.0109431004945105,NA,NA
"glmnet",0.05,10000,1000,332,10,0.0288012938474162,1,0
"two-step",0.05,10000,1000,334,10,0.143542483075196,1,0.00202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,334,10,0.19030882971011,1,0
"two-step oracle",0.05,10000,1000,334,10,0.0146230658632609,NA,NA
"glmnet",0.05,10000,1000,334,10,0.0293909988857241,1,0
"two-step",0.05,10000,1000,336,10,0.172309426523166,1,0.00606060606060606
"two-step+Adaptive Lasso",0.05,10000,1000,336,10,0.318915225458097,1,0.00606060606060606
"two-step oracle",0.05,10000,1000,336,10,0.00958013588368515,NA,NA
"glmnet",0.05,10000,1000,336,10,0.02294401271704,1,0
"two-step",0.05,10000,1000,337,10,0.154950708094722,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,337,10,0.25088258223697,1,0.00404040404040404
"two-step oracle",0.05,10000,1000,337,10,0.0137189798348217,NA,NA
"glmnet",0.05,10000,1000,337,10,0.0255526425398085,1,0
"two-step",0.05,10000,1000,338,10,0.12330160637679,1,0.00202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,338,10,0.14190395891334,1,0
"two-step oracle",0.05,10000,1000,338,10,0.013422040251727,NA,NA
"glmnet",0.05,10000,1000,338,10,0.0314830965070563,1,0
"two-step",0.05,10000,1000,339,10,0.124562783378661,1,0.0101010101010101
"two-step+Adaptive Lasso",0.05,10000,1000,339,10,0.302201054188437,1,0.0101010101010101
"two-step oracle",0.05,10000,1000,339,10,0.023007220584391,NA,NA
"glmnet",0.05,10000,1000,339,10,0.0360612685917803,1,0
"two-step",0.05,10000,1000,33,10,0.171077821786161,1,0.0262626262626263
"two-step+Adaptive Lasso",0.05,10000,1000,33,10,0.408901904255709,1,0.0232323232323232
"two-step oracle",0.05,10000,1000,33,10,0.00974937242554278,NA,NA
"glmnet",0.05,10000,1000,33,10,0.0282265353179397,1,0
"two-step",0.05,10000,1000,340,10,0.105071977262621,1,0.00505050505050505
"two-step+Adaptive Lasso",0.05,10000,1000,340,10,0.153204202883856,1,0
"two-step oracle",0.05,10000,1000,340,10,0.0168478551515401,NA,NA
"glmnet",0.05,10000,1000,340,10,0.0354481696121753,1,0
"two-step",0.05,10000,1000,341,10,0.150057119600046,1,0.00909090909090909
"two-step+Adaptive Lasso",0.05,10000,1000,341,10,0.311546990895617,1,0.00808080808080808
"two-step oracle",0.05,10000,1000,341,10,0.0152239297410041,NA,NA
"glmnet",0.05,10000,1000,341,10,0.0369421396619162,1,0
"two-step",0.05,10000,1000,342,10,0.128585215716192,1,0.00505050505050505
"two-step+Adaptive Lasso",0.05,10000,1000,342,10,0.258752941867379,1,0.00505050505050505
"two-step oracle",0.05,10000,1000,342,10,0.0144094383368012,NA,NA
"glmnet",0.05,10000,1000,342,10,0.0324508735920248,1,0
"two-step",0.05,10000,1000,343,10,0.143091621233245,1,0.00808080808080808
"two-step+Adaptive Lasso",0.05,10000,1000,343,10,0.302991901410847,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,343,10,0.0129495844671217,NA,NA
"glmnet",0.05,10000,1000,343,10,0.0271246179978062,1,0
"two-step",0.05,10000,1000,344,10,0.133325957536746,1,0.00707070707070707
"two-step+Adaptive Lasso",0.05,10000,1000,344,10,0.268956881519127,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,344,10,0.0129224489572031,NA,NA
"glmnet",0.05,10000,1000,344,10,0.0304895322125409,1,0
"two-step",0.05,10000,1000,345,10,0.0863947347092111,1,0.00909090909090909
"two-step+Adaptive Lasso",0.05,10000,1000,345,10,0.223060671531168,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,345,10,0.00646666981053479,NA,NA
"glmnet",0.05,10000,1000,345,10,0.0344674888205562,1,0
"two-step",0.05,10000,1000,346,10,0.129938480886825,1,0.00505050505050505
"two-step+Adaptive Lasso",0.05,10000,1000,346,10,0.247241207826687,1,0.00505050505050505
"two-step oracle",0.05,10000,1000,346,10,0.0133505362367474,NA,NA
"glmnet",0.05,10000,1000,346,10,0.0218293843743968,1,0
"two-step",0.05,10000,1000,347,10,0.102988515255544,1,0.0101010101010101
"two-step+Adaptive Lasso",0.05,10000,1000,347,10,0.284077067186583,1,0.00909090909090909
"two-step oracle",0.05,10000,1000,347,10,0.0122642403588924,NA,NA
"glmnet",0.05,10000,1000,347,10,0.0327524085278026,1,0
"two-step",0.05,10000,1000,348,10,0.228920516974205,1,0.0252525252525253
"two-step+Adaptive Lasso",0.05,10000,1000,348,10,0.42460877787849,1,0.0232323232323232
"two-step oracle",0.05,10000,1000,348,10,0.0145987431541912,NA,NA
"glmnet",0.05,10000,1000,348,10,0.02971067196516,1,0
"two-step",0.05,10000,1000,349,10,0.181613017435285,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,349,10,0.215118764516907,1,0
"two-step oracle",0.05,10000,1000,349,10,0.0144597409511472,NA,NA
"glmnet",0.05,10000,1000,349,10,0.0268873635344005,1,0
"two-step",0.05,10000,1000,34,10,0.0804554082017355,1,0.00202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,34,10,0.165563143301668,1,0.00202020202020202
"two-step oracle",0.05,10000,1000,34,10,0.00867644381504259,NA,NA
"glmnet",0.05,10000,1000,34,10,0.0288856431581271,1,0
"two-step",0.05,10000,1000,350,10,0.115019826025041,1,0.00808080808080808
"two-step+Adaptive Lasso",0.05,10000,1000,350,10,0.273187694421791,1,0.00606060606060606
"two-step oracle",0.05,10000,1000,350,10,0.012414016681948,NA,NA
"glmnet",0.05,10000,1000,350,10,0.0302443573848626,1,0
"two-step",0.05,10000,1000,351,10,0.133158889692709,1,0.00606060606060606
"two-step+Adaptive Lasso",0.05,10000,1000,351,10,0.189966716640571,1,0
"two-step oracle",0.05,10000,1000,351,10,0.0127229684434533,NA,NA
"glmnet",0.05,10000,1000,351,10,0.0297231420796003,1,0
"two-step",0.05,10000,1000,352,10,0.101729922578883,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,352,10,0.226740887642469,1,0.00404040404040404
"two-step oracle",0.05,10000,1000,352,10,0.0178984998941741,NA,NA
"glmnet",0.05,10000,1000,352,10,0.0281363991336784,1,0
"two-step",0.05,10000,1000,353,10,0.115641097174077,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,353,10,0.237824406513482,1,0.00303030303030303
"two-step oracle",0.05,10000,1000,353,10,0.0113514595648412,NA,NA
"glmnet",0.05,10000,1000,353,10,0.0328312274709612,1,0
"two-step",0.05,10000,1000,354,10,0.100407111629551,1,0.00303030303030303
"two-step+Adaptive Lasso",0.05,10000,1000,354,10,0.185163874412965,1,0.00303030303030303
"two-step oracle",0.05,10000,1000,354,10,0.0165054911908762,NA,NA
"glmnet",0.05,10000,1000,354,10,0.0268482456466447,1,0
"two-step",0.05,10000,1000,359,10,0.107000858495912,1,0.0151515151515152
"two-step+Adaptive Lasso",0.05,10000,1000,359,10,0.336842219008326,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,359,10,0.0146606818988036,NA,NA
"glmnet",0.05,10000,1000,359,10,0.0258978410494264,1,0
"two-step",0.05,10000,1000,35,10,0.109850060197727,1,0.00808080808080808
"two-step+Adaptive Lasso",0.05,10000,1000,35,10,0.284586462683313,1,0.00808080808080808
"two-step oracle",0.05,10000,1000,35,10,0.0110010648475965,NA,NA
"glmnet",0.05,10000,1000,35,10,0.0307915070073957,1,0
"two-step",0.05,10000,1000,360,10,0.140799195878337,1,0.0272727272727273
"two-step+Adaptive Lasso",0.05,10000,1000,360,10,0.438066310406532,1,0.0252525252525253
"two-step oracle",0.05,10000,1000,360,10,0.00926867663522116,NA,NA
"glmnet",0.05,10000,1000,360,10,0.0196588823713629,1,0
"two-step",0.05,10000,1000,361,10,0.133787518563741,1,0.00909090909090909
"two-step+Adaptive Lasso",0.05,10000,1000,361,10,0.29840809084777,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,361,10,0.0136359920841143,NA,NA
"glmnet",0.05,10000,1000,361,10,0.0262300096461769,1,0
"two-step",0.05,10000,1000,362,10,0.12163613303742,1,0.0151515151515152
"two-step+Adaptive Lasso",0.05,10000,1000,362,10,0.296276856832142,1,0.0131313131313131
"two-step oracle",0.05,10000,1000,362,10,0.0104188892657342,NA,NA
"glmnet",0.05,10000,1000,362,10,0.028442270510325,1,0
"two-step",0.05,10000,1000,363,10,0.0894181179078431,1,0.00101010101010101
"two-step+Adaptive Lasso",0.05,10000,1000,363,10,0.187317944905979,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,363,10,0.0240013886064716,NA,NA
"glmnet",0.05,10000,1000,363,10,0.0299275631614156,1,0
"two-step",0.05,10000,1000,364,10,0.103434619964535,1,0.00505050505050505
"two-step+Adaptive Lasso",0.05,10000,1000,364,10,0.249421090335908,1,0.00505050505050505
"two-step oracle",0.05,10000,1000,364,10,0.00914112126413818,NA,NA
"glmnet",0.05,10000,1000,364,10,0.0299565805502142,1,0
"two-step",0.05,10000,1000,365,10,0.211877858973369,1,0.0484848484848485
"two-step+Adaptive Lasso",0.05,10000,1000,365,10,0.513055946528634,1,0.0474747474747475
"two-step oracle",0.05,10000,1000,365,10,0.0203279202399688,NA,NA
"glmnet",0.05,10000,1000,365,10,0.0412630111685224,1,0
"two-step",0.05,10000,1000,367,10,0.132437220123463,1,0.0121212121212121
"two-step+Adaptive Lasso",0.05,10000,1000,367,10,0.285213246698124,1,0.0101010101010101
"two-step oracle",0.05,10000,1000,367,10,0.0235100422713173,NA,NA
"glmnet",0.05,10000,1000,367,10,0.0350524468392418,1,0
"two-step",0.05,10000,1000,368,10,0.166984343397949,1,0.00505050505050505
"two-step+Adaptive Lasso",0.05,10000,1000,368,10,0.261714172348469,1,0.00303030303030303
"two-step oracle",0.05,10000,1000,368,10,0.0178759469262668,NA,NA
"glmnet",0.05,10000,1000,368,10,0.0330524571046318,1,0
"two-step",0.05,10000,1000,369,10,0.117284725983268,1,0.0101010101010101
"two-step+Adaptive Lasso",0.05,10000,1000,369,10,0.272180030060435,1,0.0101010101010101
"two-step oracle",0.05,10000,1000,369,10,0.0133962173199162,NA,NA
"glmnet",0.05,10000,1000,369,10,0.0240748048304765,1,0
"two-step",0.05,10000,1000,36,10,0.0898415070701513,1,0.00303030303030303
"two-step+Adaptive Lasso",0.05,10000,1000,36,10,0.155063697420523,1,0
"two-step oracle",0.05,10000,1000,36,10,0.00911625154529811,NA,NA
"glmnet",0.05,10000,1000,36,10,0.0286645845371545,1,0
"two-step",0.05,10000,1000,374,10,0.112438106847085,1,0.0111111111111111
"two-step+Adaptive Lasso",0.05,10000,1000,374,10,0.161710479896788,1,0
"two-step oracle",0.05,10000,1000,374,10,0.0105054077721854,NA,NA
"glmnet",0.05,10000,1000,374,10,0.0267653459655505,1,0
"two-step",0.05,10000,1000,375,10,0.19726641241316,1,0.0161616161616162
"two-step+Adaptive Lasso",0.05,10000,1000,375,10,0.404113619285929,1,0.0161616161616162
"two-step oracle",0.05,10000,1000,375,10,0.0141275739526062,NA,NA
"glmnet",0.05,10000,1000,375,10,0.0298610371040315,1,0
"two-step",0.05,10000,1000,376,10,0.133320030626819,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,376,10,0.179032899226804,1,0
"two-step oracle",0.05,10000,1000,376,10,0.0257231272677608,NA,NA
"glmnet",0.05,10000,1000,376,10,0.0378217378689867,1,0
"two-step",0.05,10000,1000,377,10,0.125783992523726,1,0.0121212121212121
"two-step+Adaptive Lasso",0.05,10000,1000,377,10,0.316740793278496,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,377,10,0.0157183172264941,NA,NA
"glmnet",0.05,10000,1000,377,10,0.0298220900645003,1,0
"two-step",0.05,10000,1000,37,10,0.13351339093551,1,0.0101010101010101
"two-step+Adaptive Lasso",0.05,10000,1000,37,10,0.28216073628727,1,0.00808080808080808
"two-step oracle",0.05,10000,1000,37,10,0.00418574528625947,NA,NA
"glmnet",0.05,10000,1000,37,10,0.0263009763256278,1,0
"two-step",0.05,10000,1000,381,10,0.132964207217773,1,0.00909090909090909
"two-step+Adaptive Lasso",0.05,10000,1000,381,10,0.328625351385329,1,0.00909090909090909
"two-step oracle",0.05,10000,1000,381,10,0.0170936854948855,NA,NA
"glmnet",0.05,10000,1000,381,10,0.0335288666970586,1,0
"two-step",0.05,10000,1000,382,10,0.259432628675884,1,0.00606060606060606
"two-step+Adaptive Lasso",0.05,10000,1000,382,10,0.359072668788769,1,0.00606060606060606
"two-step oracle",0.05,10000,1000,382,10,0.0177937860272851,NA,NA
"glmnet",0.05,10000,1000,382,10,0.0293911398431686,1,0
"two-step",0.05,10000,1000,383,10,0.183160443620661,1,0.00707070707070707
"two-step+Adaptive Lasso",0.05,10000,1000,383,10,0.315124365597196,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,383,10,0.0160212519752199,NA,NA
"glmnet",0.05,10000,1000,383,10,0.0246668375833044,1,0
"two-step",0.05,10000,1000,384,10,0.165633906844339,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,384,10,0.238908490453277,1,0
"two-step oracle",0.05,10000,1000,384,10,0.0092687806950247,NA,NA
"glmnet",0.05,10000,1000,384,10,0.0271976572154702,1,0
"two-step",0.05,10000,1000,385,10,0.115787359353892,1,0.00707070707070707
"two-step+Adaptive Lasso",0.05,10000,1000,385,10,0.24786258412478,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,385,10,0.0179273492652221,NA,NA
"glmnet",0.05,10000,1000,385,10,0.0315702257176552,1,0
"two-step",0.05,10000,1000,386,10,0.0828601370994725,1,0.00505050505050505
"two-step+Adaptive Lasso",0.05,10000,1000,386,10,0.132634525390707,1,0
"two-step oracle",0.05,10000,1000,386,10,0.0172033439562131,NA,NA
"glmnet",0.05,10000,1000,386,10,0.0330847366956568,1,0
"two-step",0.05,10000,1000,387,10,0.13673960617966,1,0.0191919191919192
"two-step+Adaptive Lasso",0.05,10000,1000,387,10,0.34788398166718,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,387,10,0.0119351739479665,NA,NA
"glmnet",0.05,10000,1000,387,10,0.0271804352220522,1,0
"two-step",0.05,10000,1000,388,10,0.135933581688742,1,0.0171717171717172
"two-step+Adaptive Lasso",0.05,10000,1000,388,10,0.341911089550426,1,0.0171717171717172
"two-step oracle",0.05,10000,1000,388,10,0.0189972807629073,NA,NA
"glmnet",0.05,10000,1000,388,10,0.0319504537884243,1,0
"two-step",0.05,10000,1000,389,10,0.125070953585991,1,0.00505050505050505
"two-step+Adaptive Lasso",0.05,10000,1000,389,10,0.178460345006599,1,0
"two-step oracle",0.05,10000,1000,389,10,0.0107077877929344,NA,NA
"glmnet",0.05,10000,1000,389,10,0.0314105304102095,1,0
"two-step",0.05,10000,1000,38,10,0.125344978939102,1,0.00101010101010101
"two-step+Adaptive Lasso",0.05,10000,1000,38,10,0.150486224974627,1,0
"two-step oracle",0.05,10000,1000,38,10,0.0133254773065058,NA,NA
"glmnet",0.05,10000,1000,38,10,0.0240917848354949,1,0
"two-step",0.05,10000,1000,390,10,0.0967935588223117,1,0.00909090909090909
"two-step+Adaptive Lasso",0.05,10000,1000,390,10,0.15864920137159,1,0
"two-step oracle",0.05,10000,1000,390,10,0.0181337705822383,NA,NA
"glmnet",0.05,10000,1000,390,10,0.0296670131749972,1,0
"two-step",0.05,10000,1000,391,10,0.204214730162716,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,391,10,0.310209573437373,1,0.00404040404040404
"two-step oracle",0.05,10000,1000,391,10,0.0217611769904116,NA,NA
"glmnet",0.05,10000,1000,391,10,0.0334227697818515,1,0
"two-step",0.05,10000,1000,392,10,0.144336192654753,1,0.00101010101010101
"two-step+Adaptive Lasso",0.05,10000,1000,392,10,0.180179087419708,1,0
"two-step oracle",0.05,10000,1000,392,10,0.0216570967968013,NA,NA
"glmnet",0.05,10000,1000,392,10,0.0282690489257626,1,0
"two-step",0.05,10000,1000,393,10,0.111888210020283,1,0.00707070707070707
"two-step+Adaptive Lasso",0.05,10000,1000,393,10,0.260098907300662,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,393,10,0.0130117955561574,NA,NA
"glmnet",0.05,10000,1000,393,10,0.0259368304880104,1,0
"two-step",0.05,10000,1000,394,10,0.200748352024091,1,0.0222222222222222
"two-step+Adaptive Lasso",0.05,10000,1000,394,10,0.441840641459797,1,0.0202020202020202
"two-step oracle",0.05,10000,1000,394,10,0.0182756959038908,NA,NA
"glmnet",0.05,10000,1000,394,10,0.0259855891847271,1,0
"two-step",0.05,10000,1000,395,10,0.140217388220161,1,0.00202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,395,10,0.209674627882197,1,0
"two-step oracle",0.05,10000,1000,395,10,0.0154677591272515,NA,NA
"glmnet",0.05,10000,1000,395,10,0.0279499723157782,1,0
"two-step",0.05,10000,1000,396,10,0.104712077551798,1,0.00707070707070707
"two-step+Adaptive Lasso",0.05,10000,1000,396,10,0.152549294463483,1,0
"two-step oracle",0.05,10000,1000,396,10,0.0192282107137969,NA,NA
"glmnet",0.05,10000,1000,396,10,0.0335024932494364,1,0
"two-step",0.05,10000,1000,397,10,0.144752058610537,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,397,10,0.241066447025795,1,0.00404040404040404
"two-step oracle",0.05,10000,1000,397,10,0.0145243794259667,NA,NA
"glmnet",0.05,10000,1000,397,10,0.0276607798870587,1,0
"two-step",0.05,10000,1000,398,10,0.198065513788564,1,0.0171717171717172
"two-step+Adaptive Lasso",0.05,10000,1000,398,10,0.353748115680982,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,398,10,0.0129189163749615,NA,NA
"glmnet",0.05,10000,1000,398,10,0.030937178733164,1,0
"two-step",0.05,10000,1000,399,10,0.128254661731284,1,0.00202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,399,10,0.192877395188947,1,0.00202020202020202
"two-step oracle",0.05,10000,1000,399,10,0.00989975920524803,NA,NA
"glmnet",0.05,10000,1000,399,10,0.0284649270034473,1,0
"two-step",0.05,10000,1000,39,10,0.0756586616285886,1,0
"two-step+Adaptive Lasso",0.05,10000,1000,39,10,0.143373046011593,1,0
"two-step oracle",0.05,10000,1000,39,10,0.0129293247928816,NA,NA
"glmnet",0.05,10000,1000,39,10,0.0282084209365229,1,0
"two-step",0.05,10000,1000,3,10,0.125640160465829,1,0.00202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,3,10,0.194191376071044,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,3,10,0.0180238340535242,NA,NA
"glmnet",0.05,10000,1000,3,10,0.0282209510837879,1,0
"two-step",0.05,10000,1000,400,10,0.151982217401937,1,0.0202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,400,10,0.346721738271065,1,0.0181818181818182
"two-step oracle",0.05,10000,1000,400,10,0.0130374950381273,NA,NA
"glmnet",0.05,10000,1000,400,10,0.0306874010501948,1,0
"two-step",0.05,10000,1000,401,10,0.188677249211241,1,0.00707070707070707
"two-step+Adaptive Lasso",0.05,10000,1000,401,10,0.290969082180145,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,401,10,0.0167368076303845,NA,NA
"glmnet",0.05,10000,1000,401,10,0.0368439596702143,1,0
"two-step",0.05,10000,1000,402,10,0.139494412840176,1,0.00505050505050505
"two-step+Adaptive Lasso",0.05,10000,1000,402,10,0.198635573449765,1,0
"two-step oracle",0.05,10000,1000,402,10,0.0146315726321801,NA,NA
"glmnet",0.05,10000,1000,402,10,0.0237827788476618,1,0
"two-step",0.05,10000,1000,403,10,0.0770193013781936,1,0.00202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,403,10,0.135724335856466,1,0
"two-step oracle",0.05,10000,1000,403,10,0.0153246283054825,NA,NA
"glmnet",0.05,10000,1000,403,10,0.0303966974266226,1,0
"two-step",0.05,10000,1000,404,10,0.165553938981589,1,0.0131313131313131
"two-step+Adaptive Lasso",0.05,10000,1000,404,10,0.342630855542195,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,404,10,0.0187420328822107,NA,NA
"glmnet",0.05,10000,1000,404,10,0.0347897206714653,1,0
"two-step",0.05,10000,1000,405,10,0.216552542572743,1,0.0242424242424242
"two-step+Adaptive Lasso",0.05,10000,1000,405,10,0.437536267813713,1,0.0222222222222222
"two-step oracle",0.05,10000,1000,405,10,0.00759921649487043,NA,NA
"glmnet",0.05,10000,1000,405,10,0.0248815335993538,1,0
"two-step",0.05,10000,1000,406,10,0.120224718667576,1,0
"two-step+Adaptive Lasso",0.05,10000,1000,406,10,0.184072799200885,1,0
"two-step oracle",0.05,10000,1000,406,10,0.0113360917729247,NA,NA
"glmnet",0.05,10000,1000,406,10,0.0264295711424896,1,0
"two-step",0.05,10000,1000,407,10,0.132424897527302,1,0.0161616161616162
"two-step+Adaptive Lasso",0.05,10000,1000,407,10,0.313049938409664,1,0.0151515151515152
"two-step oracle",0.05,10000,1000,407,10,0.0185796954974417,NA,NA
"glmnet",0.05,10000,1000,407,10,0.0312780810548665,1,0
"two-step",0.05,10000,1000,408,10,0.135988763137172,1,0.0151515151515152
"two-step+Adaptive Lasso",0.05,10000,1000,408,10,0.193301956724876,1,0
"two-step oracle",0.05,10000,1000,408,10,0.0216201985471581,NA,NA
"glmnet",0.05,10000,1000,408,10,0.0282847433471211,1,0
"two-step",0.05,10000,1000,409,10,0.112244662440505,1,0.0212121212121212
"two-step+Adaptive Lasso",0.05,10000,1000,409,10,0.346538469597576,1,0.0212121212121212
"two-step oracle",0.05,10000,1000,409,10,0.013007058944316,NA,NA
"glmnet",0.05,10000,1000,409,10,0.0261647203469115,1,0
"two-step",0.05,10000,1000,40,10,0.161897280137766,1,0.0161616161616162
"two-step+Adaptive Lasso",0.05,10000,1000,40,10,0.372881860150645,1,0.0151515151515152
"two-step oracle",0.05,10000,1000,40,10,0.0219844373059136,NA,NA
"glmnet",0.05,10000,1000,40,10,0.0322725544465695,1,0
"two-step",0.05,10000,1000,410,10,0.124274845735781,1,0.0101010101010101
"two-step+Adaptive Lasso",0.05,10000,1000,410,10,0.271486060757965,1,0.00909090909090909
"two-step oracle",0.05,10000,1000,410,10,0.010874551320598,NA,NA
"glmnet",0.05,10000,1000,410,10,0.0246320638556596,1,0
"two-step",0.05,10000,1000,411,10,0.0829682028883366,1,0
"two-step+Adaptive Lasso",0.05,10000,1000,411,10,0.0871305452196728,1,0
"two-step oracle",0.05,10000,1000,411,10,0.0118184969532632,NA,NA
"glmnet",0.05,10000,1000,411,10,0.0350701252789556,1,0
"two-step",0.05,10000,1000,412,10,0.114160847702007,1,0.00101010101010101
"two-step+Adaptive Lasso",0.05,10000,1000,412,10,0.195034889838652,1,0
"two-step oracle",0.05,10000,1000,412,10,0.00894488716866181,NA,NA
"glmnet",0.05,10000,1000,412,10,0.0219496614698874,1,0
"two-step",0.05,10000,1000,414,10,0.14377674391013,1,0.0121212121212121
"two-step+Adaptive Lasso",0.05,10000,1000,414,10,0.325958499983399,1,0.0111111111111111
"two-step oracle",0.05,10000,1000,414,10,0.0154170113686758,NA,NA
"glmnet",0.05,10000,1000,414,10,0.0278630559127208,1,0
"two-step",0.05,10000,1000,417,10,0.109859173461688,1,0.0171717171717172
"two-step+Adaptive Lasso",0.05,10000,1000,417,10,0.359528388185499,1,0.0151515151515152
"two-step oracle",0.05,10000,1000,417,10,0.0100087197453443,NA,NA
"glmnet",0.05,10000,1000,417,10,0.0310821801658424,1,0
"two-step",0.05,10000,1000,418,10,0.142933547112935,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,418,10,0.205495433628432,1,0
"two-step oracle",0.05,10000,1000,418,10,0.0201600856852221,NA,NA
"glmnet",0.05,10000,1000,418,10,0.0296098620074869,1,0
"two-step",0.05,10000,1000,419,10,0.128769378664017,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,419,10,0.236527790460845,1,0.00404040404040404
"two-step oracle",0.05,10000,1000,419,10,0.00717980852725928,NA,NA
"glmnet",0.05,10000,1000,419,10,0.0302879706240243,1,0
"two-step",0.05,10000,1000,41,10,0.115570026532499,1,0.00202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,41,10,0.182222604992919,1,0
"two-step oracle",0.05,10000,1000,41,10,0.0161964077501902,NA,NA
"glmnet",0.05,10000,1000,41,10,0.0302245164547268,1,0
"two-step",0.05,10000,1000,420,10,0.220651023960842,1,0.00909090909090909
"two-step+Adaptive Lasso",0.05,10000,1000,420,10,0.337303854104787,1,0.00909090909090909
"two-step oracle",0.05,10000,1000,420,10,0.0153475977685371,NA,NA
"glmnet",0.05,10000,1000,420,10,0.0206333132620946,1,0
"two-step",0.05,10000,1000,421,10,0.177992258004543,1,0.00202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,421,10,0.257821640237445,1,0.00202020202020202
"two-step oracle",0.05,10000,1000,421,10,0.0173450858382405,NA,NA
"glmnet",0.05,10000,1000,421,10,0.0325635100737684,1,0
"two-step",0.05,10000,1000,422,10,0.130470355860295,1,0.00505050505050505
"two-step+Adaptive Lasso",0.05,10000,1000,422,10,0.166012632190546,1,0
