"Method","alpha","n","p","seed","s","est_error","TPR","FPR"
"glmnet",0.05,10000,1000,129,10,0.0172326092069087,1,0
"two-step",0.05,10000,1000,12,10,0.211491045143751,1,0.0373737373737374
"two-step+Adaptive Lasso",0.05,10000,1000,12,10,0.47474237156609,1,0.0323232323232323
"two-step oracle",0.05,10000,1000,12,10,0.01197856596627,NA,NA
"glmnet",0.05,10000,1000,12,10,0.0267431286495887,1,0
"two-step",0.05,10000,1000,130,10,0.171454026543477,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,130,10,0.233713027127946,1,0
"two-step oracle",0.05,10000,1000,130,10,0.0146294427166798,NA,NA
"glmnet",0.05,10000,1000,130,10,0.0321248551424226,1,0
"two-step",0.05,10000,1000,133,10,0.170695588074625,1,0.00101010101010101
"two-step+Adaptive Lasso",0.05,10000,1000,133,10,0.239970753375566,1,0
"two-step oracle",0.05,10000,1000,133,10,0.0100383749928949,NA,NA
"glmnet",0.05,10000,1000,133,10,0.0180674473453701,1,0
"two-step",0.05,10000,1000,136,10,0.186701275315103,1,0.0121212121212121
"two-step+Adaptive Lasso",0.05,10000,1000,136,10,0.325676632094191,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,136,10,0.0204155528231821,NA,NA
"glmnet",0.05,10000,1000,136,10,0.0260926179486092,1,0
"two-step",0.05,10000,1000,138,10,0.102849782048817,1,0.00707070707070707
"two-step+Adaptive Lasso",0.05,10000,1000,138,10,0.165303839117249,1,0
"two-step oracle",0.05,10000,1000,138,10,0.0163888550427932,NA,NA
"glmnet",0.05,10000,1000,138,10,0.0280294684730024,1,0
"two-step",0.05,10000,1000,13,10,0.0716649390304464,1,0.00101010101010101
"two-step+Adaptive Lasso",0.05,10000,1000,13,10,0.121433274621516,1,0
"two-step oracle",0.05,10000,1000,13,10,0.00868026351774961,NA,NA
"glmnet",0.05,10000,1000,13,10,0.0240653850391612,1,0
"two-step",0.05,10000,1000,144,10,0.149106103337452,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,144,10,0.25410326514154,1,0.00404040404040404
"two-step oracle",0.05,10000,1000,144,10,0.0135507710405426,NA,NA
"glmnet",0.05,10000,1000,144,10,0.0368333424637315,1,0
"two-step",0.05,10000,1000,145,10,0.0938761240014615,1,0.0101010101010101
"two-step+Adaptive Lasso",0.05,10000,1000,145,10,0.245805971544017,1,0.0101010101010101
"two-step oracle",0.05,10000,1000,145,10,0.01840571336393,NA,NA
"glmnet",0.05,10000,1000,145,10,0.0308164074273175,1,0
"two-step",0.05,10000,1000,146,10,0.135990633625572,1,0.00202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,146,10,0.185107167812761,1,0
"two-step oracle",0.05,10000,1000,146,10,0.0128535640593129,NA,NA
"glmnet",0.05,10000,1000,146,10,0.0241908210559537,1,0
"two-step",0.05,10000,1000,147,10,0.110901737018111,1,0.0151515151515152
"two-step+Adaptive Lasso",0.05,10000,1000,147,10,0.308956886053905,1,0.0131313131313131
"two-step oracle",0.05,10000,1000,147,10,0.0158811396853977,NA,NA
"glmnet",0.05,10000,1000,147,10,0.0292256213678444,1,0
"two-step",0.05,10000,1000,148,10,0.153625897159745,1,0.00505050505050505
"two-step+Adaptive Lasso",0.05,10000,1000,148,10,0.278368384462252,1,0.00505050505050505
"two-step oracle",0.05,10000,1000,148,10,0.0206875978222333,NA,NA
"glmnet",0.05,10000,1000,148,10,0.0333669094416277,1,0
"two-step",0.05,10000,1000,149,10,0.113706224547333,1,0.00202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,149,10,0.168363330938962,1,0
"two-step oracle",0.05,10000,1000,149,10,0.0144404123922789,NA,NA
"glmnet",0.05,10000,1000,149,10,0.0256425917905531,1,0
"two-step",0.05,10000,1000,14,10,0.105565412999277,1,0.00909090909090909
"two-step+Adaptive Lasso",0.05,10000,1000,14,10,0.284309915100079,1,0.00909090909090909
"two-step oracle",0.05,10000,1000,14,10,0.0153311402023551,NA,NA
"glmnet",0.05,10000,1000,14,10,0.0276624251102153,1,0
"two-step",0.05,10000,1000,150,10,0.279512554812019,1,0.0252525252525253
"two-step+Adaptive Lasso",0.05,10000,1000,150,10,0.510910778074881,1,0.0212121212121212
"two-step oracle",0.05,10000,1000,150,10,0.021076129152628,NA,NA
"glmnet",0.05,10000,1000,150,10,0.0344995744981036,1,0
"two-step",0.05,10000,1000,151,10,0.118539232502163,1,0.0141414141414141
"two-step+Adaptive Lasso",0.05,10000,1000,151,10,0.340200061352968,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,151,10,0.0214489932133809,NA,NA
"glmnet",0.05,10000,1000,151,10,0.0327569408900318,1,0
"two-step",0.05,10000,1000,152,10,0.1457659964194,1,0.00101010101010101
"two-step+Adaptive Lasso",0.05,10000,1000,152,10,0.192563174512914,1,0
"two-step oracle",0.05,10000,1000,152,10,0.012002472054452,NA,NA
"glmnet",0.05,10000,1000,152,10,0.0259697486633549,1,0
"two-step",0.05,10000,1000,153,10,0.114921131544768,1,0.00909090909090909
"two-step+Adaptive Lasso",0.05,10000,1000,153,10,0.269234398309062,1,0.00808080808080808
"two-step oracle",0.05,10000,1000,153,10,0.0191806764342907,NA,NA
"glmnet",0.05,10000,1000,153,10,0.0388383585132144,1,0
"two-step",0.05,10000,1000,154,10,0.218046538905088,1,0.0525252525252525
"two-step+Adaptive Lasso",0.05,10000,1000,154,10,0.551216475365194,1,0.0484848484848485
"two-step oracle",0.05,10000,1000,154,10,0.00985485419474452,NA,NA
"glmnet",0.05,10000,1000,154,10,0.0291041236080834,1,0
"two-step",0.05,10000,1000,155,10,0.0680215722780295,1,0.00909090909090909
"two-step+Adaptive Lasso",0.05,10000,1000,155,10,0.27387382308333,1,0.00909090909090909
"two-step oracle",0.05,10000,1000,155,10,0.00776793828253832,NA,NA
"glmnet",0.05,10000,1000,155,10,0.0258890091334981,1,0
"two-step",0.05,10000,1000,156,10,0.176716100792136,1,0.0161616161616162
"two-step+Adaptive Lasso",0.05,10000,1000,156,10,0.332951543951601,1,0.0131313131313131
"two-step oracle",0.05,10000,1000,156,10,0.0123322123183067,NA,NA
"glmnet",0.05,10000,1000,156,10,0.0294523963206114,1,0
"two-step",0.05,10000,1000,157,10,0.134683059819591,1,0.0161616161616162
"two-step+Adaptive Lasso",0.05,10000,1000,157,10,0.315987285654558,1,0.0151515151515152
"two-step oracle",0.05,10000,1000,157,10,0.0193464392238905,NA,NA
"glmnet",0.05,10000,1000,157,10,0.0308096139054847,1,0
"two-step",0.05,10000,1000,158,10,0.134737293896968,1,0
"two-step+Adaptive Lasso",0.05,10000,1000,158,10,0.163994130658845,1,0
"two-step oracle",0.05,10000,1000,158,10,0.00748643206894403,NA,NA
"glmnet",0.05,10000,1000,158,10,0.0247172042752682,1,0
"two-step",0.05,10000,1000,159,10,0.108897934277636,1,0.00707070707070707
"two-step+Adaptive Lasso",0.05,10000,1000,159,10,0.273383320938904,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,159,10,0.0142967161099508,NA,NA
"glmnet",0.05,10000,1000,159,10,0.0317526525068815,1,0
"two-step",0.05,10000,1000,15,10,0.148219661229561,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,15,10,0.278287678151937,1,0.00404040404040404
"two-step oracle",0.05,10000,1000,15,10,0.00894283647859775,NA,NA
"glmnet",0.05,10000,1000,15,10,0.0213199652325043,1,0
"two-step",0.05,10000,1000,160,10,0.11193011458453,1,0.0121212121212121
