"Method","alpha","n","p","seed","s","est_error","est_error_FP","TPR","FPR"
"two-step",0.05,10000,1000,119,10,0.124426264763544,0.0517711621778782,1,0.0262626262626263
"two-step+refitted",0.05,10000,1000,119,10,0.0663561953539784,0.23901437640583,1,0.0262626262626263
"two-step oracle",0.05,10000,1000,119,10,0.0682088986518347,0,NA,NA
"two-step",0.05,10000,1000,11,10,0.131797685315303,0.0861503503197568,1,0.0717171717171717
"two-step+refitted",0.05,10000,1000,11,10,0.0645516157475357,0.341708419150241,1,0.0717171717171717
"two-step oracle",0.05,10000,1000,11,10,0.0784955469650322,0,NA,NA
"two-step",0.05,10000,1000,120,10,0.141093422168712,0.0941610375450388,1,0.0656565656565657
"two-step+refitted",0.05,10000,1000,120,10,0.0549868371315749,0.32783079034767,1,0.0656565656565657
"two-step oracle",0.05,10000,1000,120,10,0.0490153320298059,0,NA,NA
"two-step",0.05,10000,1000,121,10,0.134069128272656,0.0566051183778828,1,0.0393939393939394
"two-step+refitted",0.05,10000,1000,121,10,0.036331050237973,0.26907405415514,1,0.0393939393939394
"two-step oracle",0.05,10000,1000,121,10,0.0388837532193896,0,NA,NA
"two-step",0.05,10000,1000,122,10,0.126263429488075,0.0767556236916674,1,0.0626262626262626
"two-step+refitted",0.05,10000,1000,122,10,0.0561454509044089,0.320576200595885,1,0.0626262626262626
"two-step oracle",0.05,10000,1000,122,10,0.0540953670059953,0,NA,NA
"two-step",0.05,10000,1000,123,10,0.115806815094406,0.0512767818744767,1,0.0333333333333333
"two-step+refitted",0.05,10000,1000,123,10,0.0556047542979771,0.258768151150046,1,0.0333333333333333
"two-step oracle",0.05,10000,1000,123,10,0.0541522496730916,0,NA,NA
"two-step",0.05,10000,1000,124,10,0.119678251734724,0.0876654680292041,1,0.0787878787878788
"two-step+refitted",0.05,10000,1000,124,10,0.0714885633473803,0.332279607412188,1,0.0787878787878788
"two-step oracle",0.05,10000,1000,124,10,0.0779056470996288,0,NA,NA
"two-step",0.05,10000,1000,125,10,0.136131658239831,0.0362440540895663,1,0.0121212121212121
"two-step+refitted",0.05,10000,1000,125,10,0.0619064996240951,0.177551614638386,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,125,10,0.0667984402699505,0,NA,NA
"two-step",0.05,10000,1000,126,10,0.129795980902029,0.054771897072023,1,0.0393939393939394
"two-step+refitted",0.05,10000,1000,126,10,0.0765083262734679,0.287318170044714,1,0.0393939393939394
"two-step oracle",0.05,10000,1000,126,10,0.0754349413681498,0,NA,NA
"two-step",0.05,10000,1000,127,10,0.140197258631713,0.0671944727227153,1,0.0484848484848485
"two-step+refitted",0.05,10000,1000,127,10,0.0607486084839386,0.299795205612149,1,0.0484848484848485
"two-step oracle",0.05,10000,1000,127,10,0.0659106469304799,0,NA,NA
"two-step",0.05,10000,1000,128,10,0.122016627747467,0.113712022038586,1,0.0868686868686869
"two-step+refitted",0.05,10000,1000,128,10,0.0428068328079466,0.380262855233122,1,0.0868686868686869
"two-step oracle",0.05,10000,1000,128,10,0.0435737892188549,0,NA,NA
"two-step",0.05,10000,1000,129,10,0.102451359895298,0.0382091236154114,1,0.0252525252525253
"two-step+refitted",0.05,10000,1000,129,10,0.0536758441795395,0.237650246905567,1,0.0252525252525253
"two-step oracle",0.05,10000,1000,129,10,0.046383866958749,0,NA,NA
"two-step",0.05,10000,1000,12,10,0.149849961616132,0.0225741652221192,1,0.0181818181818182
"two-step+refitted",0.05,10000,1000,12,10,0.0650220265058352,0.182961151318895,1,0.0181818181818182
"two-step oracle",0.05,10000,1000,12,10,0.0608896405216438,0,NA,NA
"two-step",0.05,10000,1000,130,10,0.155622999755119,0.0651992244357532,1,0.0505050505050505
"two-step+refitted",0.05,10000,1000,130,10,0.0599173099949098,0.300453012005135,1,0.0505050505050505
"two-step oracle",0.05,10000,1000,130,10,0.0570415797254766,0,NA,NA
"two-step",0.05,10000,1000,131,10,0.12013259372642,0.091641811012937,1,0.0747474747474747
"two-step+refitted",0.05,10000,1000,131,10,0.0572262325239441,0.36051501902987,1,0.0747474747474747
"two-step oracle",0.05,10000,1000,131,10,0.0590835376905985,0,NA,NA
"two-step",0.05,10000,1000,132,10,0.176341302020586,0.0597486917946931,1,0.0353535353535354
"two-step+refitted",0.05,10000,1000,132,10,0.0683101420268756,0.26716516250718,1,0.0353535353535354
"two-step oracle",0.05,10000,1000,132,10,0.0513697247929725,0,NA,NA
"two-step",0.05,10000,1000,133,10,0.156662337233545,0.0467284902196159,1,0.0282828282828283
"two-step+refitted",0.05,10000,1000,133,10,0.0628426387398645,0.242025658379788,1,0.0282828282828283
"two-step oracle",0.05,10000,1000,133,10,0.0704209659730931,0,NA,NA
"two-step",0.05,10000,1000,134,10,0.177877025776619,0.0707689137894061,1,0.0484848484848485
"two-step+refitted",0.05,10000,1000,134,10,0.0818217436106525,0.348024806675167,1,0.0484848484848485
"two-step oracle",0.05,10000,1000,134,10,0.0836638352149065,0,NA,NA
"two-step",0.05,10000,1000,135,10,0.128895033226391,0.0631222141393469,1,0.0464646464646465
"two-step+refitted",0.05,10000,1000,135,10,0.0597987211190513,0.298714037696579,1,0.0464646464646465
"two-step oracle",0.05,10000,1000,135,10,0.0725229993775955,0,NA,NA
"two-step",0.05,10000,1000,136,10,0.123852759165059,0.0764490129138182,1,0.0555555555555556
