"Method","alpha","n","p","seed","s","mul","est_error","est_error_FP","TPR","FPR"
"two-step oracle",0.2,2500,1000,103,10,0.8,0.0666172194274098,0,NA,NA
"two-step",0.2,2500,1000,103,10,1,0.0936279033235469,0.0771311374867062,1,0.0636363636363636
"two-step+refitted",0.2,2500,1000,103,10,1,0.0594022535066865,0.281544752564708,1,0.0636363636363636
"two-step oracle",0.2,2500,1000,103,10,1,0.0504833768368331,0,NA,NA
"two-step",0.2,2500,1000,104,10,0.2,0.827438468435207,0.239154459014119,0.4,0.0232323232323232
"two-step+refitted",0.2,2500,1000,104,10,0.2,0.833320366268436,1.93917285081871,0.4,0.0232323232323232
"two-step oracle",0.2,2500,1000,104,10,0.2,0.662168294486454,0,NA,NA
"two-step",0.2,2500,1000,104,10,0.4,0.514005720051213,0.149712045094474,0.9,0.0323232323232323
"two-step+refitted",0.2,2500,1000,104,10,0.4,0.320079049574214,0.844013859608154,0.9,0.0323232323232323
"two-step oracle",0.2,2500,1000,104,10,0.4,0.268057675194063,0,NA,NA
"two-step",0.2,2500,1000,104,10,0.6,0.306569442358108,0.0730640057803808,1,0.0282828282828283
"two-step+refitted",0.2,2500,1000,104,10,0.6,0.141356658292687,0.443481232885449,1,0.0282828282828283
"two-step oracle",0.2,2500,1000,104,10,0.6,0.14730885534242,0,NA,NA
"two-step",0.2,2500,1000,104,10,0.8,0.201671134160256,0.0620984281332277,1,0.0343434343434343
"two-step+refitted",0.2,2500,1000,104,10,0.8,0.0934572108769761,0.327018923610679,1,0.0343434343434343
"two-step oracle",0.2,2500,1000,104,10,0.8,0.100615959576877,0,NA,NA
"two-step",0.2,2500,1000,104,10,1,0.153879750460745,0.045309064830122,1,0.0343434343434343
"two-step+refitted",0.2,2500,1000,104,10,1,0.0708230936202042,0.247818993800818,1,0.0343434343434343
"two-step oracle",0.2,2500,1000,104,10,1,0.0762480548839767,0,NA,NA
"two-step",0.2,2500,1000,105,10,0.2,0.919778470883451,0.120063098511293,0.2,0.00404040404040404
"two-step+refitted",0.2,2500,1000,105,10,0.2,0.80795440831139,0.88868596544892,0.2,0.00404040404040404
"two-step oracle",0.2,2500,1000,105,10,0.2,0.501312206261643,0,NA,NA
"two-step",0.2,2500,1000,105,10,0.4,0.442673367717269,0.20508106303364,1,0.0505050505050505
"two-step+refitted",0.2,2500,1000,105,10,0.4,0.191126838218094,0.855622661262903,1,0.0505050505050505
"two-step oracle",0.2,2500,1000,105,10,0.4,0.202940227848152,0,NA,NA
"two-step",0.2,2500,1000,105,10,0.6,0.247248503600112,0.105890200788651,1,0.0434343434343434
"two-step+refitted",0.2,2500,1000,105,10,0.6,0.106820588783545,0.448366049491348,1,0.0434343434343434
"two-step oracle",0.2,2500,1000,105,10,0.6,0.111524106316294,0,NA,NA
"two-step",0.2,2500,1000,105,10,0.8,0.162726922904409,0.0834354755034518,1,0.0606060606060606
"two-step+refitted",0.2,2500,1000,105,10,0.8,0.0758861254056834,0.338923193719607,1,0.0606060606060606
"two-step oracle",0.2,2500,1000,105,10,0.8,0.0761740015349658,0,NA,NA
"two-step",0.2,2500,1000,105,10,1,0.122887822557147,0.0637829105305962,1,0.0606060606060606
"two-step+refitted",0.2,2500,1000,105,10,1,0.0569706876687073,0.257256845817137,1,0.0606060606060606
"two-step oracle",0.2,2500,1000,105,10,1,0.0577256279639485,0,NA,NA
"two-step",0.2,2500,1000,106,10,0.2,0.719384635319496,0.214330708936907,0.4,0.0101010101010101
"two-step+refitted",0.2,2500,1000,106,10,0.2,0.570064675053081,1.1513589100944,0.4,0.0101010101010101
"two-step oracle",0.2,2500,1000,106,10,0.2,0.374815200167408,0,NA,NA
"two-step",0.2,2500,1000,106,10,0.4,0.390924805640061,0.13461578931024,1,0.0282828282828283
"two-step+refitted",0.2,2500,1000,106,10,0.4,0.160551066055194,0.700297647960723,1,0.0282828282828283
"two-step oracle",0.2,2500,1000,106,10,0.4,0.15173195699772,0,NA,NA
"two-step",0.2,2500,1000,106,10,0.6,0.214442459342687,0.0745270383257599,1,0.0292929292929293
"two-step+refitted",0.2,2500,1000,106,10,0.6,0.0880536320358698,0.388181001908368,1,0.0292929292929293
"two-step oracle",0.2,2500,1000,106,10,0.6,0.0833830289993316,0,NA,NA
"two-step",0.2,2500,1000,106,10,0.8,0.14197782587284,0.0576232922069293,1,0.0363636363636364
"two-step+refitted",0.2,2500,1000,106,10,0.8,0.0569599172957698,0.279765890280325,1,0.0363636363636364
"two-step oracle",0.2,2500,1000,106,10,0.8,0.0569528794157819,0,NA,NA
"two-step",0.2,2500,1000,106,10,1,0.109123515966826,0.0413260327703596,1,0.0343434343434343
"two-step+refitted",0.2,2500,1000,106,10,1,0.0432342688847625,0.209396807330891,1,0.0343434343434343
"two-step oracle",0.2,2500,1000,106,10,1,0.0431596169609377,0,NA,NA
"two-step",0.2,2500,1000,107,10,0.2,0.94157722669391,0.20596517505336,0.2,0.00606060606060606
"two-step+refitted",0.2,2500,1000,107,10,0.2,0.801342917622537,1.13623271854488,0.2,0.00606060606060606
"two-step oracle",0.2,2500,1000,107,10,0.2,0.572300500522814,0,NA,NA
"two-step",0.2,2500,1000,107,10,0.4,0.464797091235713,0.22813232019327,1,0.0515151515151515
"two-step+refitted",0.2,2500,1000,107,10,0.4,0.259900998227184,0.958558292487928,1,0.0515151515151515
"two-step oracle",0.2,2500,1000,107,10,0.4,0.231677570430218,0,NA,NA
"two-step",0.2,2500,1000,107,10,0.6,0.259952176880466,0.116318421416861,1,0.0444444444444444
"two-step+refitted",0.2,2500,1000,107,10,0.6,0.146869002369468,0.508710463829265,1,0.0444444444444444
"two-step oracle",0.2,2500,1000,107,10,0.6,0.127316472784754,0,NA,NA
