"Method","alpha","n","p","seed","s","mul","est_error","est_error_FP","TPR","FPR"
"two-step",0.2,2500,1000,142,10,1,0.0731893698729195,0.0389603454720531,1,0.0323232323232323
"two-step+refitted",0.2,2500,1000,142,10,1,0.0650955223961859,0.19961607867782,1,0.0323232323232323
"two-step oracle",0.2,2500,1000,142,10,1,0.0384461696012636,0,NA,NA
"two-step",0.2,2500,1000,143,10,0.2,0.79511519914443,0.124728839170811,0.5,0.00707070707070707
"two-step+refitted",0.2,2500,1000,143,10,0.2,0.55757026713121,0.969482448616472,0.5,0.00707070707070707
"two-step oracle",0.2,2500,1000,143,10,0.2,0.495761952028252,0,NA,NA
"two-step",0.2,2500,1000,143,10,0.4,0.370742235385739,0.0933129646762455,1,0.0212121212121212
"two-step+refitted",0.2,2500,1000,143,10,0.4,0.19296207119368,0.595236974881716,1,0.0212121212121212
"two-step oracle",0.2,2500,1000,143,10,0.4,0.200693384773773,0,NA,NA
"two-step",0.2,2500,1000,143,10,0.6,0.198265405931628,0.0589395954847137,1,0.0313131313131313
"two-step+refitted",0.2,2500,1000,143,10,0.6,0.104130738330421,0.380515397522762,1,0.0313131313131313
"two-step oracle",0.2,2500,1000,143,10,0.6,0.110289372480825,0,NA,NA
"two-step",0.2,2500,1000,143,10,0.8,0.136166233479498,0.0391637661267547,1,0.0272727272727273
"two-step+refitted",0.2,2500,1000,143,10,0.8,0.0739302765515905,0.245027968772362,1,0.0272727272727273
"two-step oracle",0.2,2500,1000,143,10,0.8,0.0753306447022138,0,NA,NA
"two-step",0.2,2500,1000,143,10,1,0.102779908651849,0.0302773504914205,1,0.0282828282828283
"two-step+refitted",0.2,2500,1000,143,10,1,0.0555708813162218,0.187625490648215,1,0.0282828282828283
"two-step oracle",0.2,2500,1000,143,10,1,0.0570865214211979,0,NA,NA
"two-step",0.2,2500,1000,144,10,0.2,0.83969485031594,0.303662334839161,0.5,0.0202020202020202
"two-step+refitted",0.2,2500,1000,144,10,0.2,0.717134844805465,1.62487696009932,0.5,0.0202020202020202
"two-step oracle",0.2,2500,1000,144,10,0.2,0.477876329497332,0,NA,NA
"two-step",0.2,2500,1000,144,10,0.4,0.477043279272936,0.16219477123133,1,0.0252525252525253
"two-step+refitted",0.2,2500,1000,144,10,0.4,0.18841697147884,0.727787194025782,1,0.0252525252525253
"two-step oracle",0.2,2500,1000,144,10,0.4,0.193452962006694,0,NA,NA
"two-step",0.2,2500,1000,144,10,0.6,0.266390087076748,0.0835713827542219,1,0.0222222222222222
"two-step+refitted",0.2,2500,1000,144,10,0.6,0.0994011055026016,0.380620387986252,1,0.0222222222222222
"two-step oracle",0.2,2500,1000,144,10,0.6,0.106310458654751,0,NA,NA
"two-step",0.2,2500,1000,144,10,0.8,0.173493378539957,0.068643203615483,1,0.0393939393939394
"two-step+refitted",0.2,2500,1000,144,10,0.8,0.0697705007306007,0.310104617697797,1,0.0393939393939394
"two-step oracle",0.2,2500,1000,144,10,0.8,0.0726129382089172,0,NA,NA
"two-step",0.2,2500,1000,144,10,1,0.133906217252581,0.0485485266650602,1,0.0313131313131313
"two-step+refitted",0.2,2500,1000,144,10,1,0.0547128328355275,0.217359483821678,1,0.0313131313131313
"two-step oracle",0.2,2500,1000,144,10,1,0.055027008847542,0,NA,NA
"two-step",0.2,2500,1000,145,10,0.2,0.692516996827834,0.330621775037187,0.5,0.0161616161616162
"two-step+refitted",0.2,2500,1000,145,10,0.2,0.425729554576932,1.51678347731394,0.5,0.0161616161616162
"two-step oracle",0.2,2500,1000,145,10,0.2,0.411077271749524,0,NA,NA
"two-step",0.2,2500,1000,145,10,0.4,0.366582296442601,0.153777256623846,1,0.0202020202020202
"two-step+refitted",0.2,2500,1000,145,10,0.4,0.181796804612006,0.655745764696779,1,0.0202020202020202
"two-step oracle",0.2,2500,1000,145,10,0.4,0.166411497964811,0,NA,NA
"two-step",0.2,2500,1000,145,10,0.6,0.19774567168902,0.088617186489346,1,0.0212121212121212
"two-step+refitted",0.2,2500,1000,145,10,0.6,0.10073742516138,0.369538410144898,1,0.0212121212121212
"two-step oracle",0.2,2500,1000,145,10,0.6,0.0914500480662118,0,NA,NA
"two-step",0.2,2500,1000,145,10,0.8,0.13648913975985,0.0589367995207774,1,0.0212121212121212
"two-step+refitted",0.2,2500,1000,145,10,0.8,0.0688065200330702,0.252405184552647,1,0.0212121212121212
"two-step oracle",0.2,2500,1000,145,10,0.8,0.062462873112038,0,NA,NA
"two-step",0.2,2500,1000,145,10,1,0.103165833806588,0.044962548299112,1,0.0212121212121212
"two-step+refitted",0.2,2500,1000,145,10,1,0.0521425373550977,0.191276481038828,1,0.0212121212121212
"two-step oracle",0.2,2500,1000,145,10,1,0.0473351603193583,0,NA,NA
"two-step",0.2,2500,1000,146,10,0.2,0.846087070339335,0.179939517253341,0.3,0.00808080808080808
"two-step+refitted",0.2,2500,1000,146,10,0.2,0.687561984804691,1.07761297859683,0.3,0.00808080808080808
"two-step oracle",0.2,2500,1000,146,10,0.2,0.372735947655575,0,NA,NA
"two-step",0.2,2500,1000,146,10,0.4,0.37289477188979,0.0898627852277312,1,0.0121212121212121
"two-step+refitted",0.2,2500,1000,146,10,0.4,0.158750101628899,0.506163359579049,1,0.0121212121212121
"two-step oracle",0.2,2500,1000,146,10,0.4,0.150890238058436,0,NA,NA
"two-step",0.2,2500,1000,146,10,0.6,0.190015103586012,0.0652109206700981,1,0.0202020202020202
"two-step+refitted",0.2,2500,1000,146,10,0.6,0.0813243202640679,0.332091278035828,1,0.0202020202020202
"two-step oracle",0.2,2500,1000,146,10,0.6,0.0829204693901875,0,NA,NA
"two-step",0.2,2500,1000,146,10,0.8,0.132851295958542,0.0410718566108144,1,0.0171717171717172
"two-step+refitted",0.2,2500,1000,146,10,0.8,0.0572882338281959,0.212450200294612,1,0.0171717171717172
"two-step oracle",0.2,2500,1000,146,10,0.8,0.0566369386067438,0,NA,NA
"two-step",0.2,2500,1000,146,10,1,0.101100859218586,0.0306572034765688,1,0.0151515151515152
"two-step+refitted",0.2,2500,1000,146,10,1,0.0438878642215909,0.154316092359966,1,0.0151515151515152
"two-step oracle",0.2,2500,1000,146,10,1,0.0429201929943127,0,NA,NA
"two-step",0.2,2500,1000,147,10,0.2,0.8406747969243,0.196698800093707,0.3,0.00909090909090909
"two-step+refitted",0.2,2500,1000,147,10,0.2,0.690869262207037,1.13107153010616,0.3,0.00909090909090909
"two-step oracle",0.2,2500,1000,147,10,0.2,0.388854745813956,0,NA,NA
"two-step",0.2,2500,1000,147,10,0.4,0.366922831884596,0.118627262617943,1,0.0191919191919192
"two-step+refitted",0.2,2500,1000,147,10,0.4,0.158630248532561,0.5814269552796,1,0.0191919191919192
"two-step oracle",0.2,2500,1000,147,10,0.4,0.157415418435138,0,NA,NA
"two-step",0.2,2500,1000,147,10,0.6,0.188450771707495,0.0818522821290339,1,0.0303030303030303
"two-step+refitted",0.2,2500,1000,147,10,0.6,0.0884765228487679,0.378071281249315,1,0.0303030303030303
"two-step oracle",0.2,2500,1000,147,10,0.6,0.0865063277376469,0,NA,NA
"two-step",0.2,2500,1000,147,10,0.8,0.131416773705506,0.0522116399189116,1,0.0252525252525253
"two-step+refitted",0.2,2500,1000,147,10,0.8,0.0618900416557123,0.240408156839469,1,0.0252525252525253
"two-step oracle",0.2,2500,1000,147,10,0.8,0.0590861775048239,0,NA,NA
"two-step",0.2,2500,1000,147,10,1,0.0999315952382498,0.0391193743913436,1,0.0252525252525253
"two-step+refitted",0.2,2500,1000,147,10,1,0.0469012894383766,0.182184629236435,1,0.0252525252525253
"two-step oracle",0.2,2500,1000,147,10,1,0.0447762574070566,0,NA,NA
"two-step",0.2,2500,1000,148,10,0.2,0.795509417557912,0.317019493376066,0.6,0.0181818181818182
"two-step+refitted",0.2,2500,1000,148,10,0.2,0.489834434807726,1.62732855517966,0.6,0.0181818181818182
"two-step oracle",0.2,2500,1000,148,10,0.2,0.527585418781216,0,NA,NA
"two-step",0.2,2500,1000,148,10,0.4,0.486394951951266,0.176552360684324,1,0.0333333333333333
"two-step+refitted",0.2,2500,1000,148,10,0.4,0.20640515804554,0.794780646243672,1,0.0333333333333333
"two-step oracle",0.2,2500,1000,148,10,0.4,0.21357609840631,0,NA,NA
"two-step",0.2,2500,1000,148,10,0.6,0.268339100744622,0.0956663001434136,1,0.0323232323232323
"two-step+refitted",0.2,2500,1000,148,10,0.6,0.113498120144584,0.435682460289809,1,0.0323232323232323
"two-step oracle",0.2,2500,1000,148,10,0.6,0.117368960101429,0,NA,NA
"two-step",0.2,2500,1000,148,10,0.8,0.187358877332484,0.0603993752934867,1,0.0252525252525253
"two-step+refitted",0.2,2500,1000,148,10,0.8,0.0752176278014887,0.269827134808491,1,0.0252525252525253
"two-step oracle",0.2,2500,1000,148,10,0.8,0.0801661958318448,0,NA,NA
"two-step",0.2,2500,1000,148,10,1,0.135196843618573,0.0545082323881694,1,0.0373737373737374
"two-step+refitted",0.2,2500,1000,148,10,1,0.0548841536140352,0.235081429278997,1,0.0373737373737374
"two-step oracle",0.2,2500,1000,148,10,1,0.060750963617814,0,NA,NA
"two-step",0.2,2500,1000,149,10,0.2,0.797619721066245,0.0998280187170875,0.4,0.00303030303030303
"two-step+refitted",0.2,2500,1000,149,10,0.2,0.789888471989916,0.802428560519561,0.4,0.00303030303030303
"two-step oracle",0.2,2500,1000,149,10,0.2,0.665909359177192,0,NA,NA
"two-step",0.2,2500,1000,149,10,0.4,0.516836119300601,0.121332095949132,1,0.0292929292929293
"two-step+refitted",0.2,2500,1000,149,10,0.4,0.294651684498806,0.757213301955033,1,0.0292929292929293
"two-step oracle",0.2,2500,1000,149,10,0.4,0.269572125692673,0,NA,NA
"two-step",0.2,2500,1000,149,10,0.6,0.275505887542625,0.0802148269892164,1,0.0333333333333333
"two-step+refitted",0.2,2500,1000,149,10,0.6,0.164861414739561,0.435861350891383,1,0.0333333333333333
"two-step oracle",0.2,2500,1000,149,10,0.6,0.148141108958221,0,NA,NA
"two-step",0.2,2500,1000,149,10,0.8,0.191947843750582,0.0485965314052721,1,0.0313131313131313
"two-step+refitted",0.2,2500,1000,149,10,0.8,0.110228409868439,0.294998031963734,1,0.0313131313131313
"two-step oracle",0.2,2500,1000,149,10,0.8,0.101184411459625,0,NA,NA
"two-step",0.2,2500,1000,149,10,1,0.141763834007461,0.0429941422614511,1,0.0353535353535354
"two-step+refitted",0.2,2500,1000,149,10,1,0.0867336538663539,0.229433823611052,1,0.0353535353535354
"two-step oracle",0.2,2500,1000,149,10,1,0.0766788349564131,0,NA,NA
"two-step",0.2,2500,1000,14,10,0.2,0.758652250238073,0.417449393811425,0.5,0.0343434343434343
"two-step+refitted",0.2,2500,1000,14,10,0.2,0.338369771572562,1.91780044270381,0.5,0.0343434343434343
"two-step oracle",0.2,2500,1000,14,10,0.2,0.239590459137048,0,NA,NA
"two-step",0.2,2500,1000,14,10,0.4,0.38778501586636,0.220551013642784,1,0.0515151515151515
"two-step+refitted",0.2,2500,1000,14,10,0.4,0.120448453294031,0.873797401807335,1,0.0515151515151515
"two-step oracle",0.2,2500,1000,14,10,0.4,0.0969905415431642,0,NA,NA
"two-step",0.2,2500,1000,14,10,0.6,0.206357642378314,0.133434071276162,1,0.0636363636363636
"two-step+refitted",0.2,2500,1000,14,10,0.6,0.0734311718476035,0.521239010831049,1,0.0636363636363636
"two-step oracle",0.2,2500,1000,14,10,0.6,0.0533003415903749,0,NA,NA
"two-step",0.2,2500,1000,14,10,0.8,0.144369220109596,0.084788372348325,1,0.0545454545454545
"two-step+refitted",0.2,2500,1000,14,10,0.8,0.0460314410137207,0.333887830524224,1,0.0545454545454545
"two-step oracle",0.2,2500,1000,14,10,0.8,0.0364055847316483,0,NA,NA
"two-step",0.2,2500,1000,14,10,1,0.110887501269983,0.0617730458303861,1,0.0494949494949495
"two-step+refitted",0.2,2500,1000,14,10,1,0.0334930279833895,0.246870267388001,1,0.0494949494949495
"two-step oracle",0.2,2500,1000,14,10,1,0.0275886155076748,0,NA,NA
"two-step",0.2,2500,1000,150,10,0.2,0.82058986274611,0.261795918070798,0.6,0.0202020202020202
"two-step+refitted",0.2,2500,1000,150,10,0.2,0.646469222323193,1.60007412588444,0.6,0.0202020202020202
"two-step oracle",0.2,2500,1000,150,10,0.2,0.55518766071537,0,NA,NA
"two-step",0.2,2500,1000,150,10,0.4,0.529596710556314,0.127354743307073,1,0.0303030303030303
"two-step+refitted",0.2,2500,1000,150,10,0.4,0.214496551414928,0.742412695569013,1,0.0303030303030303
"two-step oracle",0.2,2500,1000,150,10,0.4,0.224749984055354,0,NA,NA
"two-step",0.2,2500,1000,150,10,0.6,0.292022708161024,0.0687183257585196,1,0.0303030303030303
"two-step+refitted",0.2,2500,1000,150,10,0.6,0.117874911164743,0.407986977558867,1,0.0303030303030303
"two-step oracle",0.2,2500,1000,150,10,0.6,0.123509475583767,0,NA,NA
"two-step",0.2,2500,1000,150,10,0.8,0.192891156281079,0.0557358189805695,1,0.0353535353535354
"two-step+refitted",0.2,2500,1000,150,10,0.8,0.0804347514131148,0.288407959332557,1,0.0353535353535354
"two-step oracle",0.2,2500,1000,150,10,0.8,0.0843603351190978,0,NA,NA
"two-step",0.2,2500,1000,150,10,1,0.147580470616672,0.0402671951199627,1,0.0343434343434343
"two-step+refitted",0.2,2500,1000,150,10,1,0.0612807573914778,0.216843336629159,1,0.0343434343434343
"two-step oracle",0.2,2500,1000,150,10,1,0.0639293357558963,0,NA,NA
"two-step",0.2,2500,1000,151,10,0.2,0.750214740021166,0.25397729935654,0.4,0.00606060606060606
"two-step+refitted",0.2,2500,1000,151,10,0.2,0.844977749714696,1.16118119693763,0.4,0.00606060606060606
"two-step oracle",0.2,2500,1000,151,10,0.2,0.71731874284207,0,NA,NA
"two-step",0.2,2500,1000,151,10,0.4,0.534932409593061,0.19883739392186,1,0.0353535353535354
"two-step+refitted",0.2,2500,1000,151,10,0.4,0.31673950517858,0.789804825427245,1,0.0353535353535354
"two-step oracle",0.2,2500,1000,151,10,0.4,0.290383571941478,0,NA,NA
"two-step",0.2,2500,1000,151,10,0.6,0.289885191348576,0.115315689124381,1,0.0393939393939394
"two-step+refitted",0.2,2500,1000,151,10,0.6,0.170963393367837,0.454233763937852,1,0.0393939393939394
"two-step oracle",0.2,2500,1000,151,10,0.6,0.159577865330568,0,NA,NA
"two-step",0.2,2500,1000,151,10,0.8,0.197908573137977,0.0788983990342106,1,0.0393939393939394
"two-step+refitted",0.2,2500,1000,151,10,0.8,0.116772602685027,0.310254108653481,1,0.0393939393939394
"two-step oracle",0.2,2500,1000,151,10,0.8,0.10899602749707,0,NA,NA
"two-step",0.2,2500,1000,151,10,1,0.146341506873306,0.0657784120734677,1,0.0494949494949495
"two-step+refitted",0.2,2500,1000,151,10,1,0.0890168010319352,0.252556117969802,1,0.0494949494949495
"two-step oracle",0.2,2500,1000,151,10,1,0.0825985770217922,0,NA,NA
"two-step",0.2,2500,1000,152,10,0.2,0.943146647978144,0.122924093514311,0.1,0.00404040404040404
"two-step+refitted",0.2,2500,1000,152,10,0.2,0.908997816028589,0.844286030247996,0.1,0.00404040404040404
"two-step oracle",0.2,2500,1000,152,10,0.2,0.408357337305143,0,NA,NA
"two-step",0.2,2500,1000,152,10,0.4,0.389316166730383,0.18345551316191,1,0.0545454545454545
"two-step+refitted",0.2,2500,1000,152,10,0.4,0.158517580513858,0.866636910155355,1,0.0545454545454545
"two-step oracle",0.2,2500,1000,152,10,0.4,0.165310419417393,0,NA,NA
"two-step",0.2,2500,1000,152,10,0.6,0.217906682460224,0.0933457095587742,1,0.0494949494949495
"two-step+refitted",0.2,2500,1000,152,10,0.6,0.0870032194283247,0.460641347702499,1,0.0494949494949495
"two-step oracle",0.2,2500,1000,152,10,0.6,0.0908449595517904,0,NA,NA
"two-step",0.2,2500,1000,152,10,0.8,0.152794074413945,0.0568837245074865,1,0.0404040404040404
"two-step+refitted",0.2,2500,1000,152,10,0.8,0.0592571044005585,0.291865033526464,1,0.0404040404040404
"two-step oracle",0.2,2500,1000,152,10,0.8,0.0620495811794806,0,NA,NA
"two-step",0.2,2500,1000,152,10,1,0.116717409968818,0.0415899458867215,1,0.0393939393939394
"two-step+refitted",0.2,2500,1000,152,10,1,0.0446321914734656,0.219281962716382,1,0.0393939393939394
"two-step oracle",0.2,2500,1000,152,10,1,0.0470219624321719,0,NA,NA
"two-step",0.2,2500,1000,153,10,0.2,0.86617157533407,0.192269202684089,0.3,0.0101010101010101
"two-step+refitted",0.2,2500,1000,153,10,0.2,0.694059515114636,1.31331169617003,0.3,0.0101010101010101
"two-step oracle",0.2,2500,1000,153,10,0.2,0.323436786298256,0,NA,NA
"two-step",0.2,2500,1000,153,10,0.4,0.398506105702699,0.170126939148317,1,0.0383838383838384
"two-step+refitted",0.2,2500,1000,153,10,0.4,0.117647883050015,0.805972591293142,1,0.0383838383838384
"two-step oracle",0.2,2500,1000,153,10,0.4,0.130933047881112,0,NA,NA
"two-step",0.2,2500,1000,153,10,0.6,0.218495885041522,0.094099602264402,1,0.0383838383838384
"two-step+refitted",0.2,2500,1000,153,10,0.6,0.0646523854450699,0.442915474783057,1,0.0383838383838384
"two-step oracle",0.2,2500,1000,153,10,0.6,0.0719531623032156,0,NA,NA
"two-step",0.2,2500,1000,153,10,0.8,0.146096368221174,0.0682783786940439,1,0.0424242424242424
"two-step+refitted",0.2,2500,1000,153,10,0.8,0.0432852729491003,0.314114644900457,1,0.0424242424242424
"two-step oracle",0.2,2500,1000,153,10,0.8,0.0491459692148172,0,NA,NA
"two-step",0.2,2500,1000,153,10,1,0.113561427814709,0.0481358699289134,1,0.0373737373737374
"two-step+refitted",0.2,2500,1000,153,10,1,0.0339094953803233,0.227427057019283,1,0.0373737373737374
"two-step oracle",0.2,2500,1000,153,10,1,0.037243441038344,0,NA,NA
"two-step",0.2,2500,1000,154,10,0.2,0.808654035440957,0.0787560864758468,0.5,0.00404040404040404
"two-step+refitted",0.2,2500,1000,154,10,0.2,0.585556571112435,0.741829643149839,0.5,0.00404040404040404
"two-step oracle",0.2,2500,1000,154,10,0.2,0.342622031214839,0,NA,NA
"two-step",0.2,2500,1000,154,10,0.4,0.411398220597997,0.0820628939142177,1,0.0212121212121212
"two-step+refitted",0.2,2500,1000,154,10,0.4,0.153694917984285,0.550815137820446,1,0.0212121212121212
"two-step oracle",0.2,2500,1000,154,10,0.4,0.138699581243082,0,NA,NA
"two-step",0.2,2500,1000,154,10,0.6,0.230234983311323,0.0408104546750163,1,0.0161616161616162
"two-step+refitted",0.2,2500,1000,154,10,0.6,0.0815351835486557,0.26289203910118,1,0.0161616161616162
"two-step oracle",0.2,2500,1000,154,10,0.6,0.0762211958101931,0,NA,NA
"two-step",0.2,2500,1000,154,10,0.8,0.151120231758541,0.034632782288922,1,0.0232323232323232
"two-step+refitted",0.2,2500,1000,154,10,0.8,0.0587974269902538,0.212961590941927,1,0.0232323232323232
"two-step oracle",0.2,2500,1000,154,10,0.8,0.0520611523232116,0,NA,NA
"two-step",0.2,2500,1000,154,10,1,0.116130232936912,0.0243451301326154,1,0.0212121212121212
"two-step+refitted",0.2,2500,1000,154,10,1,0.0437179489256764,0.156677457808324,1,0.0212121212121212
"two-step oracle",0.2,2500,1000,154,10,1,0.0394526039045566,0,NA,NA
"two-step",0.2,2500,1000,155,10,0.2,0.887318787563609,0.280775344217957,0.2,0.0141414141414141
"two-step+refitted",0.2,2500,1000,155,10,0.2,0.806680595590486,1.38387280811126,0.2,0.0141414141414141
"two-step oracle",0.2,2500,1000,155,10,0.2,0.458945766838449,0,NA,NA
"two-step",0.2,2500,1000,155,10,0.4,0.40840465079387,0.152467144356078,1,0.0181818181818182
"two-step+refitted",0.2,2500,1000,155,10,0.4,0.210545384266014,0.598182196502051,1,0.0181818181818182
"two-step oracle",0.2,2500,1000,155,10,0.4,0.185789528618675,0,NA,NA
"two-step",0.2,2500,1000,155,10,0.6,0.220685824769476,0.0886132467445346,1,0.0212121212121212
"two-step+refitted",0.2,2500,1000,155,10,0.6,0.117340894040653,0.338939357638056,1,0.0212121212121212
"two-step oracle",0.2,2500,1000,155,10,0.6,0.102099082876891,0,NA,NA
"two-step",0.2,2500,1000,155,10,0.8,0.151819626544938,0.0591207669292731,1,0.0202020202020202
"two-step+refitted",0.2,2500,1000,155,10,0.8,0.0799615104852017,0.230170743444984,1,0.0202020202020202
"two-step oracle",0.2,2500,1000,155,10,0.8,0.0697364538723614,0,NA,NA
"two-step",0.2,2500,1000,155,10,1,0.114800062425433,0.045126243252156,1,0.0202020202020202
"two-step+refitted",0.2,2500,1000,155,10,1,0.0605958582447178,0.17442636503024,1,0.0202020202020202
"two-step oracle",0.2,2500,1000,155,10,1,0.0528471724032127,0,NA,NA
"two-step",0.2,2500,1000,156,10,0.2,0.707431964822477,0.256055278595994,0.5,0.0121212121212121
"two-step+refitted",0.2,2500,1000,156,10,0.2,0.395396172929591,1.39228239052852,0.5,0.0121212121212121
"two-step oracle",0.2,2500,1000,156,10,0.2,0.306833275507244,0,NA,NA
"two-step",0.2,2500,1000,156,10,0.4,0.306396708126258,0.176528156150879,1,0.0363636363636364
"two-step+refitted",0.2,2500,1000,156,10,0.4,0.16009641706062,0.799367514853947,1,0.0363636363636364
"two-step oracle",0.2,2500,1000,156,10,0.4,0.124211647083524,0,NA,NA
"two-step",0.2,2500,1000,156,10,0.6,0.15886366754532,0.112177508775482,1,0.0505050505050505
"two-step+refitted",0.2,2500,1000,156,10,0.6,0.088024726939782,0.493603332189592,1,0.0505050505050505
"two-step oracle",0.2,2500,1000,156,10,0.6,0.0682594726632036,0,NA,NA
"two-step",0.2,2500,1000,156,10,0.8,0.110796763633428,0.0727539537520867,1,0.0464646464646465
"two-step+refitted",0.2,2500,1000,156,10,0.8,0.0598608591553824,0.327060355616692,1,0.0464646464646465
"two-step oracle",0.2,2500,1000,156,10,0.8,0.0466230786075586,0,NA,NA
"two-step",0.2,2500,1000,156,10,1,0.0841407784905833,0.0548447800460593,1,0.0464646464646465
"two-step+refitted",0.2,2500,1000,156,10,1,0.0453633444521811,0.247850585857241,1,0.0464646464646465
"two-step oracle",0.2,2500,1000,156,10,1,0.0353315624228899,0,NA,NA
"two-step",0.2,2500,1000,157,10,0.2,0.873102202296857,0.161785072224759,0.3,0.00404040404040404
"two-step+refitted",0.2,2500,1000,157,10,0.2,0.890933418460034,0.861930518770361,0.3,0.00404040404040404
"two-step oracle",0.2,2500,1000,157,10,0.2,0.582209232606054,0,NA,NA
"two-step",0.2,2500,1000,157,10,0.4,0.420616400404141,0.203606078455337,1,0.0646464646464646
"two-step+refitted",0.2,2500,1000,157,10,0.4,0.23648666262758,0.871020927567991,1,0.0646464646464646
"two-step oracle",0.2,2500,1000,157,10,0.4,0.235688803991943,0,NA,NA
"two-step",0.2,2500,1000,157,10,0.6,0.229813835051384,0.11524068991632,1,0.0666666666666667
"two-step+refitted",0.2,2500,1000,157,10,0.6,0.131998818234437,0.485492421624056,1,0.0666666666666667
"two-step oracle",0.2,2500,1000,157,10,0.6,0.129520812668179,0,NA,NA
"two-step",0.2,2500,1000,157,10,0.8,0.15444750172812,0.0853563806909605,1,0.0757575757575758
"two-step+refitted",0.2,2500,1000,157,10,0.8,0.0895675906052114,0.347128331518942,1,0.0757575757575758
"two-step oracle",0.2,2500,1000,157,10,0.8,0.0884662420429041,0,NA,NA
"two-step",0.2,2500,1000,157,10,1,0.118367375938427,0.0611671584414761,1,0.0686868686868687
"two-step+refitted",0.2,2500,1000,157,10,1,0.0679405060196227,0.254089731425119,1,0.0686868686868687
"two-step oracle",0.2,2500,1000,157,10,1,0.067040844285869,0,NA,NA
"two-step",0.2,2500,1000,158,10,0.2,0.679228813546502,0.218394687754995,0.6,0.0141414141414141
"two-step+refitted",0.2,2500,1000,158,10,0.2,0.414508534966236,1.31973721288777,0.6,0.0141414141414141
"two-step oracle",0.2,2500,1000,158,10,0.2,0.493783045389924,0,NA,NA
"two-step",0.2,2500,1000,158,10,0.4,0.386227660303252,0.126028164540446,1,0.0303030303030303
"two-step+refitted",0.2,2500,1000,158,10,0.4,0.191137845173754,0.684378458635936,1,0.0303030303030303
"two-step oracle",0.2,2500,1000,158,10,0.4,0.199892287654939,0,NA,NA
"two-step",0.2,2500,1000,158,10,0.6,0.218449908040078,0.0610350082889412,1,0.0232323232323232
"two-step+refitted",0.2,2500,1000,158,10,0.6,0.105916044940288,0.337376290331953,1,0.0232323232323232
"two-step oracle",0.2,2500,1000,158,10,0.6,0.109849136253639,0,NA,NA
"two-step",0.2,2500,1000,158,10,0.8,0.150389534128207,0.0402617326908629,1,0.0222222222222222
"two-step+refitted",0.2,2500,1000,158,10,0.8,0.0711547835582469,0.228933621488155,1,0.0222222222222222
"two-step oracle",0.2,2500,1000,158,10,0.8,0.0750299513709437,0,NA,NA
"two-step",0.2,2500,1000,158,10,1,0.113685300152025,0.0308444276692475,1,0.0232323232323232
"two-step+refitted",0.2,2500,1000,158,10,1,0.0548228396998866,0.174628415883658,1,0.0232323232323232
"two-step oracle",0.2,2500,1000,158,10,1,0.0568586521873065,0,NA,NA
"two-step",0.2,2500,1000,159,10,0.2,0.675299181588563,0.433716123213185,0.6,0.0444444444444444
"two-step+refitted",0.2,2500,1000,159,10,0.2,0.640912228367132,2.16814003624089,0.6,0.0444444444444444
"two-step oracle",0.2,2500,1000,159,10,0.2,0.493092452408199,0,NA,NA
"two-step",0.2,2500,1000,159,10,0.4,0.423461822540339,0.234301198003115,1,0.0565656565656566
"two-step+refitted",0.2,2500,1000,159,10,0.4,0.215560487318303,0.939478179215648,1,0.0565656565656566
"two-step oracle",0.2,2500,1000,159,10,0.4,0.199612723153395,0,NA,NA
"two-step",0.2,2500,1000,159,10,0.6,0.228695957068247,0.137740855092314,1,0.0626262626262626
"two-step+refitted",0.2,2500,1000,159,10,0.6,0.121841100420073,0.53478766991507,1,0.0626262626262626
"two-step oracle",0.2,2500,1000,159,10,0.6,0.109695503918039,0,NA,NA
"two-step",0.2,2500,1000,159,10,0.8,0.158425330069185,0.0890766403416076,1,0.0575757575757576
"two-step+refitted",0.2,2500,1000,159,10,0.8,0.0824773718683486,0.354146900786871,1,0.0575757575757576
"two-step oracle",0.2,2500,1000,159,10,0.8,0.0749250163021514,0,NA,NA
"two-step",0.2,2500,1000,159,10,1,0.120289383716821,0.0669730333118161,1,0.0565656565656566
"two-step+refitted",0.2,2500,1000,159,10,1,0.0613153752956422,0.267230812558524,1,0.0565656565656566
"two-step oracle",0.2,2500,1000,159,10,1,0.056779131056484,0,NA,NA
"two-step",0.2,2500,1000,15,10,0.2,0.88941486046947,0.165914612998266,0.2,0.00303030303030303
"two-step+refitted",0.2,2500,1000,15,10,0.2,0.808315919159973,0.782508406491918,0.2,0.00303030303030303
"two-step oracle",0.2,2500,1000,15,10,0.2,0.468525974870261,0,NA,NA
"two-step",0.2,2500,1000,15,10,0.4,0.429503718720136,0.156613609472955,1,0.0323232323232323
"two-step+refitted",0.2,2500,1000,15,10,0.4,0.220296370436772,0.684670558659744,1,0.0323232323232323
"two-step oracle",0.2,2500,1000,15,10,0.4,0.189667769715791,0,NA,NA
"two-step",0.2,2500,1000,15,10,0.6,0.23110346781233,0.0929503009046101,1,0.0333333333333333
"two-step+refitted",0.2,2500,1000,15,10,0.6,0.120700756107099,0.37852238556689,1,0.0333333333333333
"two-step oracle",0.2,2500,1000,15,10,0.6,0.104230337862762,0,NA,NA
"two-step",0.2,2500,1000,15,10,0.8,0.15862611293663,0.0623695143362868,1,0.0323232323232323
"two-step+refitted",0.2,2500,1000,15,10,0.8,0.0826888382949396,0.256991972276534,1,0.0323232323232323
