"Method","alpha","n","p","seed","s","mul","est_error","est_error_FP","TPR","FPR"
"two-step",0.2,2500,1000,103,10,1,0.0803028157152208,0.00715199922052389,1,0.00505050505050505
"two-step+refitted",0.2,2500,1000,103,10,1,0.0552342385663114,0.103474196029961,1,0.00505050505050505
"two-step oracle",0.2,2500,1000,103,10,1,0.0532533456722882,0,NA,NA
"two-step",0.2,2500,1000,104,10,0.2,0.906479617429576,0.018245649817825,0.2,0.00101010101010101
"two-step+refitted",0.2,2500,1000,104,10,0.2,1.01216994912853,0.523582719227591,0.2,0.00101010101010101
"two-step oracle",0.2,2500,1000,104,10,0.2,0.943303100943627,0,NA,NA
"two-step",0.2,2500,1000,104,10,0.4,0.445387560702505,0.0794061803253428,1,0.0111111111111111
"two-step+refitted",0.2,2500,1000,104,10,0.4,0.381560044321739,0.575146008732696,1,0.0111111111111111
"two-step oracle",0.2,2500,1000,104,10,0.4,0.381866118247786,0,NA,NA
"two-step",0.2,2500,1000,104,10,0.6,0.244536380740251,0.0440392519286446,1,0.0111111111111111
"two-step+refitted",0.2,2500,1000,104,10,0.6,0.209576144768103,0.316057986506208,1,0.0111111111111111
"two-step oracle",0.2,2500,1000,104,10,0.6,0.209851334166844,0,NA,NA
"two-step",0.2,2500,1000,104,10,0.8,0.167250728866112,0.029225026625968,1,0.0111111111111111
"two-step+refitted",0.2,2500,1000,104,10,0.8,0.143152410796856,0.215874573792894,1,0.0111111111111111
"two-step oracle",0.2,2500,1000,104,10,0.8,0.143334175712682,0,NA,NA
"two-step",0.2,2500,1000,104,10,1,0.127118636973638,0.0206792410325041,1,0.0111111111111111
"two-step+refitted",0.2,2500,1000,104,10,1,0.108486319774312,0.163593669817058,1,0.0111111111111111
"two-step oracle",0.2,2500,1000,104,10,1,0.108620462821703,0,NA,NA
"two-step",0.2,2500,1000,105,10,0.2,0.690646034129987,0.164242856608687,0.5,0.00909090909090909
"two-step+refitted",0.2,2500,1000,105,10,0.2,0.656151287215171,1.24682191031018,0.5,0.00909090909090909
"two-step oracle",0.2,2500,1000,105,10,0.2,0.375733238461913,0,NA,NA
"two-step",0.2,2500,1000,105,10,0.4,0.248786478184062,0.1134129164509,1,0.0202020202020202
"two-step+refitted",0.2,2500,1000,105,10,0.4,0.188197545844369,0.62339023639526,1,0.0202020202020202
"two-step oracle",0.2,2500,1000,105,10,0.4,0.15210359546639,0,NA,NA
"two-step",0.2,2500,1000,105,10,0.6,0.135807922781851,0.0655456368997741,1,0.0212121212121212
"two-step+refitted",0.2,2500,1000,105,10,0.6,0.100894600475506,0.350642320995593,1,0.0212121212121212
"two-step oracle",0.2,2500,1000,105,10,0.6,0.0835872598141427,0,NA,NA
"two-step",0.2,2500,1000,105,10,0.8,0.0933305714311199,0.0425257586463306,1,0.0202020202020202
"two-step+refitted",0.2,2500,1000,105,10,0.8,0.0706480776747356,0.233990663211559,1,0.0202020202020202
"two-step oracle",0.2,2500,1000,105,10,0.8,0.0570923746237252,0,NA,NA
"two-step",0.2,2500,1000,105,10,1,0.0706852096548014,0.0323699683841076,1,0.0202020202020202
"two-step+refitted",0.2,2500,1000,105,10,1,0.0535384583428175,0.177319972673459,1,0.0202020202020202
"two-step oracle",0.2,2500,1000,105,10,1,0.043265328205117,0,NA,NA
"two-step",0.2,2500,1000,106,10,0.2,0.578554497464086,0.0224828593297679,0.5,0.00202020202020202
"two-step+refitted",0.2,2500,1000,106,10,0.2,0.836250353856449,0.644518285733356,0.5,0.00202020202020202
"two-step oracle",0.2,2500,1000,106,10,0.2,0.760856625116427,0,NA,NA
"two-step",0.2,2500,1000,106,10,0.4,0.349647046500873,0.0266843198112421,1,0.00404040404040404
"two-step+refitted",0.2,2500,1000,106,10,0.4,0.283641937224521,0.33935958192739,1,0.00404040404040404
"two-step oracle",0.2,2500,1000,106,10,0.4,0.308008492377133,0,NA,NA
"two-step",0.2,2500,1000,106,10,0.6,0.191462924818227,0.0166702712903986,1,0.00404040404040404
"two-step+refitted",0.2,2500,1000,106,10,0.6,0.155879858476468,0.186488424096273,1,0.00404040404040404
"two-step oracle",0.2,2500,1000,106,10,0.6,0.169263493070931,0,NA,NA
"two-step",0.2,2500,1000,106,10,0.8,0.132209224600969,0.00742331701227203,1,0.00404040404040404
"two-step+refitted",0.2,2500,1000,106,10,0.8,0.106473559028877,0.127374206526255,1,0.00404040404040404
"two-step oracle",0.2,2500,1000,106,10,0.8,0.115611574993763,0,NA,NA
"two-step",0.2,2500,1000,106,10,1,0.100503055160039,0.00483150541951579,1,0.00303030303030303
"two-step+refitted",0.2,2500,1000,106,10,1,0.0829636582375613,0.0866466942303301,1,0.00303030303030303
"two-step oracle",0.2,2500,1000,106,10,1,0.0876119231225141,0,NA,NA
"two-step",0.2,2500,1000,107,10,0.2,0.729731782510265,0,0.3,0
"two-step+refitted",0.2,2500,1000,107,10,0.2,0.717816076603312,0,0.3,0
"two-step oracle",0.2,2500,1000,107,10,0.2,0.985105508045642,0,NA,NA
"two-step",0.2,2500,1000,107,10,0.4,0.418440417187833,0.0534355560556878,1,0.00909090909090909
"two-step+refitted",0.2,2500,1000,107,10,0.4,0.369727631138105,0.486705864454113,1,0.00909090909090909
"two-step oracle",0.2,2500,1000,107,10,0.4,0.398788487015036,0,NA,NA
"two-step",0.2,2500,1000,107,10,0.6,0.232749159346098,0.0196229573013365,1,0.00707070707070707
"two-step+refitted",0.2,2500,1000,107,10,0.6,0.200211819794096,0.24814160550611,1,0.00707070707070707
"two-step oracle",0.2,2500,1000,107,10,0.6,0.219150880508801,0,NA,NA
"two-step",0.2,2500,1000,107,10,0.8,0.159132314078262,0.0130344334756848,1,0.00606060606060606
"two-step+refitted",0.2,2500,1000,107,10,0.8,0.1355241112988,0.157895189814417,1,0.00606060606060606
"two-step oracle",0.2,2500,1000,107,10,0.8,0.149686019100851,0,NA,NA
"two-step",0.2,2500,1000,107,10,1,0.120470531013901,0.00993597033969234,1,0.00707070707070707
"two-step+refitted",0.2,2500,1000,107,10,1,0.103635459002599,0.128444317552502,1,0.00707070707070707
"two-step oracle",0.2,2500,1000,107,10,1,0.113433970592363,0,NA,NA
"two-step",0.2,2500,1000,108,10,0.2,0.795190604031591,0.0241649337870154,0.3,0.00202020202020202
"two-step+refitted",0.2,2500,1000,108,10,0.2,0.883107785116124,0.629941462805319,0.3,0.00202020202020202
"two-step oracle",0.2,2500,1000,108,10,0.2,0.543531588507209,0,NA,NA
"two-step",0.2,2500,1000,108,10,0.4,0.289313103549898,0.0685340586295131,1,0.0202020202020202
"two-step+refitted",0.2,2500,1000,108,10,0.4,0.280041062897505,0.613989767489804,1,0.0202020202020202
"two-step oracle",0.2,2500,1000,108,10,0.4,0.220031395678307,0,NA,NA
"two-step",0.2,2500,1000,108,10,0.6,0.158278911412182,0.044286622700886,1,0.0212121212121212
"two-step+refitted",0.2,2500,1000,108,10,0.6,0.150435619792011,0.345704308221819,1,0.0212121212121212
"two-step oracle",0.2,2500,1000,108,10,0.6,0.120916414772683,0,NA,NA
"two-step",0.2,2500,1000,108,10,0.8,0.108828718339895,0.0237371966271901,1,0.0171717171717172
"two-step+refitted",0.2,2500,1000,108,10,0.8,0.109087455622666,0.217129179699293,1,0.0171717171717172
"two-step oracle",0.2,2500,1000,108,10,0.8,0.082589203973305,0,NA,NA
"two-step",0.2,2500,1000,108,10,1,0.0813860126956386,0.0283345216558991,1,0.0242424242424242
"two-step+refitted",0.2,2500,1000,108,10,1,0.0808598926423829,0.187387108720133,1,0.0242424242424242
"two-step oracle",0.2,2500,1000,108,10,1,0.0625871500293055,0,NA,NA
"two-step",0.2,2500,1000,109,10,0.2,0.600755639505492,0.0899329594971371,0.4,0.00505050505050505
"two-step+refitted",0.2,2500,1000,109,10,0.2,0.665756658985378,0.963663200587258,0.4,0.00505050505050505
"two-step oracle",0.2,2500,1000,109,10,0.2,1.01382936442499,0,NA,NA
"two-step",0.2,2500,1000,109,10,0.4,0.418424827931747,0.0976784302169355,1,0.0121212121212121
"two-step+refitted",0.2,2500,1000,109,10,0.4,0.414711868450913,0.527598361200633,1,0.0121212121212121
"two-step oracle",0.2,2500,1000,109,10,0.4,0.410416422432308,0,NA,NA
"two-step",0.2,2500,1000,109,10,0.6,0.230257934886938,0.0484174710441967,1,0.0111111111111111
"two-step+refitted",0.2,2500,1000,109,10,0.6,0.229835443261985,0.285981088398333,1,0.0111111111111111
"two-step oracle",0.2,2500,1000,109,10,0.6,0.225540915246943,0,NA,NA
"two-step",0.2,2500,1000,109,10,0.8,0.15707680532217,0.0353220589065823,1,0.0111111111111111
"two-step+refitted",0.2,2500,1000,109,10,0.8,0.156976537054995,0.195336018792451,1,0.0111111111111111
"two-step oracle",0.2,2500,1000,109,10,0.8,0.15405058683449,0,NA,NA
"two-step",0.2,2500,1000,109,10,1,0.118974596997046,0.0264107822021111,1,0.0111111111111111
"two-step+refitted",0.2,2500,1000,109,10,1,0.11895202100345,0.148029517488528,1,0.0111111111111111
"two-step oracle",0.2,2500,1000,109,10,1,0.116741495576461,0,NA,NA
"two-step",0.2,2500,1000,10,10,0.2,0.49700994467028,0.135404136860428,0.5,0.00505050505050505
"two-step+refitted",0.2,2500,1000,10,10,0.2,0.343021326018497,0.850639459751345,0.5,0.00505050505050505
"two-step oracle",0.2,2500,1000,10,10,0.2,0.436293927660657,0,NA,NA
"two-step",0.2,2500,1000,10,10,0.4,0.18486620573117,0.0588460862988342,1,0.00606060606060606
"two-step+refitted",0.2,2500,1000,10,10,0.4,0.169551371527895,0.343729184927464,1,0.00606060606060606
