"Method","alpha","n","p","seed","s","mul","est_error","est_error_FP","TPR","FPR"
"two-step+refitted",0.2,2500,1000,184,10,0.4,0.289257090627147,0.78024623692488,1,0.0323232323232323
"two-step oracle",0.2,2500,1000,184,10,0.4,0.301805383097175,0,NA,NA
"two-step",0.2,2500,1000,184,10,0.6,0.174099020261199,0.119621844326991,1,0.0323232323232323
"two-step+refitted",0.2,2500,1000,184,10,0.6,0.158962361919664,0.428780954718041,1,0.0323232323232323
"two-step oracle",0.2,2500,1000,184,10,0.6,0.16585462620326,0,NA,NA
"two-step",0.2,2500,1000,184,10,0.8,0.11875870493148,0.083124665435409,1,0.0323232323232323
"two-step+refitted",0.2,2500,1000,184,10,0.8,0.108573995830313,0.292869194668542,1,0.0323232323232323
"two-step oracle",0.2,2500,1000,184,10,0.8,0.113283226096043,0,NA,NA
"two-step",0.2,2500,1000,184,10,1,0.0918726166204866,0.0519092490708294,1,0.0252525252525253
"two-step+refitted",0.2,2500,1000,184,10,1,0.0802250406529722,0.20415007942975,1,0.0252525252525253
"two-step oracle",0.2,2500,1000,184,10,1,0.0858474706908249,0,NA,NA
"two-step",0.2,2500,1000,185,10,0.2,0.494226511358341,0.534864316373751,0.6,0.0464646464646465
"two-step+refitted",0.2,2500,1000,185,10,0.2,0.639984347428136,2.26850718588811,0.6,0.0464646464646465
"two-step oracle",0.2,2500,1000,185,10,0.2,0.575269269140285,0,NA,NA
"two-step",0.2,2500,1000,185,10,0.4,0.25783832745139,0.228165872776121,1,0.0484848484848485
"two-step+refitted",0.2,2500,1000,185,10,0.4,0.222005290426657,0.940677059366978,1,0.0484848484848485
"two-step oracle",0.2,2500,1000,185,10,0.4,0.2328793815414,0,NA,NA
"two-step",0.2,2500,1000,185,10,0.6,0.14274367409492,0.116108490291859,1,0.0444444444444444
"two-step+refitted",0.2,2500,1000,185,10,0.6,0.123645981255672,0.509062858346872,1,0.0444444444444444
"two-step oracle",0.2,2500,1000,185,10,0.6,0.127976918037804,0,NA,NA
"two-step",0.2,2500,1000,185,10,0.8,0.0961477965887508,0.0919252092974587,1,0.0505050505050505
"two-step+refitted",0.2,2500,1000,185,10,0.8,0.0831964350536376,0.351704836532663,1,0.0505050505050505
"two-step oracle",0.2,2500,1000,185,10,0.8,0.0874117199684476,0,NA,NA
"two-step",0.2,2500,1000,185,10,1,0.0730437579009686,0.067963777582893,1,0.0484848484848485
"two-step+refitted",0.2,2500,1000,185,10,1,0.0631584089768901,0.267290472251688,1,0.0484848484848485
"two-step oracle",0.2,2500,1000,185,10,1,0.0662417140350875,0,NA,NA
"two-step",0.2,2500,1000,186,10,0.2,0.609718304567677,0.457767076342145,0.4,0.0323232323232323
"two-step+refitted",0.2,2500,1000,186,10,0.2,0.595623296354337,1.98118709596133,0.4,0.0323232323232323
"two-step oracle",0.2,2500,1000,186,10,0.2,0.445330388127707,0,NA,NA
"two-step",0.2,2500,1000,186,10,0.4,0.185095351768842,0.211854208251324,1,0.0414141414141414
"two-step+refitted",0.2,2500,1000,186,10,0.4,0.17107346781623,0.884051828135101,1,0.0414141414141414
"two-step oracle",0.2,2500,1000,186,10,0.4,0.180277777611449,0,NA,NA
"two-step",0.2,2500,1000,186,10,0.6,0.102334167562012,0.111126595227926,1,0.0373737373737374
"two-step+refitted",0.2,2500,1000,186,10,0.6,0.0922261658106715,0.463821132436775,1,0.0373737373737374
"two-step oracle",0.2,2500,1000,186,10,0.6,0.0990701461705677,0,NA,NA
"two-step",0.2,2500,1000,186,10,0.8,0.0710872765809857,0.067831458657952,1,0.0333333333333333
"two-step+refitted",0.2,2500,1000,186,10,0.8,0.065947420797875,0.307026234325539,1,0.0333333333333333
"two-step oracle",0.2,2500,1000,186,10,0.8,0.067667607620752,0,NA,NA
"two-step",0.2,2500,1000,186,10,1,0.0526345274777127,0.0639329099985621,1,0.0444444444444444
"two-step+refitted",0.2,2500,1000,186,10,1,0.047442268458705,0.25568180033402,1,0.0444444444444444
"two-step oracle",0.2,2500,1000,186,10,1,0.051279374379886,0,NA,NA
"two-step",0.2,2500,1000,187,10,0.2,0.668552925553734,0.520553555436273,0.4,0.0404040404040404
"two-step+refitted",0.2,2500,1000,187,10,0.2,0.803975733733924,1.92586844434764,0.4,0.0404040404040404
"two-step oracle",0.2,2500,1000,187,10,0.2,0.821951129780563,0,NA,NA
"two-step",0.2,2500,1000,187,10,0.4,0.316569310633876,0.232701127910835,1,0.0555555555555556
"two-step+refitted",0.2,2500,1000,187,10,0.4,0.299999403687956,0.893535491467772,1,0.0555555555555556
"two-step oracle",0.2,2500,1000,187,10,0.4,0.332740650385544,0,NA,NA
"two-step",0.2,2500,1000,187,10,0.6,0.175527094957521,0.116037015489981,1,0.0454545454545455
"two-step+refitted",0.2,2500,1000,187,10,0.6,0.169518971221035,0.453220267668088,1,0.0454545454545455
"two-step oracle",0.2,2500,1000,187,10,0.6,0.18285484382681,0,NA,NA
"two-step",0.2,2500,1000,187,10,0.8,0.120223533332172,0.0759428499129143,1,0.0404040404040404
"two-step+refitted",0.2,2500,1000,187,10,0.8,0.124419535807349,0.297054837871495,1,0.0404040404040404
"two-step oracle",0.2,2500,1000,187,10,0.8,0.124894837667077,0,NA,NA
"two-step",0.2,2500,1000,187,10,1,0.0912837047377036,0.0569543058712792,1,0.0393939393939394
"two-step+refitted",0.2,2500,1000,187,10,1,0.0920667591637469,0.230434695964251,1,0.0393939393939394
"two-step oracle",0.2,2500,1000,187,10,1,0.0946468977407945,0,NA,NA
"two-step",0.2,2500,1000,188,10,0.2,0.62234172468718,0.0907636999206422,0.4,0.00707070707070707
"two-step+refitted",0.2,2500,1000,188,10,0.2,0.637365602917436,1.04387339527309,0.4,0.00707070707070707
"two-step oracle",0.2,2500,1000,188,10,0.2,0.559853085320919,0,NA,NA
"two-step",0.2,2500,1000,188,10,0.4,0.26543798493326,0.13598889249484,1,0.0313131313131313
"two-step+refitted",0.2,2500,1000,188,10,0.4,0.243055409764591,0.726537284738694,1,0.0313131313131313
"two-step oracle",0.2,2500,1000,188,10,0.4,0.226638632128617,0,NA,NA
"two-step",0.2,2500,1000,188,10,0.6,0.146417740422554,0.0701388963918809,1,0.0292929292929293
"two-step+refitted",0.2,2500,1000,188,10,0.6,0.133903091215797,0.388081336028457,1,0.0292929292929293
"two-step oracle",0.2,2500,1000,188,10,0.6,0.124547366349685,0,NA,NA
"two-step",0.2,2500,1000,188,10,0.8,0.0986290949930694,0.0609599066406693,1,0.0353535353535354
"two-step+refitted",0.2,2500,1000,188,10,0.8,0.0892899285070456,0.276384013421035,1,0.0353535353535354
"two-step oracle",0.2,2500,1000,188,10,0.8,0.0850692427750958,0,NA,NA
"two-step",0.2,2500,1000,188,10,1,0.074817325080867,0.0455221915330477,1,0.0353535353535354
"two-step+refitted",0.2,2500,1000,188,10,1,0.0676682074088099,0.209447912757308,1,0.0353535353535354
"two-step oracle",0.2,2500,1000,188,10,1,0.0644665550011268,0,NA,NA
"two-step",0.2,2500,1000,189,10,0.2,0.705716445238432,0.0290857750497481,0.4,0.00202020202020202
"two-step+refitted",0.2,2500,1000,189,10,0.2,0.566160522633668,0.648307496426304,0.4,0.00202020202020202
"two-step oracle",0.2,2500,1000,189,10,0.2,0.858933548981432,0,NA,NA
"two-step",0.2,2500,1000,189,10,0.4,0.351311363553037,0.138329787367442,1,0.0303030303030303
"two-step+refitted",0.2,2500,1000,189,10,0.4,0.363664240674884,0.753499548799295,1,0.0303030303030303
"two-step oracle",0.2,2500,1000,189,10,0.4,0.347711801068204,0,NA,NA
"two-step",0.2,2500,1000,189,10,0.6,0.194553432198874,0.0530376812673569,1,0.0202020202020202
"two-step+refitted",0.2,2500,1000,189,10,0.6,0.197026555022742,0.362854757356212,1,0.0202020202020202
"two-step oracle",0.2,2500,1000,189,10,0.6,0.191082114576002,0,NA,NA
"two-step",0.2,2500,1000,189,10,0.8,0.132211688401986,0.0464075333258651,1,0.0262626262626263
"two-step+refitted",0.2,2500,1000,189,10,0.8,0.127428203975331,0.271537707524801,1,0.0262626262626263
"two-step oracle",0.2,2500,1000,189,10,0.8,0.130514287626176,0,NA,NA
"two-step",0.2,2500,1000,189,10,1,0.100176865710939,0.033805935456347,1,0.0262626262626263
"two-step+refitted",0.2,2500,1000,189,10,1,0.0965664060048114,0.205769768102763,1,0.0262626262626263
"two-step oracle",0.2,2500,1000,189,10,1,0.0989053884484441,0,NA,NA
"two-step",0.2,2500,1000,18,10,0.2,0.736601238110086,0.0483845179333866,0.4,0.00303030303030303
"two-step+refitted",0.2,2500,1000,18,10,0.2,0.619018350186961,0.731603075608097,0.4,0.00303030303030303
"two-step oracle",0.2,2500,1000,18,10,0.2,0.521551248012401,0,NA,NA
"two-step",0.2,2500,1000,18,10,0.4,0.259916877931183,0.0414674220482263,1,0.00303030303030303
"two-step+refitted",0.2,2500,1000,18,10,0.4,0.181855869551134,0.293961752836521,1,0.00303030303030303
"two-step oracle",0.2,2500,1000,18,10,0.4,0.211133357185568,0,NA,NA
"two-step",0.2,2500,1000,18,10,0.6,0.145097280348877,0.0187048151249939,1,0.00202020202020202
"two-step+refitted",0.2,2500,1000,18,10,0.6,0.101571941520151,0.133972818423174,1,0.00202020202020202
"two-step oracle",0.2,2500,1000,18,10,0.6,0.116026572076671,0,NA,NA
"two-step",0.2,2500,1000,18,10,0.8,0.0997982087393267,0.0116065409231809,1,0.00202020202020202
"two-step+refitted",0.2,2500,1000,18,10,0.8,0.0693781317503099,0.0915068979402602,1,0.00202020202020202
"two-step oracle",0.2,2500,1000,18,10,0.8,0.0792493082562717,0,NA,NA
"two-step",0.2,2500,1000,18,10,1,0.0756071765652668,0.008836839237285,1,0.00202020202020202
"two-step+refitted",0.2,2500,1000,18,10,1,0.0525777637991513,0.0693452814982817,1,0.00202020202020202
"two-step oracle",0.2,2500,1000,18,10,1,0.0600561345421993,0,NA,NA
"two-step",0.2,2500,1000,190,10,0.2,0.855961738209497,0.22283684718974,0.3,0.00909090909090909
"two-step+refitted",0.2,2500,1000,190,10,0.2,1.09466543130889,1.54691578343252,0.3,0.00909090909090909
"two-step oracle",0.2,2500,1000,190,10,0.2,1.00053217392953,0,NA,NA
"two-step",0.2,2500,1000,190,10,0.4,0.486560861468026,0.125803213219916,1,0.0131313131313131
"two-step+refitted",0.2,2500,1000,190,10,0.4,0.381666460876284,0.687360301327201,1,0.0131313131313131
"two-step oracle",0.2,2500,1000,190,10,0.4,0.405033479756707,0,NA,NA
"two-step",0.2,2500,1000,190,10,0.6,0.26344818159348,0.0858628297756871,1,0.0161616161616162
"two-step+refitted",0.2,2500,1000,190,10,0.6,0.213906560283438,0.390036201107307,1,0.0161616161616162
"two-step oracle",0.2,2500,1000,190,10,0.6,0.222582764082855,0,NA,NA
"two-step",0.2,2500,1000,190,10,0.8,0.182278022791145,0.0499024608675581,1,0.0131313131313131
"two-step+refitted",0.2,2500,1000,190,10,0.8,0.143286412598542,0.258036248150969,1,0.0131313131313131
"two-step oracle",0.2,2500,1000,190,10,0.8,0.152030089035798,0,NA,NA
"two-step",0.2,2500,1000,190,10,1,0.13861156553752,0.0356060553580797,1,0.0131313131313131
"two-step+refitted",0.2,2500,1000,190,10,1,0.108568725022638,0.195533714951689,1,0.0131313131313131
"two-step oracle",0.2,2500,1000,190,10,1,0.115210336626176,0,NA,NA
"two-step",0.2,2500,1000,191,10,0.2,0.732659282945797,0.0431617056983602,0.3,0.00101010101010101
"two-step+refitted",0.2,2500,1000,191,10,0.2,0.820629978446714,0.517430159838302,0.3,0.00101010101010101
"two-step oracle",0.2,2500,1000,191,10,0.2,0.615445223232381,0,NA,NA
"two-step",0.2,2500,1000,191,10,0.4,0.277450854442695,0.13160070955989,1,0.0252525252525253
"two-step+refitted",0.2,2500,1000,191,10,0.4,0.236042958993586,0.657495991892295,1,0.0252525252525253
"two-step oracle",0.2,2500,1000,191,10,0.4,0.249143332779035,0,NA,NA
"two-step",0.2,2500,1000,191,10,0.6,0.150672290634553,0.0828726438665881,1,0.0282828282828283
"two-step+refitted",0.2,2500,1000,191,10,0.6,0.131280658178407,0.363264135814258,1,0.0282828282828283
"two-step oracle",0.2,2500,1000,191,10,0.6,0.136914636528519,0,NA,NA
"two-step",0.2,2500,1000,191,10,0.8,0.102915960091814,0.054155563656561,1,0.0282828282828283
"two-step+refitted",0.2,2500,1000,191,10,0.8,0.089462430290788,0.249168221661969,1,0.0282828282828283
"two-step oracle",0.2,2500,1000,191,10,0.8,0.0935164250812609,0,NA,NA
"two-step",0.2,2500,1000,191,10,1,0.0784596499876469,0.0402674320214547,1,0.0262626262626263
"two-step+refitted",0.2,2500,1000,191,10,1,0.06651182306577,0.189110901729687,1,0.0262626262626263
"two-step oracle",0.2,2500,1000,191,10,1,0.0708679372749195,0,NA,NA
"two-step",0.2,2500,1000,192,10,0.2,0.709155294991773,0.28143243000324,0.5,0.0161616161616162
"two-step+refitted",0.2,2500,1000,192,10,0.2,0.912230138833576,1.512809842037,0.5,0.0161616161616162
"two-step oracle",0.2,2500,1000,192,10,0.2,0.663841805080291,0,NA,NA
"two-step",0.2,2500,1000,192,10,0.4,0.320506028015232,0.140710989811304,1,0.0232323232323232
"two-step+refitted",0.2,2500,1000,192,10,0.4,0.283789736260091,0.660570985033438,1,0.0232323232323232
"two-step oracle",0.2,2500,1000,192,10,0.4,0.268735142482864,0,NA,NA
"two-step",0.2,2500,1000,192,10,0.6,0.177059539200428,0.0728978485500113,1,0.0202020202020202
"two-step+refitted",0.2,2500,1000,192,10,0.6,0.151699108951097,0.360361120131697,1,0.0202020202020202
"two-step oracle",0.2,2500,1000,192,10,0.6,0.14768115182964,0,NA,NA
"two-step",0.2,2500,1000,192,10,0.8,0.120917343161246,0.0489872687620927,1,0.0202020202020202
"two-step+refitted",0.2,2500,1000,192,10,0.8,0.103421803700692,0.246015626838929,1,0.0202020202020202
"two-step oracle",0.2,2500,1000,192,10,0.8,0.100870248215676,0,NA,NA
"two-step",0.2,2500,1000,192,10,1,0.0920728457614033,0.0360770961804694,1,0.0202020202020202
"two-step+refitted",0.2,2500,1000,192,10,1,0.078540775659621,0.186529338794566,1,0.0202020202020202
"two-step oracle",0.2,2500,1000,192,10,1,0.0764407580512362,0,NA,NA
"two-step",0.2,2500,1000,193,10,0.2,0.952182214451648,0.354236778590425,0.6,0.0191919191919192
"two-step+refitted",0.2,2500,1000,193,10,0.2,1.27739687094151,1.80089329161136,0.6,0.0191919191919192
"two-step oracle",0.2,2500,1000,193,10,0.2,1.19186954219611,0,NA,NA
"two-step",0.2,2500,1000,193,10,0.4,0.507272012230055,0.135834849398006,0.9,0.0171717171717172
"two-step+refitted",0.2,2500,1000,193,10,0.4,0.480746217004777,0.692139967450728,0.9,0.0171717171717172
"two-step oracle",0.2,2500,1000,193,10,0.4,0.482490299333161,0,NA,NA
"two-step",0.2,2500,1000,193,10,0.6,0.280824019135214,0.0825047404197205,1,0.0202020202020202
"two-step+refitted",0.2,2500,1000,193,10,0.6,0.249117903537546,0.395583689962897,1,0.0202020202020202
"two-step oracle",0.2,2500,1000,193,10,0.6,0.265148512002634,0,NA,NA
"two-step",0.2,2500,1000,193,10,0.8,0.192803690689331,0.0507925461793875,1,0.0171717171717172
"two-step+refitted",0.2,2500,1000,193,10,0.8,0.173336077206496,0.259594509787594,1,0.0171717171717172
"two-step oracle",0.2,2500,1000,193,10,0.8,0.181103653975939,0,NA,NA
"two-step",0.2,2500,1000,193,10,1,0.144354458621485,0.0480789862576242,1,0.0232323232323232
"two-step+refitted",0.2,2500,1000,193,10,1,0.126067073712518,0.216942408791995,1,0.0232323232323232
"two-step oracle",0.2,2500,1000,193,10,1,0.137242654208309,0,NA,NA
"two-step",0.2,2500,1000,194,10,0.2,0.762837110957684,0.22332834249347,0.3,0.0131313131313131
"two-step+refitted",0.2,2500,1000,194,10,0.2,0.755142368816629,1.40466151057556,0.3,0.0131313131313131
"two-step oracle",0.2,2500,1000,194,10,0.2,0.991794689657849,0,NA,NA
"two-step",0.2,2500,1000,194,10,0.4,0.390989551024673,0.124741512068379,1,0.0242424242424242
"two-step+refitted",0.2,2500,1000,194,10,0.4,0.362287126919881,0.667768180725468,1,0.0242424242424242
"two-step oracle",0.2,2500,1000,194,10,0.4,0.401496388445609,0,NA,NA
"two-step",0.2,2500,1000,194,10,0.6,0.214370001759712,0.0731503793630734,1,0.0252525252525253
"two-step+refitted",0.2,2500,1000,194,10,0.6,0.202084152141862,0.36869835059816,1,0.0252525252525253
"two-step oracle",0.2,2500,1000,194,10,0.6,0.220638985111028,0,NA,NA
"two-step",0.2,2500,1000,194,10,0.8,0.147275907407552,0.042336144808189,1,0.0191919191919192
"two-step+refitted",0.2,2500,1000,194,10,0.8,0.137603948559755,0.240594901302145,1,0.0191919191919192
"two-step oracle",0.2,2500,1000,194,10,0.8,0.150702435066857,0,NA,NA
"two-step",0.2,2500,1000,194,10,1,0.110611499015612,0.0412349294340947,1,0.0282828282828283
"two-step+refitted",0.2,2500,1000,194,10,1,0.10277902757169,0.195027115912781,1,0.0282828282828283
"two-step oracle",0.2,2500,1000,194,10,1,0.114204223549118,0,NA,NA
"two-step",0.2,2500,1000,195,10,0.2,0.69399743452178,0.425262204403032,0.5,0.0292929292929293
"two-step+refitted",0.2,2500,1000,195,10,0.2,0.806697525094618,1.9615526566113,0.5,0.0292929292929293
"two-step oracle",0.2,2500,1000,195,10,0.2,0.886210436301213,0,NA,NA
"two-step",0.2,2500,1000,195,10,0.4,0.34162282518285,0.230570494320929,1,0.0393939393939394
"two-step+refitted",0.2,2500,1000,195,10,0.4,0.357636909595874,0.898392392425259,1,0.0393939393939394
"two-step oracle",0.2,2500,1000,195,10,0.4,0.358753977297954,0,NA,NA
"two-step",0.2,2500,1000,195,10,0.6,0.18814986150086,0.115793466386755,1,0.0343434343434343
"two-step+refitted",0.2,2500,1000,195,10,0.6,0.191872997797004,0.464901501072374,1,0.0343434343434343
"two-step oracle",0.2,2500,1000,195,10,0.6,0.19715025024761,0,NA,NA
"two-step",0.2,2500,1000,195,10,0.8,0.128061169770298,0.0873192174703901,1,0.0393939393939394
"two-step+refitted",0.2,2500,1000,195,10,0.8,0.134091123760023,0.337071027090418,1,0.0393939393939394
"two-step oracle",0.2,2500,1000,195,10,0.8,0.134658989531723,0,NA,NA
"two-step",0.2,2500,1000,195,10,1,0.0971295922470808,0.0635809373342463,1,0.0383838383838384
"two-step+refitted",0.2,2500,1000,195,10,1,0.10095896797204,0.251488467157009,1,0.0383838383838384
"two-step oracle",0.2,2500,1000,195,10,1,0.10204629630939,0,NA,NA
"two-step",0.2,2500,1000,196,10,0.2,0.622611708626446,0.713058289376687,0.8,0.0585858585858586
"two-step+refitted",0.2,2500,1000,196,10,0.2,0.598403199355767,2.59653223061692,0.8,0.0585858585858586
"two-step oracle",0.2,2500,1000,196,10,0.2,0.577254048447321,0,NA,NA
"two-step",0.2,2500,1000,196,10,0.4,0.236347833785693,0.25502544483201,1,0.0575757575757576
"two-step+refitted",0.2,2500,1000,196,10,0.4,0.215352076999243,1.03623908747452,1,0.0575757575757576
"two-step oracle",0.2,2500,1000,196,10,0.4,0.23368285602251,0,NA,NA
"two-step",0.2,2500,1000,196,10,0.6,0.130451281981181,0.13471035095039,1,0.0555555555555556
"two-step+refitted",0.2,2500,1000,196,10,0.6,0.114448214862511,0.56731421015539,1,0.0555555555555556
"two-step oracle",0.2,2500,1000,196,10,0.6,0.128418460724557,0,NA,NA
"two-step",0.2,2500,1000,196,10,0.8,0.0882782769725966,0.10038001203445,1,0.0575757575757576
"two-step+refitted",0.2,2500,1000,196,10,0.8,0.0808387243295867,0.388969350212979,1,0.0575757575757576
"two-step oracle",0.2,2500,1000,196,10,0.8,0.0877133056471823,0,NA,NA
"two-step",0.2,2500,1000,196,10,1,0.0672239124848922,0.0723823569741956,1,0.0575757575757576
"two-step+refitted",0.2,2500,1000,196,10,1,0.0612340531378615,0.294837277577086,1,0.0575757575757576
"two-step oracle",0.2,2500,1000,196,10,1,0.0664702595012423,0,NA,NA
"two-step",0.2,2500,1000,197,10,0.2,0.798396504336477,0.360520376132663,0.5,0.0161616161616162
"two-step+refitted",0.2,2500,1000,197,10,0.2,0.903123133517495,1.72084213902453,0.5,0.0161616161616162
"two-step oracle",0.2,2500,1000,197,10,0.2,0.981873503888893,0,NA,NA
"two-step",0.2,2500,1000,197,10,0.4,0.409753791477641,0.162660220390311,1,0.0202020202020202
"two-step+refitted",0.2,2500,1000,197,10,0.4,0.387357951177066,0.746871867158357,1,0.0202020202020202
"two-step oracle",0.2,2500,1000,197,10,0.4,0.397480113407161,0,NA,NA
"two-step",0.2,2500,1000,197,10,0.6,0.223688071920787,0.0989635986145764,1,0.0252525252525253
"two-step+refitted",0.2,2500,1000,197,10,0.6,0.202637353142619,0.441909475295211,1,0.0252525252525253
"two-step oracle",0.2,2500,1000,197,10,0.6,0.218431874726203,0,NA,NA
"two-step",0.2,2500,1000,197,10,0.8,0.153549079243936,0.0623343049991762,1,0.0202020202020202
"two-step+refitted",0.2,2500,1000,197,10,0.8,0.14527879924742,0.280171983193335,1,0.0202020202020202
"two-step oracle",0.2,2500,1000,197,10,0.8,0.149194918572039,0,NA,NA
"two-step",0.2,2500,1000,197,10,1,0.116445822098892,0.0463383482558981,1,0.0202020202020202
"two-step+refitted",0.2,2500,1000,197,10,1,0.110100424591455,0.212323245069962,1,0.0202020202020202
"two-step oracle",0.2,2500,1000,197,10,1,0.113061808360526,0,NA,NA
"two-step",0.2,2500,1000,198,10,0.2,0.649197948423299,0.263630518502179,0.4,0.0131313131313131
"two-step+refitted",0.2,2500,1000,198,10,0.2,0.577296875288254,1.3744161578972,0.4,0.0131313131313131
"two-step oracle",0.2,2500,1000,198,10,0.2,0.875854482021634,0,NA,NA
"two-step",0.2,2500,1000,198,10,0.4,0.373817855239374,0.122314797473357,1,0.0171717171717172
"two-step+refitted",0.2,2500,1000,198,10,0.4,0.376803288129565,0.605632032743336,1,0.0171717171717172
"two-step oracle",0.2,2500,1000,198,10,0.4,0.354561700120518,0,NA,NA
"two-step",0.2,2500,1000,198,10,0.6,0.205264283680757,0.0677836416785195,1,0.0171717171717172
"two-step+refitted",0.2,2500,1000,198,10,0.6,0.207072650040147,0.332813113265574,1,0.0171717171717172
"two-step oracle",0.2,2500,1000,198,10,0.6,0.19484641935809,0,NA,NA
"two-step",0.2,2500,1000,198,10,0.8,0.140350865257374,0.0436051813804224,1,0.0171717171717172
"two-step+refitted",0.2,2500,1000,198,10,0.8,0.141440129462896,0.227318748516611,1,0.0171717171717172
"two-step oracle",0.2,2500,1000,198,10,0.8,0.133085410298388,0,NA,NA
"two-step",0.2,2500,1000,198,10,1,0.1063396867168,0.0329450764069534,1,0.0171717171717172
"two-step+refitted",0.2,2500,1000,198,10,1,0.107187195466076,0.172265563076872,1,0.0171717171717172
"two-step oracle",0.2,2500,1000,198,10,1,0.100853817936656,0,NA,NA
"two-step",0.2,2500,1000,199,10,0.2,0.768560326132377,0.197713875148383,0.3,0.00606060606060606
"two-step+refitted",0.2,2500,1000,199,10,0.2,0.91707899455236,0.990839332487568,0.3,0.00606060606060606
"two-step oracle",0.2,2500,1000,199,10,0.2,0.83713437891277,0,NA,NA
"two-step",0.2,2500,1000,199,10,0.4,0.308249694508816,0.097152451239117,1,0.0121212121212121
"two-step+refitted",0.2,2500,1000,199,10,0.4,0.353443691217285,0.526348352023691,1,0.0121212121212121
"two-step oracle",0.2,2500,1000,199,10,0.4,0.338887103633391,0,NA,NA
"two-step",0.2,2500,1000,199,10,0.6,0.169747960476887,0.0625517927374023,1,0.0171717171717172
"two-step+refitted",0.2,2500,1000,199,10,0.6,0.197466374087062,0.336036824303922,1,0.0171717171717172
"two-step oracle",0.2,2500,1000,199,10,0.6,0.186232575845491,0,NA,NA
"two-step",0.2,2500,1000,199,10,0.8,0.115848724267249,0.0410935050516664,1,0.0161616161616162
"two-step+refitted",0.2,2500,1000,199,10,0.8,0.132877498360628,0.229007479010896,1,0.0161616161616162
"two-step oracle",0.2,2500,1000,199,10,0.8,0.127201920615096,0,NA,NA
"two-step",0.2,2500,1000,199,10,1,0.0877846855305023,0.0310071012114778,1,0.0161616161616162
"two-step+refitted",0.2,2500,1000,199,10,1,0.10069527734118,0.173543832810269,1,0.0161616161616162
"two-step oracle",0.2,2500,1000,199,10,1,0.0963952345651167,0,NA,NA
"two-step",0.2,2500,1000,19,10,0.2,0.851701428216625,0.376746924204152,0.6,0.0272727272727273
"two-step+refitted",0.2,2500,1000,19,10,0.2,0.841323119527804,1.83967378829285,0.6,0.0272727272727273
"two-step oracle",0.2,2500,1000,19,10,0.2,0.670855167787326,0,NA,NA
"two-step",0.2,2500,1000,19,10,0.4,0.382262301400955,0.159082921415481,1,0.0282828282828283
"two-step+refitted",0.2,2500,1000,19,10,0.4,0.333370681414421,0.745077290945284,1,0.0282828282828283
"two-step oracle",0.2,2500,1000,19,10,0.4,0.271574278270843,0,NA,NA
"two-step",0.2,2500,1000,19,10,0.6,0.212791126322601,0.0717826006203141,1,0.0191919191919192
"two-step+refitted",0.2,2500,1000,19,10,0.6,0.175018854381232,0.358198193297725,1,0.0191919191919192
"two-step oracle",0.2,2500,1000,19,10,0.6,0.149241375176298,0,NA,NA
"two-step",0.2,2500,1000,19,10,0.8,0.14365359354752,0.0597622739905631,1,0.0282828282828283
"two-step+refitted",0.2,2500,1000,19,10,0.8,0.12515346343664,0.279658451133407,1,0.0282828282828283
"two-step oracle",0.2,2500,1000,19,10,0.8,0.101935923247996,0,NA,NA
"two-step",0.2,2500,1000,19,10,1,0.109016180728913,0.0442860442763857,1,0.0272727272727273
"two-step+refitted",0.2,2500,1000,19,10,1,0.0934822070562104,0.210275080103375,1,0.0272727272727273
"two-step oracle",0.2,2500,1000,19,10,1,0.0772483401554546,0,NA,NA
"two-step",0.2,2500,1000,1,10,0.2,0.668804956026385,0.176523643478902,0.4,0.00808080808080808
"two-step+refitted",0.2,2500,1000,1,10,0.2,0.64019778882105,1.10668801896871,0.4,0.00808080808080808
"two-step oracle",0.2,2500,1000,1,10,0.2,0.729029627485569,0,NA,NA
"two-step",0.2,2500,1000,1,10,0.4,0.27958369431714,0.0887784362685891,1,0.0121212121212121
"two-step+refitted",0.2,2500,1000,1,10,0.4,0.27213425954985,0.56542072410576,1,0.0121212121212121
"two-step oracle",0.2,2500,1000,1,10,0.4,0.295124349381505,0,NA,NA
"two-step",0.2,2500,1000,1,10,0.6,0.155110506908252,0.038874810821414,1,0.0111111111111111
"two-step+refitted",0.2,2500,1000,1,10,0.6,0.146737289505968,0.300622339331183,1,0.0111111111111111
"two-step oracle",0.2,2500,1000,1,10,0.6,0.162183119955781,0,NA,NA
"two-step",0.2,2500,1000,1,10,0.8,0.104607125886699,0.0373302506678851,1,0.0141414141414141
"two-step+refitted",0.2,2500,1000,1,10,0.8,0.100507331753648,0.215282553699773,1,0.0141414141414141
"two-step oracle",0.2,2500,1000,1,10,0.8,0.110775487349968,0,NA,NA
"two-step",0.2,2500,1000,1,10,1,0.0792867621616329,0.0279889142331883,1,0.0141414141414141
"two-step+refitted",0.2,2500,1000,1,10,1,0.0761622469065312,0.163144301187671,1,0.0141414141414141
"two-step oracle",0.2,2500,1000,1,10,1,0.0839470743486389,0,NA,NA
"two-step",0.2,2500,1000,200,10,0.2,0.705038109097642,0.43237340436947,0.4,0.0161616161616162
"two-step+refitted",0.2,2500,1000,200,10,0.2,0.897061760623622,1.66757657004133,0.4,0.0161616161616162
"two-step oracle",0.2,2500,1000,200,10,0.2,0.861109151095296,0,NA,NA
"two-step",0.2,2500,1000,200,10,0.4,0.372536345968838,0.204017811639404,1,0.0222222222222222
