"Method","alpha","n","p","seed","s","est_error","est_error_FP","TPR","FPR"
"two-step",0.05,10000,1000,119,10,0.122513475919895,0.0480921532245556,1,0.0434343434343434
"two-step+refitted",0.05,10000,1000,119,10,0.0471997846123207,0.221465131707544,1,0.0434343434343434
"two-step oracle",0.05,10000,1000,119,10,0.038741759014542,0,NA,NA
"two-step",0.05,10000,1000,11,10,0.133242183470095,0.042534265892272,1,0.0343434343434343
"two-step+refitted",0.05,10000,1000,11,10,0.059159987668116,0.222717855446937,1,0.0343434343434343
"two-step oracle",0.05,10000,1000,11,10,0.0561729835845708,0,NA,NA
"two-step",0.05,10000,1000,120,10,0.125971930647095,0.0496159019969253,1,0.0454545454545455
"two-step+refitted",0.05,10000,1000,120,10,0.0622659513455365,0.239807099750809,1,0.0454545454545455
"two-step oracle",0.05,10000,1000,120,10,0.0617059656299624,0,NA,NA
"two-step",0.05,10000,1000,121,10,0.11934861619275,0.0343581332119406,1,0.0252525252525253
"two-step+refitted",0.05,10000,1000,121,10,0.0588556867976597,0.162938733671367,1,0.0252525252525253
"two-step oracle",0.05,10000,1000,121,10,0.0564213444180212,0,NA,NA
"two-step",0.05,10000,1000,122,10,0.0888164384797673,0.0686039547461026,1,0.0767676767676768
"two-step+refitted",0.05,10000,1000,122,10,0.06744526525801,0.271385074229245,1,0.0767676767676768
"two-step oracle",0.05,10000,1000,122,10,0.0652166449157425,0,NA,NA
"two-step",0.05,10000,1000,123,10,0.141064722565199,0.0358130636972035,1,0.0272727272727273
"two-step+refitted",0.05,10000,1000,123,10,0.0600982761014677,0.195475971835163,1,0.0272727272727273
"two-step oracle",0.05,10000,1000,123,10,0.0632629342394486,0,NA,NA
"two-step",0.05,10000,1000,124,10,0.0820619790641632,0.0413377914106049,1,0.0464646464646465
"two-step+refitted",0.05,10000,1000,124,10,0.0288758097254223,0.220958844697292,1,0.0464646464646465
"two-step oracle",0.05,10000,1000,124,10,0.0295271894919789,0,NA,NA
"two-step",0.05,10000,1000,125,10,0.111961476577844,0.0435931630400503,1,0.0515151515151515
"two-step+refitted",0.05,10000,1000,125,10,0.0571750658626587,0.228365178438037,1,0.0515151515151515
"two-step oracle",0.05,10000,1000,125,10,0.0543147743133444,0,NA,NA
"two-step",0.05,10000,1000,126,10,0.111403573628443,0.0500813532286623,1,0.0282828282828283
"two-step+refitted",0.05,10000,1000,126,10,0.0405747165029285,0.188568861400626,1,0.0282828282828283
"two-step oracle",0.05,10000,1000,126,10,0.0430524539880375,0,NA,NA
"two-step",0.05,10000,1000,127,10,0.110987649459073,0.0502620238139581,1,0.0505050505050505
"two-step+refitted",0.05,10000,1000,127,10,0.0466117684016739,0.234880520670582,1,0.0505050505050505
"two-step oracle",0.05,10000,1000,127,10,0.0532393081594931,0,NA,NA
"two-step",0.05,10000,1000,128,10,0.0862306332050127,0.0540876203125219,1,0.0505050505050505
"two-step+refitted",0.05,10000,1000,128,10,0.0386367902443861,0.2392310292141,1,0.0505050505050505
"two-step oracle",0.05,10000,1000,128,10,0.0366546380890933,0,NA,NA
"two-step",0.05,10000,1000,129,10,0.110647640824233,0.0273305583977645,1,0.0232323232323232
"two-step+refitted",0.05,10000,1000,129,10,0.0689236526969477,0.171775561146205,1,0.0232323232323232
"two-step oracle",0.05,10000,1000,129,10,0.0755355314299271,0,NA,NA
"two-step",0.05,10000,1000,12,10,0.0854182734640929,0.0387136052539703,1,0.0464646464646465
"two-step+refitted",0.05,10000,1000,12,10,0.0704538761229937,0.201277522974353,1,0.0464646464646465
"two-step oracle",0.05,10000,1000,12,10,0.0679194275544118,0,NA,NA
"two-step",0.05,10000,1000,130,10,0.095294630828452,0.0606066375381696,1,0.0535353535353535
"two-step+refitted",0.05,10000,1000,130,10,0.0455264597695699,0.231049805813629,1,0.0535353535353535
"two-step oracle",0.05,10000,1000,130,10,0.0551445380301753,0,NA,NA
"two-step",0.05,10000,1000,131,10,0.102165716325505,0.055512609190367,1,0.0484848484848485
"two-step+refitted",0.05,10000,1000,131,10,0.0616604521965667,0.224088850009604,1,0.0484848484848485
"two-step oracle",0.05,10000,1000,131,10,0.0633467271869574,0,NA,NA
"two-step",0.05,10000,1000,132,10,0.0914379806892127,0.0558832897173893,1,0.0505050505050505
"two-step+refitted",0.05,10000,1000,132,10,0.0554344587972871,0.237462334271049,1,0.0505050505050505
"two-step oracle",0.05,10000,1000,132,10,0.0499872771318938,0,NA,NA
"two-step",0.05,10000,1000,133,10,0.11400830187405,0.051171991475298,1,0.0414141414141414
"two-step+refitted",0.05,10000,1000,133,10,0.0473788325435069,0.234825936157601,1,0.0414141414141414
"two-step oracle",0.05,10000,1000,133,10,0.0545559657396153,0,NA,NA
"two-step",0.05,10000,1000,134,10,0.124419043190703,0.0389810424344588,1,0.0393939393939394
"two-step+refitted",0.05,10000,1000,134,10,0.0378463781869173,0.224487439811772,1,0.0393939393939394
"two-step oracle",0.05,10000,1000,134,10,0.0461677070578383,0,NA,NA
"two-step",0.05,10000,1000,135,10,0.0915084820982283,0.0393308982046094,1,0.0323232323232323
"two-step+refitted",0.05,10000,1000,135,10,0.0429983904498648,0.203533361036989,1,0.0323232323232323
"two-step oracle",0.05,10000,1000,135,10,0.0363485208449771,0,NA,NA
"two-step",0.05,10000,1000,136,10,0.118888823217534,0.0412043552521609,1,0.0434343434343434
"two-step+refitted",0.05,10000,1000,136,10,0.0541056987163289,0.214763891157151,1,0.0434343434343434
"two-step oracle",0.05,10000,1000,136,10,0.0509553782636663,0,NA,NA
"two-step",0.05,10000,1000,137,10,0.114522399954177,0.0399670646814596,1,0.0272727272727273
"two-step+refitted",0.05,10000,1000,137,10,0.0526434538116978,0.189676042241835,1,0.0272727272727273
"two-step oracle",0.05,10000,1000,137,10,0.0477287807866692,0,NA,NA
"two-step",0.05,10000,1000,138,10,0.0961997890649621,0.042710143099,1,0.0292929292929293
"two-step+refitted",0.05,10000,1000,138,10,0.0364540915374779,0.204519051781849,1,0.0292929292929293
"two-step oracle",0.05,10000,1000,138,10,0.0387184579584667,0,NA,NA
"two-step",0.05,10000,1000,139,10,0.130651153713871,0.050859370908416,1,0.0484848484848485
"two-step+refitted",0.05,10000,1000,139,10,0.0569866014422607,0.229497484751957,1,0.0484848484848485
"two-step oracle",0.05,10000,1000,139,10,0.0538477956223477,0,NA,NA
"two-step",0.05,10000,1000,13,10,0.116617793040879,0.0511588008634232,1,0.0393939393939394
"two-step+refitted",0.05,10000,1000,13,10,0.0465741075533757,0.208876198378373,1,0.0393939393939394
"two-step oracle",0.05,10000,1000,13,10,0.0402320285406373,0,NA,NA
"two-step",0.05,10000,1000,140,10,0.137800834905063,0.0582186291911319,1,0.0343434343434343
"two-step+refitted",0.05,10000,1000,140,10,0.0507784732669953,0.22537137502574,1,0.0343434343434343
"two-step oracle",0.05,10000,1000,140,10,0.0452619377840358,0,NA,NA
"two-step",0.05,10000,1000,141,10,0.0969522710133729,0.0431231324967184,1,0.0363636363636364
"two-step+refitted",0.05,10000,1000,141,10,0.0416773660546829,0.212728872327808,1,0.0363636363636364
"two-step oracle",0.05,10000,1000,141,10,0.0402214066285742,0,NA,NA
"two-step",0.05,10000,1000,142,10,0.106501945325473,0.0352244469727042,1,0.0353535353535354
"two-step+refitted",0.05,10000,1000,142,10,0.0650736588839731,0.219723022139652,1,0.0353535353535354
"two-step oracle",0.05,10000,1000,142,10,0.0662474575564337,0,NA,NA
"two-step",0.05,10000,1000,143,10,0.11861797148043,0.0497400345584628,1,0.0484848484848485
"two-step+refitted",0.05,10000,1000,143,10,0.0570638846170552,0.231666647535746,1,0.0484848484848485
"two-step oracle",0.05,10000,1000,143,10,0.0525017401769328,0,NA,NA
"two-step",0.05,10000,1000,144,10,0.0999411736114592,0.0363885277031796,1,0.0252525252525253
"two-step+refitted",0.05,10000,1000,144,10,0.0433364021416568,0.193865162246525,1,0.0252525252525253
"two-step oracle",0.05,10000,1000,144,10,0.0440206555038162,0,NA,NA
"two-step",0.05,10000,1000,145,10,0.128590689143506,0.0195504220325768,1,0.0181818181818182
"two-step+refitted",0.05,10000,1000,145,10,0.044474075030277,0.15369688217424,1,0.0181818181818182
"two-step oracle",0.05,10000,1000,145,10,0.0467284875835141,0,NA,NA
"two-step",0.05,10000,1000,146,10,0.0934067939551137,0.0378399275569135,1,0.0282828282828283
"two-step+refitted",0.05,10000,1000,146,10,0.0286650587910992,0.17956106085708,1,0.0282828282828283
"two-step oracle",0.05,10000,1000,146,10,0.0370794057975136,0,NA,NA
"two-step",0.05,10000,1000,147,10,0.0918901043399453,0.0786502394470099,1,0.0727272727272727
"two-step+refitted",0.05,10000,1000,147,10,0.0353591017904057,0.283655883584351,1,0.0727272727272727
"two-step oracle",0.05,10000,1000,147,10,0.0416975104822348,0,NA,NA
"two-step",0.05,10000,1000,148,10,0.114331019238698,0.0551100700258683,1,0.0464646464646465
"two-step+refitted",0.05,10000,1000,148,10,0.0525916923571609,0.233006426992875,1,0.0464646464646465
"two-step oracle",0.05,10000,1000,148,10,0.0527503466688492,0,NA,NA
"two-step",0.05,10000,1000,149,10,0.0887503159241334,0.0583567416584723,1,0.0414141414141414
"two-step+refitted",0.05,10000,1000,149,10,0.035932675530541,0.227087015978402,1,0.0414141414141414
"two-step oracle",0.05,10000,1000,149,10,0.0393072408781702,0,NA,NA
"two-step",0.05,10000,1000,14,10,0.111786136008748,0.0375797150086343,1,0.0393939393939394
"two-step+refitted",0.05,10000,1000,14,10,0.0424892499057249,0.209930000725378,1,0.0393939393939394
"two-step oracle",0.05,10000,1000,14,10,0.0401666953322878,0,NA,NA
"two-step",0.05,10000,1000,150,10,0.137061152389588,0.047244766395238,1,0.0282828282828283
"two-step+refitted",0.05,10000,1000,150,10,0.0599686216342528,0.184522951935354,1,0.0282828282828283
"two-step oracle",0.05,10000,1000,150,10,0.0542397587791117,0,NA,NA
"two-step",0.05,10000,1000,151,10,0.10039275305276,0.0446370686936011,1,0.0484848484848485
"two-step+refitted",0.05,10000,1000,151,10,0.041932930137018,0.234854410404985,1,0.0484848484848485
"two-step oracle",0.05,10000,1000,151,10,0.0508696379801774,0,NA,NA
"two-step",0.05,10000,1000,152,10,0.113843458527125,0.0494464707176616,1,0.0353535353535354
"two-step+refitted",0.05,10000,1000,152,10,0.0427293445467855,0.207023504726916,1,0.0353535353535354
"two-step oracle",0.05,10000,1000,152,10,0.0397088923487931,0,NA,NA
"two-step",0.05,10000,1000,153,10,0.0813251457714388,0.0453916956103919,1,0.0383838383838384
"two-step+refitted",0.05,10000,1000,153,10,0.0569022356823135,0.213558053581247,1,0.0383838383838384
"two-step oracle",0.05,10000,1000,153,10,0.0491459151529296,0,NA,NA
"two-step",0.05,10000,1000,154,10,0.127499188674583,0.0442688238090942,1,0.0303030303030303
"two-step+refitted",0.05,10000,1000,154,10,0.0485856474284034,0.209910140439132,1,0.0303030303030303
"two-step oracle",0.05,10000,1000,154,10,0.0525121395483103,0,NA,NA
"two-step",0.05,10000,1000,155,10,0.106609900130294,0.0515036852152564,1,0.0626262626262626
"two-step+refitted",0.05,10000,1000,155,10,0.0374957555171473,0.258616319166832,1,0.0626262626262626
"two-step oracle",0.05,10000,1000,155,10,0.0426785085774864,0,NA,NA
"two-step",0.05,10000,1000,156,10,0.0952657028776406,0.0471700433476729,1,0.0414141414141414
"two-step+refitted",0.05,10000,1000,156,10,0.0473529311599334,0.226889593796146,1,0.0414141414141414
"two-step oracle",0.05,10000,1000,156,10,0.0521084320971316,0,NA,NA
"two-step",0.05,10000,1000,157,10,0.121047954579325,0.0160312499338919,1,0.0131313131313131
"two-step+refitted",0.05,10000,1000,157,10,0.0349858909786731,0.131934616752064,1,0.0131313131313131
"two-step oracle",0.05,10000,1000,157,10,0.0358136964354312,0,NA,NA
"two-step",0.05,10000,1000,158,10,0.133332702777127,0.0475378620375308,1,0.0313131313131313
"two-step+refitted",0.05,10000,1000,158,10,0.0651822039359127,0.20402018743523,1,0.0313131313131313
"two-step oracle",0.05,10000,1000,158,10,0.0564871103170327,0,NA,NA
"two-step",0.05,10000,1000,159,10,0.0611211585638051,0.0412089849806193,1,0.0292929292929293
"two-step+refitted",0.05,10000,1000,159,10,0.0424518505871249,0.174680987293301,1,0.0292929292929293
"two-step oracle",0.05,10000,1000,159,10,0.0364840731891021,0,NA,NA
"two-step",0.05,10000,1000,15,10,0.122051201953606,0.0654105049628127,1,0.0363636363636364
"two-step+refitted",0.05,10000,1000,15,10,0.0507390152833672,0.232957099506665,1,0.0363636363636364
"two-step oracle",0.05,10000,1000,15,10,0.0503158648279201,0,NA,NA
"two-step",0.05,10000,1000,160,10,0.0705781474592994,0.043081254734373,1,0.0434343434343434
"two-step+refitted",0.05,10000,1000,160,10,0.043679777179393,0.20113697905122,1,0.0434343434343434
"two-step oracle",0.05,10000,1000,160,10,0.0354560402168301,0,NA,NA
"two-step",0.05,10000,1000,161,10,0.102113104432083,0.0723742065284183,1,0.0787878787878788
"two-step+refitted",0.05,10000,1000,161,10,0.0524217416081764,0.296930055670455,1,0.0787878787878788
"two-step oracle",0.05,10000,1000,161,10,0.059287901636213,0,NA,NA
"two-step",0.05,10000,1000,162,10,0.148992251607597,0.0451995022339045,1,0.0454545454545455
"two-step+refitted",0.05,10000,1000,162,10,0.0617398867569661,0.241498231620971,1,0.0454545454545455
"two-step oracle",0.05,10000,1000,162,10,0.0446499167903221,0,NA,NA
"two-step",0.05,10000,1000,163,10,0.0990893096000535,0.0507408285754971,1,0.0393939393939394
"two-step+refitted",0.05,10000,1000,163,10,0.0472330661574634,0.214796891354436,1,0.0393939393939394
"two-step oracle",0.05,10000,1000,163,10,0.0523832736534127,0,NA,NA
"two-step",0.05,10000,1000,164,10,0.0894815851721257,0.0666204983443458,1,0.0535353535353535
"two-step+refitted",0.05,10000,1000,164,10,0.0512338820963365,0.252702184768702,1,0.0535353535353535
"two-step oracle",0.05,10000,1000,164,10,0.0505226757735375,0,NA,NA
"two-step",0.05,10000,1000,165,10,0.0719936580910506,0.0451870366812138,1,0.0494949494949495
"two-step+refitted",0.05,10000,1000,165,10,0.0448648515220346,0.215196006962223,1,0.0494949494949495
"two-step oracle",0.05,10000,1000,165,10,0.0303521365443951,0,NA,NA
"two-step",0.05,10000,1000,166,10,0.0970412089301294,0.0642346266512666,1,0.0676767676767677
"two-step+refitted",0.05,10000,1000,166,10,0.0382370589806051,0.263988514228306,1,0.0676767676767677
"two-step oracle",0.05,10000,1000,166,10,0.0364253329127244,0,NA,NA
"two-step",0.05,10000,1000,167,10,0.114409726839624,0.0538639726606704,1,0.0545454545454545
"two-step+refitted",0.05,10000,1000,167,10,0.0519356825156987,0.242136598243302,1,0.0545454545454545
"two-step oracle",0.05,10000,1000,167,10,0.0429811682754785,0,NA,NA
"two-step",0.05,10000,1000,168,10,0.147193423054391,0.039388736208102,1,0.0313131313131313
