"Method","alpha","n","p","seed","s","est_error","est_error_FP","TPR","FPR"
"two-step",0.05,10000,1000,119,10,0.0918993778993917,0.0474407597609713,1,0.0242424242424242
"two-step+refitted",0.05,10000,1000,119,10,0.0861672459941596,0.198441521950232,1,0.0242424242424242
"two-step oracle",0.05,10000,1000,119,10,0.0931328827259926,0,NA,NA
"two-step",0.05,10000,1000,11,10,0.101527619098396,0.00519349088389927,1,0.00202020202020202
"two-step+refitted",0.05,10000,1000,11,10,0.0871724169706533,0.062992254894966,1,0.00202020202020202
"two-step oracle",0.05,10000,1000,11,10,0.0962905288084969,0,NA,NA
"two-step",0.05,10000,1000,120,10,0.131143136608713,0.027757169024298,1,0.0141414141414141
"two-step+refitted",0.05,10000,1000,120,10,0.130422267819674,0.145694801419154,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,120,10,0.126601985287872,0,NA,NA
"two-step",0.05,10000,1000,121,10,0.0718545113024683,0.0419829098429071,1,0.0252525252525253
"two-step+refitted",0.05,10000,1000,121,10,0.0637548840834105,0.170024947243261,1,0.0252525252525253
"two-step oracle",0.05,10000,1000,121,10,0.0622548441150135,0,NA,NA
"two-step",0.05,10000,1000,122,10,0.0821230704762695,0.0452886325568854,1,0.0313131313131313
"two-step+refitted",0.05,10000,1000,122,10,0.0746396667030556,0.205124009288354,1,0.0313131313131313
"two-step oracle",0.05,10000,1000,122,10,0.0782981085638343,0,NA,NA
"two-step",0.05,10000,1000,123,10,0.0829407138855178,0.0330420912479345,1,0.0151515151515152
"two-step+refitted",0.05,10000,1000,123,10,0.0772161547131283,0.167509807415325,1,0.0151515151515152
"two-step oracle",0.05,10000,1000,123,10,0.0771694691870857,0,NA,NA
"two-step",0.05,10000,1000,124,10,0.0685339396517664,0.0321337916663678,1,0.0131313131313131
"two-step+refitted",0.05,10000,1000,124,10,0.0573615734027343,0.143982616395375,1,0.0131313131313131
"two-step oracle",0.05,10000,1000,124,10,0.0558337425744904,0,NA,NA
"two-step",0.05,10000,1000,125,10,0.0691917931502753,0.0294368284860127,1,0.0191919191919192
"two-step+refitted",0.05,10000,1000,125,10,0.0555907964858953,0.168834412990346,1,0.0191919191919192
"two-step oracle",0.05,10000,1000,125,10,0.0689508048697337,0,NA,NA
"two-step",0.05,10000,1000,126,10,0.092239294174828,0.0598590330037965,1,0.0383838383838384
"two-step+refitted",0.05,10000,1000,126,10,0.0790314617478525,0.238458342626,1,0.0383838383838384
"two-step oracle",0.05,10000,1000,126,10,0.0749937065671764,0,NA,NA
"two-step",0.05,10000,1000,127,10,0.0863178932231915,0.022218327252177,1,0.0101010101010101
"two-step+refitted",0.05,10000,1000,127,10,0.0707635876107566,0.118964030177995,1,0.0101010101010101
"two-step oracle",0.05,10000,1000,127,10,0.0725427465484444,0,NA,NA
"two-step",0.05,10000,1000,128,10,0.0978972195808685,0.057364420466329,1,0.0636363636363636
"two-step+refitted",0.05,10000,1000,128,10,0.0974658321944623,0.250302293349247,1,0.0636363636363636
"two-step oracle",0.05,10000,1000,128,10,0.093438067379367,0,NA,NA
"two-step",0.05,10000,1000,129,10,0.109882527801538,0.0363251882146755,1,0.0282828282828283
"two-step+refitted",0.05,10000,1000,129,10,0.115523374756369,0.201304161362247,1,0.0282828282828283
"two-step oracle",0.05,10000,1000,129,10,0.113955660889083,0,NA,NA
"two-step",0.05,10000,1000,12,10,0.121960036148681,0.0291820868658469,1,0.0282828282828283
"two-step+refitted",0.05,10000,1000,12,10,0.114219021798919,0.166489154124331,1,0.0282828282828283
"two-step oracle",0.05,10000,1000,12,10,0.132674292673852,0,NA,NA
"two-step",0.05,10000,1000,130,10,0.0772576801386849,0.0204990947829818,1,0.0171717171717172
"two-step+refitted",0.05,10000,1000,130,10,0.0557306584240311,0.141901392803194,1,0.0171717171717172
"two-step oracle",0.05,10000,1000,130,10,0.0608093620138763,0,NA,NA
"two-step",0.05,10000,1000,131,10,0.0779838773223214,0.0119435462921153,1,0.00303030303030303
"two-step+refitted",0.05,10000,1000,131,10,0.0711397330599468,0.0843859856019929,1,0.00303030303030303
"two-step oracle",0.05,10000,1000,131,10,0.0722166885181666,0,NA,NA
"two-step",0.05,10000,1000,132,10,0.0829879543362709,0.0335848409001219,1,0.0141414141414141
"two-step+refitted",0.05,10000,1000,132,10,0.0899142594329887,0.164142917405205,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,132,10,0.087930350014515,0,NA,NA
"two-step",0.05,10000,1000,133,10,0.0600337981686987,0.0265397246681124,1,0.00909090909090909
"two-step+refitted",0.05,10000,1000,133,10,0.0494466626121043,0.139454795766158,1,0.00909090909090909
"two-step oracle",0.05,10000,1000,133,10,0.0528618888696811,0,NA,NA
"two-step",0.05,10000,1000,134,10,0.0940107688436526,0.0111964725496066,1,0.00808080808080808
"two-step+refitted",0.05,10000,1000,134,10,0.0737223689896152,0.10564159533047,1,0.00808080808080808
"two-step oracle",0.05,10000,1000,134,10,0.0795874051318064,0,NA,NA
"two-step",0.05,10000,1000,135,10,0.0802620002965884,0.0107789838407403,1,0.00202020202020202
"two-step+refitted",0.05,10000,1000,135,10,0.0813896945987308,0.0652630484086506,1,0.00202020202020202
"two-step oracle",0.05,10000,1000,135,10,0.0852644949025434,0,NA,NA
"two-step",0.05,10000,1000,136,10,0.109988821270546,0.0193998414133422,1,0.00707070707070707
"two-step+refitted",0.05,10000,1000,136,10,0.108367486988963,0.104305158553031,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,136,10,0.13041104488916,0,NA,NA
"two-step",0.05,10000,1000,137,10,0.0696555537924976,0,1,0
"two-step+refitted",0.05,10000,1000,137,10,0.0549127930573836,0,1,0
"two-step oracle",0.05,10000,1000,137,10,0.0581971651277054,0,NA,NA
"two-step",0.05,10000,1000,138,10,0.0594526292459448,0.0272908808766735,1,0.0101010101010101
"two-step+refitted",0.05,10000,1000,138,10,0.0455045532764453,0.144327927376329,1,0.0101010101010101
"two-step oracle",0.05,10000,1000,138,10,0.0454461907123044,0,NA,NA
"two-step",0.05,10000,1000,139,10,0.0952646211946791,0.0374664664420141,1,0.00909090909090909
"two-step+refitted",0.05,10000,1000,139,10,0.0876094637311623,0.12736284365064,1,0.00909090909090909
"two-step oracle",0.05,10000,1000,139,10,0.0963173443893732,0,NA,NA
"two-step",0.05,10000,1000,13,10,0.0833319061117525,0.0405340146779316,1,0.00808080808080808
"two-step+refitted",0.05,10000,1000,13,10,0.0548027258334529,0.141871953830775,1,0.00808080808080808
"two-step oracle",0.05,10000,1000,13,10,0.0689796425068211,0,NA,NA
"two-step",0.05,10000,1000,140,10,0.17829986422879,0.0331892260940557,1,0.0121212121212121
"two-step+refitted",0.05,10000,1000,140,10,0.159416281772097,0.179094851023867,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,140,10,0.179536984141024,0,NA,NA
"two-step",0.05,10000,1000,141,10,0.0813635126336553,0.01809292033149,1,0.00606060606060606
"two-step+refitted",0.05,10000,1000,141,10,0.0653216792966857,0.118609850943103,1,0.00606060606060606
"two-step oracle",0.05,10000,1000,141,10,0.0778459465794731,0,NA,NA
"two-step",0.05,10000,1000,142,10,0.069036150896039,0.0388465332931519,1,0.0242424242424242
"two-step+refitted",0.05,10000,1000,142,10,0.0742515631349459,0.199426045769279,1,0.0242424242424242
"two-step oracle",0.05,10000,1000,142,10,0.0773638057952239,0,NA,NA
"two-step",0.05,10000,1000,143,10,0.0852900735742971,0.00793953426382995,1,0.00505050505050505
"two-step+refitted",0.05,10000,1000,143,10,0.0627365830370085,0.0940152274830657,1,0.00505050505050505
"two-step oracle",0.05,10000,1000,143,10,0.0734501057064104,0,NA,NA
"two-step",0.05,10000,1000,144,10,0.114936474537932,0.0292956147775637,1,0.0181818181818182
"two-step+refitted",0.05,10000,1000,144,10,0.101658984195491,0.172844586840685,1,0.0181818181818182
"two-step oracle",0.05,10000,1000,144,10,0.113700168396088,0,NA,NA
"two-step",0.05,10000,1000,145,10,0.0764510553560086,0.0284368135831093,1,0.0131313131313131
"two-step+refitted",0.05,10000,1000,145,10,0.0741864249586321,0.151749084897072,1,0.0131313131313131
"two-step oracle",0.05,10000,1000,145,10,0.0865291614716287,0,NA,NA
"two-step",0.05,10000,1000,146,10,0.0581840446372116,0.0398693853899954,1,0.0373737373737374
"two-step+refitted",0.05,10000,1000,146,10,0.0515698114892184,0.198509014734,1,0.0373737373737374
"two-step oracle",0.05,10000,1000,146,10,0.0596725977316633,0,NA,NA
"two-step",0.05,10000,1000,147,10,0.0766017752200931,0.0311590886772397,1,0.00808080808080808
"two-step+refitted",0.05,10000,1000,147,10,0.061079767372134,0.121238604697462,1,0.00808080808080808
"two-step oracle",0.05,10000,1000,147,10,0.0681050065585965,0,NA,NA
"two-step",0.05,10000,1000,148,10,0.0735522952639762,0.0324845903808033,1,0.0222222222222222
"two-step+refitted",0.05,10000,1000,148,10,0.0591524798087579,0.182329197399795,1,0.0222222222222222
"two-step oracle",0.05,10000,1000,148,10,0.0588961679046325,0,NA,NA
"two-step",0.05,10000,1000,149,10,0.0666644280102835,0.0471805499224867,1,0.0363636363636364
"two-step+refitted",0.05,10000,1000,149,10,0.0655370094766829,0.195579260245957,1,0.0363636363636364
"two-step oracle",0.05,10000,1000,149,10,0.0692131526452043,0,NA,NA
"two-step",0.05,10000,1000,14,10,0.0563554969676695,0.0590034770899124,1,0.0434343434343434
"two-step+refitted",0.05,10000,1000,14,10,0.0417231760786703,0.222889240198158,1,0.0434343434343434
"two-step oracle",0.05,10000,1000,14,10,0.0504213295609825,0,NA,NA
"two-step",0.05,10000,1000,150,10,0.116130495647779,0.0341205046730077,1,0.0212121212121212
"two-step+refitted",0.05,10000,1000,150,10,0.103402627543675,0.162121144739365,1,0.0212121212121212
"two-step oracle",0.05,10000,1000,150,10,0.103046964276267,0,NA,NA
"two-step",0.05,10000,1000,151,10,0.0997346577117501,0.0139531556096501,1,0.00606060606060606
"two-step+refitted",0.05,10000,1000,151,10,0.0922018237802995,0.104022000936935,1,0.00606060606060606
"two-step oracle",0.05,10000,1000,151,10,0.0903353368583086,0,NA,NA
"two-step",0.05,10000,1000,152,10,0.0868602121068788,0.019128526473633,1,0.00808080808080808
"two-step+refitted",0.05,10000,1000,152,10,0.0748783070066806,0.123022298645564,1,0.00808080808080808
"two-step oracle",0.05,10000,1000,152,10,0.0868429177145873,0,NA,NA
"two-step",0.05,10000,1000,153,10,0.0691171453809963,0.0364608513172265,1,0.0181818181818182
"two-step+refitted",0.05,10000,1000,153,10,0.0720480100396294,0.166538512738978,1,0.0181818181818182
"two-step oracle",0.05,10000,1000,153,10,0.0762919667364978,0,NA,NA
"two-step",0.05,10000,1000,154,10,0.0425645767765523,0.07064880052482,1,0.0767676767676768
"two-step+refitted",0.05,10000,1000,154,10,0.0463804031788529,0.26848823665088,1,0.0767676767676768
"two-step oracle",0.05,10000,1000,154,10,0.0452474971364999,0,NA,NA
"two-step",0.05,10000,1000,155,10,0.0767998021765037,0.0122253649966376,1,0.00606060606060606
"two-step+refitted",0.05,10000,1000,155,10,0.0613874160571598,0.113323107601587,1,0.00606060606060606
"two-step oracle",0.05,10000,1000,155,10,0.0754785916769688,0,NA,NA
"two-step",0.05,10000,1000,156,10,0.0991946836969337,0.0442760515610467,1,0.0161616161616162
"two-step+refitted",0.05,10000,1000,156,10,0.096256373836436,0.175737649228819,1,0.0161616161616162
"two-step oracle",0.05,10000,1000,156,10,0.0907783825835149,0,NA,NA
"two-step",0.05,10000,1000,157,10,0.0685327862213038,0.0206502505418324,1,0.0171717171717172
"two-step+refitted",0.05,10000,1000,157,10,0.042940416089917,0.162938465179983,1,0.0171717171717172
"two-step oracle",0.05,10000,1000,157,10,0.0417390921346176,0,NA,NA
"two-step",0.05,10000,1000,158,10,0.0677157646621086,0.0252871611562715,1,0.0181818181818182
"two-step+refitted",0.05,10000,1000,158,10,0.0637032211001898,0.152045495380334,1,0.0181818181818182
"two-step oracle",0.05,10000,1000,158,10,0.0623376278415647,0,NA,NA
"two-step",0.05,10000,1000,159,10,0.0781606804498628,0.0409215159837515,1,0.0303030303030303
"two-step+refitted",0.05,10000,1000,159,10,0.0704851407924335,0.172440972960091,1,0.0303030303030303
"two-step oracle",0.05,10000,1000,159,10,0.08400958230195,0,NA,NA
"two-step",0.05,10000,1000,15,10,0.108034760067653,0.0575029630383556,1,0.0363636363636364
"two-step+refitted",0.05,10000,1000,15,10,0.108354967772529,0.226305612032165,1,0.0363636363636364
"two-step oracle",0.05,10000,1000,15,10,0.101590853514606,0,NA,NA
"two-step",0.05,10000,1000,160,10,0.0538636306118817,0.0169192640363742,1,0.00808080808080808
"two-step+refitted",0.05,10000,1000,160,10,0.0529455504367682,0.111929450255842,1,0.00808080808080808
"two-step oracle",0.05,10000,1000,160,10,0.055182878024823,0,NA,NA
"two-step",0.05,10000,1000,161,10,0.0634412563836581,0.0249598663074534,1,0.0101010101010101
"two-step+refitted",0.05,10000,1000,161,10,0.062805888545347,0.14965392282932,1,0.0101010101010101
"two-step oracle",0.05,10000,1000,161,10,0.0764536810738426,0,NA,NA
"two-step",0.05,10000,1000,162,10,0.0746938810799476,0.0334663157695189,1,0.0151515151515152
"two-step+refitted",0.05,10000,1000,162,10,0.0558638865672891,0.173424084718093,1,0.0151515151515152
"two-step oracle",0.05,10000,1000,162,10,0.0503757427626043,0,NA,NA
"two-step",0.05,10000,1000,163,10,0.118441824328336,0.0123967801188106,1,0.00707070707070707
"two-step+refitted",0.05,10000,1000,163,10,0.108174227071036,0.104331550871757,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,163,10,0.121534944997409,0,NA,NA
"two-step",0.05,10000,1000,164,10,0.0842050866574107,0.0303452572213722,1,0.0121212121212121
"two-step+refitted",0.05,10000,1000,164,10,0.0690384113202547,0.144672683070208,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,164,10,0.0797350389355573,0,NA,NA
"two-step",0.05,10000,1000,165,10,0.0717597264589567,0.0406762130808101,1,0.0363636363636364
"two-step+refitted",0.05,10000,1000,165,10,0.0690885860973411,0.186311278672277,1,0.0363636363636364
"two-step oracle",0.05,10000,1000,165,10,0.0659422448677073,0,NA,NA
"two-step",0.05,10000,1000,166,10,0.0792197268158711,0.0132408550139329,1,0.00202020202020202
"two-step+refitted",0.05,10000,1000,166,10,0.0681246083442552,0.0727390549054673,1,0.00202020202020202
"two-step oracle",0.05,10000,1000,166,10,0.0663945302501993,0,NA,NA
"two-step",0.05,10000,1000,167,10,0.0763720961814914,0.019127629159159,1,0.0111111111111111
"two-step+refitted",0.05,10000,1000,167,10,0.0674540771201759,0.126577477963874,1,0.0111111111111111
"two-step oracle",0.05,10000,1000,167,10,0.0704115753976775,0,NA,NA
"two-step",0.05,10000,1000,168,10,0.109589994909455,0.0366771759128174,1,0.0151515151515152
"two-step+refitted",0.05,10000,1000,168,10,0.103064788809258,0.166621990315253,1,0.0151515151515152
"two-step oracle",0.05,10000,1000,168,10,0.107211323796423,0,NA,NA
"two-step",0.05,10000,1000,169,10,0.0817350206456615,0.047879168140744,1,0.0393939393939394
"two-step+refitted",0.05,10000,1000,169,10,0.0666653341880032,0.219723405876841,1,0.0393939393939394
"two-step oracle",0.05,10000,1000,169,10,0.0592075412115014,0,NA,NA
"two-step",0.05,10000,1000,16,10,0.0863387283497834,0.0766399375857066,1,0.0707070707070707
"two-step+refitted",0.05,10000,1000,16,10,0.0749395662554722,0.263624643602937,1,0.0707070707070707
"two-step oracle",0.05,10000,1000,16,10,0.0685299487409941,0,NA,NA
"two-step",0.05,10000,1000,170,10,0.0751666050030901,0.00245471559080745,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,170,10,0.0569745904558941,0.0409476072737873,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,170,10,0.0639191738362083,0,NA,NA
"two-step",0.05,10000,1000,171,10,0.0714899957195954,0.0546801628867827,1,0.0444444444444444
"two-step+refitted",0.05,10000,1000,171,10,0.0658249071846889,0.2459215652919,1,0.0444444444444444
"two-step oracle",0.05,10000,1000,171,10,0.0845737692986711,0,NA,NA
"two-step",0.05,10000,1000,172,10,0.0929726543282568,0.0411246734426755,1,0.0161616161616162
"two-step+refitted",0.05,10000,1000,172,10,0.0675375334027712,0.173260144090899,1,0.0161616161616162
"two-step oracle",0.05,10000,1000,172,10,0.0771077624677191,0,NA,NA
"two-step",0.05,10000,1000,173,10,0.0787918583036595,0.0106781783842466,1,0.00707070707070707
"two-step+refitted",0.05,10000,1000,173,10,0.0776676983580575,0.109329689906878,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,173,10,0.0777487488422968,0,NA,NA
"two-step",0.05,10000,1000,174,10,0.0619111329159142,0.0366979693182667,1,0.0151515151515152
"two-step+refitted",0.05,10000,1000,174,10,0.0522836361005914,0.144405958919535,1,0.0151515151515152
"two-step oracle",0.05,10000,1000,174,10,0.0599012234030732,0,NA,NA
"two-step",0.05,10000,1000,175,10,0.0895061296044145,0.0194936430848546,1,0.00606060606060606
"two-step+refitted",0.05,10000,1000,175,10,0.0664556820706236,0.111393650556246,1,0.00606060606060606
"two-step oracle",0.05,10000,1000,175,10,0.0714591503701042,0,NA,NA
"two-step",0.05,10000,1000,176,10,0.0716247937131432,0.00903161080457008,1,0.00303030303030303
"two-step+refitted",0.05,10000,1000,176,10,0.0510584320673018,0.0811409327913117,1,0.00303030303030303
"two-step oracle",0.05,10000,1000,176,10,0.052588087718859,0,NA,NA
"two-step",0.05,10000,1000,177,10,0.0683710295873725,0.046007957364028,1,0.0232323232323232
"two-step+refitted",0.05,10000,1000,177,10,0.0584043875170322,0.183185566817022,1,0.0232323232323232
"two-step oracle",0.05,10000,1000,177,10,0.0641298160126659,0,NA,NA
"two-step",0.05,10000,1000,178,10,0.114296778420298,0.0508758864185099,1,0.0333333333333333
"two-step+refitted",0.05,10000,1000,178,10,0.106400617011766,0.21382739353822,1,0.0333333333333333
"two-step oracle",0.05,10000,1000,178,10,0.114698004665269,0,NA,NA
"two-step",0.05,10000,1000,179,10,0.0690475275954955,0.0221227370573353,1,0.0212121212121212
"two-step+refitted",0.05,10000,1000,179,10,0.0725421719136107,0.144502629367674,1,0.0212121212121212
"two-step oracle",0.05,10000,1000,179,10,0.0730078688895781,0,NA,NA
"two-step",0.05,10000,1000,17,10,0.074929768641329,0.0353525210984784,1,0.0232323232323232
"two-step+refitted",0.05,10000,1000,17,10,0.0619288660650606,0.153983953410619,1,0.0232323232323232
"two-step oracle",0.05,10000,1000,17,10,0.0690653369845157,0,NA,NA
