"Method","alpha","n","p","seed","s","est_error","est_error_FP","TPR","FPR"
"two-step",0.05,10000,1000,119,10,0.091899377899391,0.047440759760973,1,0.0242424242424242
"two-step+refitted",0.05,10000,1000,119,10,0.0861672459941612,0.198441521950235,1,0.0242424242424242
"two-step oracle",0.05,10000,1000,119,10,0.0931158551713844,0,NA,NA
"two-step",0.05,10000,1000,11,10,0.101527619098397,0.00519349088390158,1,0.00202020202020202
"two-step+refitted",0.05,10000,1000,11,10,0.0871724169706522,0.0629922548949673,1,0.00202020202020202
"two-step oracle",0.05,10000,1000,11,10,0.0962847196585656,0,NA,NA
"two-step",0.05,10000,1000,120,10,0.131143136608713,0.0277571690242966,1,0.0141414141414141
"two-step+refitted",0.05,10000,1000,120,10,0.130422267819673,0.145694801419153,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,120,10,0.126685201514372,0,NA,NA
"two-step",0.05,10000,1000,121,10,0.0718545113024695,0.0419829098429068,1,0.0252525252525253
"two-step+refitted",0.05,10000,1000,121,10,0.0637548840834102,0.17002494724326,1,0.0252525252525253
"two-step oracle",0.05,10000,1000,121,10,0.0622211111983754,0,NA,NA
"two-step",0.05,10000,1000,122,10,0.0821230704762688,0.0452886325568863,1,0.0313131313131313
"two-step+refitted",0.05,10000,1000,122,10,0.0746396667030578,0.205124009288355,1,0.0313131313131313
"two-step oracle",0.05,10000,1000,122,10,0.0774852975894341,0,NA,NA
"two-step",0.05,10000,1000,123,10,0.0829407138855181,0.0330420912479345,1,0.0151515151515152
"two-step+refitted",0.05,10000,1000,123,10,0.0772161547131263,0.167509807415325,1,0.0151515151515152
"two-step oracle",0.05,10000,1000,123,10,0.0762065158521748,0,NA,NA
"two-step",0.05,10000,1000,124,10,0.0685339396517684,0.0321337916663664,1,0.0131313131313131
"two-step+refitted",0.05,10000,1000,124,10,0.0573615734027331,0.143982616395373,1,0.0131313131313131
"two-step oracle",0.05,10000,1000,124,10,0.0560546880283868,0,NA,NA
"two-step",0.05,10000,1000,125,10,0.0691917931502743,0.0294368284860133,1,0.0191919191919192
"two-step+refitted",0.05,10000,1000,125,10,0.0555907964858952,0.168834412990347,1,0.0191919191919192
"two-step oracle",0.05,10000,1000,125,10,0.0701451636137841,0,NA,NA
"two-step",0.05,10000,1000,126,10,0.0922392941748288,0.0598590330037966,1,0.0383838383838384
"two-step+refitted",0.05,10000,1000,126,10,0.0790314617478475,0.238458342625999,1,0.0383838383838384
"two-step oracle",0.05,10000,1000,126,10,0.0699817213866011,0,NA,NA
"two-step",0.05,10000,1000,127,10,0.0863178932231903,0.022218327252176,1,0.0101010101010101
"two-step+refitted",0.05,10000,1000,127,10,0.0707635876107565,0.118964030177994,1,0.0101010101010101
"two-step oracle",0.05,10000,1000,127,10,0.0727001010355854,0,NA,NA
"two-step",0.05,10000,1000,128,10,0.0978972195808677,0.0573644204663294,1,0.0636363636363636
"two-step+refitted",0.05,10000,1000,128,10,0.0974658321944632,0.250302293349248,1,0.0636363636363636
"two-step oracle",0.05,10000,1000,128,10,0.0927102389013066,0,NA,NA
"two-step",0.05,10000,1000,129,10,0.10988252780154,0.0363251882146784,1,0.0282828282828283
"two-step+refitted",0.05,10000,1000,129,10,0.115523374756366,0.20130416136225,1,0.0282828282828283
"two-step oracle",0.05,10000,1000,129,10,0.111667304155202,0,NA,NA
"two-step",0.05,10000,1000,12,10,0.121960036148683,0.0291820868658472,1,0.0282828282828283
"two-step+refitted",0.05,10000,1000,12,10,0.114219021798921,0.16648915412433,1,0.0282828282828283
"two-step oracle",0.05,10000,1000,12,10,0.132613970325103,0,NA,NA
"two-step",0.05,10000,1000,130,10,0.0772576801386858,0.0204990947829807,1,0.0171717171717172
"two-step+refitted",0.05,10000,1000,130,10,0.0557306584240327,0.141901392803192,1,0.0171717171717172
"two-step oracle",0.05,10000,1000,130,10,0.0607891419607986,0,NA,NA
"two-step",0.05,10000,1000,131,10,0.0779838773223195,0.0119435462921172,1,0.00303030303030303
"two-step+refitted",0.05,10000,1000,131,10,0.0711397330599434,0.0843859856019935,1,0.00303030303030303
"two-step oracle",0.05,10000,1000,131,10,0.0722490913342441,0,NA,NA
"two-step",0.05,10000,1000,132,10,0.0829879543362702,0.0335848409001236,1,0.0141414141414141
"two-step+refitted",0.05,10000,1000,132,10,0.0899142594329859,0.164142917405204,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,132,10,0.08230842620401,0,NA,NA
"two-step",0.05,10000,1000,133,10,0.0600337981686949,0.0265397246681115,1,0.00909090909090909
"two-step+refitted",0.05,10000,1000,133,10,0.0494466626120999,0.139454795766157,1,0.00909090909090909
"two-step oracle",0.05,10000,1000,133,10,0.0524996372928881,0,NA,NA
"two-step",0.05,10000,1000,134,10,0.0940107688436522,0.0111964725496059,1,0.00808080808080808
"two-step+refitted",0.05,10000,1000,134,10,0.0737223689896116,0.105641595330469,1,0.00808080808080808
"two-step oracle",0.05,10000,1000,134,10,0.0787466986357103,0,NA,NA
"two-step",0.05,10000,1000,135,10,0.0802620002965883,0.0107789838407415,1,0.00202020202020202
"two-step+refitted",0.05,10000,1000,135,10,0.081389694598727,0.0652630484086512,1,0.00202020202020202
"two-step oracle",0.05,10000,1000,135,10,0.0828853975695469,0,NA,NA
"two-step",0.05,10000,1000,136,10,0.109988821270547,0.01939984141334,1,0.00707070707070707
"two-step+refitted",0.05,10000,1000,136,10,0.108367486988967,0.104305158553029,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,136,10,0.131253547453026,0,NA,NA
"two-step",0.05,10000,1000,137,10,0.069655553792499,0,1,0
"two-step+refitted",0.05,10000,1000,137,10,0.0549127930573893,0,1,0
"two-step oracle",0.05,10000,1000,137,10,0.0579288703268146,0,NA,NA
"two-step",0.05,10000,1000,138,10,0.0594526292459445,0.0272908808766745,1,0.0101010101010101
"two-step+refitted",0.05,10000,1000,138,10,0.0455045532764423,0.144327927376331,1,0.0101010101010101
"two-step oracle",0.05,10000,1000,138,10,0.0453557268559937,0,NA,NA
"two-step",0.05,10000,1000,139,10,0.0952646211946785,0.0374664664420133,1,0.00909090909090909
"two-step+refitted",0.05,10000,1000,139,10,0.087609463731163,0.127362843650638,1,0.00909090909090909
"two-step oracle",0.05,10000,1000,139,10,0.0973887097231369,0,NA,NA
"two-step",0.05,10000,1000,13,10,0.0833319061117512,0.0405340146779324,1,0.00808080808080808
"two-step+refitted",0.05,10000,1000,13,10,0.0548027258334511,0.141871953830774,1,0.00808080808080808
"two-step oracle",0.05,10000,1000,13,10,0.0620021422213872,0,NA,NA
"two-step",0.05,10000,1000,140,10,0.17829986422879,0.0331892260940554,1,0.0121212121212121
"two-step+refitted",0.05,10000,1000,140,10,0.159416281772097,0.179094851023865,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,140,10,0.174129454292537,0,NA,NA
"two-step",0.05,10000,1000,141,10,0.0813635126336543,0.0180929203314902,1,0.00606060606060606
"two-step+refitted",0.05,10000,1000,141,10,0.0653216792966862,0.118609850943103,1,0.00606060606060606
"two-step oracle",0.05,10000,1000,141,10,0.0780977351329087,0,NA,NA
"two-step",0.05,10000,1000,142,10,0.0690361508960372,0.0388465332931504,1,0.0242424242424242
"two-step+refitted",0.05,10000,1000,142,10,0.0742515631349404,0.199426045769278,1,0.0242424242424242
"two-step oracle",0.05,10000,1000,142,10,0.0703619197979359,0,NA,NA
"two-step",0.05,10000,1000,143,10,0.0852900735742972,0.00793953426383314,1,0.00505050505050505
"two-step+refitted",0.05,10000,1000,143,10,0.0627365830370126,0.0940152274830679,1,0.00505050505050505
"two-step oracle",0.05,10000,1000,143,10,0.0715412774091603,0,NA,NA
"two-step",0.05,10000,1000,144,10,0.114936474537931,0.0292956147775617,1,0.0181818181818182
"two-step+refitted",0.05,10000,1000,144,10,0.101658984195493,0.172844586840682,1,0.0181818181818182
"two-step oracle",0.05,10000,1000,144,10,0.111185825339052,0,NA,NA
"two-step",0.05,10000,1000,145,10,0.0764510553560075,0.0284368135831098,1,0.0131313131313131
"two-step+refitted",0.05,10000,1000,145,10,0.0741864249586301,0.151749084897072,1,0.0131313131313131
"two-step oracle",0.05,10000,1000,145,10,0.0842491195347536,0,NA,NA
"two-step",0.05,10000,1000,146,10,0.0581840446372125,0.0398693853899927,1,0.0373737373737374
"two-step+refitted",0.05,10000,1000,146,10,0.0515698114892143,0.198509014733998,1,0.0373737373737374
"two-step oracle",0.05,10000,1000,146,10,0.0595234940037802,0,NA,NA
"two-step",0.05,10000,1000,147,10,0.0766017752200904,0.031159088677238,1,0.00808080808080808
"two-step+refitted",0.05,10000,1000,147,10,0.0610797673721287,0.12123860469746,1,0.00808080808080808
"two-step oracle",0.05,10000,1000,147,10,0.0679656790318667,0,NA,NA
"two-step",0.05,10000,1000,148,10,0.0735522952639739,0.0324845903808038,1,0.0222222222222222
"two-step+refitted",0.05,10000,1000,148,10,0.0591524798087576,0.182329197399796,1,0.0222222222222222
"two-step oracle",0.05,10000,1000,148,10,0.0586840894315036,0,NA,NA
"two-step",0.05,10000,1000,149,10,0.0666644280102855,0.0471805499224862,1,0.0363636363636364
"two-step+refitted",0.05,10000,1000,149,10,0.0655370094766853,0.195579260245956,1,0.0363636363636364
"two-step oracle",0.05,10000,1000,149,10,0.0679612830149657,0,NA,NA
"two-step",0.05,10000,1000,14,10,0.0563554969676687,0.0590034770899116,1,0.0434343434343434
"two-step+refitted",0.05,10000,1000,14,10,0.0417231760786736,0.222889240198157,1,0.0434343434343434
"two-step oracle",0.05,10000,1000,14,10,0.0504461609846794,0,NA,NA
"two-step",0.05,10000,1000,150,10,0.116130495647778,0.0341205046730077,1,0.0212121212121212
"two-step+refitted",0.05,10000,1000,150,10,0.103402627543671,0.162121144739365,1,0.0212121212121212
"two-step oracle",0.05,10000,1000,150,10,0.102436460690562,0,NA,NA
"two-step",0.05,10000,1000,151,10,0.0997346577117467,0.0139531556096507,1,0.00606060606060606
"two-step+refitted",0.05,10000,1000,151,10,0.0922018237802928,0.104022000936936,1,0.00606060606060606
"two-step oracle",0.05,10000,1000,151,10,0.0911054480217484,0,NA,NA
"two-step",0.05,10000,1000,152,10,0.0868602121068784,0.0191285264736308,1,0.00808080808080808
"two-step+refitted",0.05,10000,1000,152,10,0.0748783070066832,0.123022298645563,1,0.00808080808080808
"two-step oracle",0.05,10000,1000,152,10,0.087848049540706,0,NA,NA
"two-step",0.05,10000,1000,153,10,0.0691171453809972,0.0364608513172268,1,0.0181818181818182
"two-step+refitted",0.05,10000,1000,153,10,0.0720480100396256,0.166538512738978,1,0.0181818181818182
"two-step oracle",0.05,10000,1000,153,10,0.0704443681815486,0,NA,NA
"two-step",0.05,10000,1000,154,10,0.0425645767765485,0.0706488005248211,1,0.0767676767676768
"two-step+refitted",0.05,10000,1000,154,10,0.0463804031788502,0.26848823665088,1,0.0767676767676768
"two-step oracle",0.05,10000,1000,154,10,0.0424101493574595,0,NA,NA
"two-step",0.05,10000,1000,155,10,0.0767998021765026,0.0122253649966381,1,0.00606060606060606
"two-step+refitted",0.05,10000,1000,155,10,0.0613874160571525,0.113323107601588,1,0.00606060606060606
"two-step oracle",0.05,10000,1000,155,10,0.0754690734476847,0,NA,NA
"two-step",0.05,10000,1000,156,10,0.0991946836969358,0.0442760515610463,1,0.0161616161616162
"two-step+refitted",0.05,10000,1000,156,10,0.0962563738364375,0.175737649228819,1,0.0161616161616162
"two-step oracle",0.05,10000,1000,156,10,0.0908432708245348,0,NA,NA
"two-step",0.05,10000,1000,157,10,0.0685327862213052,0.0206502505418325,1,0.0171717171717172
"two-step+refitted",0.05,10000,1000,157,10,0.0429404160899164,0.162938465179983,1,0.0171717171717172
"two-step oracle",0.05,10000,1000,157,10,0.0422116905194223,0,NA,NA
"two-step",0.05,10000,1000,158,10,0.0677157646621109,0.0252871611562715,1,0.0181818181818182
"two-step+refitted",0.05,10000,1000,158,10,0.0637032211001918,0.152045495380333,1,0.0181818181818182
"two-step oracle",0.05,10000,1000,158,10,0.064467198083011,0,NA,NA
"two-step",0.05,10000,1000,159,10,0.0781606804498629,0.0409215159837515,1,0.0303030303030303
"two-step+refitted",0.05,10000,1000,159,10,0.0704851407924346,0.172440972960091,1,0.0303030303030303
"two-step oracle",0.05,10000,1000,159,10,0.083741782532701,0,NA,NA
"two-step",0.05,10000,1000,15,10,0.108034760067653,0.0575029630383549,1,0.0363636363636364
"two-step+refitted",0.05,10000,1000,15,10,0.108354967772526,0.226305612032165,1,0.0363636363636364
"two-step oracle",0.05,10000,1000,15,10,0.101580798261348,0,NA,NA
"two-step",0.05,10000,1000,160,10,0.0538636306118834,0.0169192640363733,1,0.00808080808080808
"two-step+refitted",0.05,10000,1000,160,10,0.0529455504367661,0.11192945025584,1,0.00808080808080808
"two-step oracle",0.05,10000,1000,160,10,0.053211383901668,0,NA,NA
"two-step",0.05,10000,1000,161,10,0.0634412563836577,0.0249598663074522,1,0.0101010101010101
"two-step+refitted",0.05,10000,1000,161,10,0.0628058885453497,0.149653922829319,1,0.0101010101010101
"two-step oracle",0.05,10000,1000,161,10,0.0741031358520703,0,NA,NA
"two-step",0.05,10000,1000,162,10,0.0746938810799492,0.0334663157695179,1,0.0151515151515152
"two-step+refitted",0.05,10000,1000,162,10,0.0558638865672976,0.173424084718092,1,0.0151515151515152
"two-step oracle",0.05,10000,1000,162,10,0.0506790739880953,0,NA,NA
"two-step",0.05,10000,1000,163,10,0.118441824328336,0.012396780118811,1,0.00707070707070707
"two-step+refitted",0.05,10000,1000,163,10,0.108174227071036,0.10433155087176,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,163,10,0.121489262990618,0,NA,NA
"two-step",0.05,10000,1000,164,10,0.0842050866574116,0.030345257221373,1,0.0121212121212121
"two-step+refitted",0.05,10000,1000,164,10,0.0690384113202593,0.144672683070209,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,164,10,0.0790734838514968,0,NA,NA
"two-step",0.05,10000,1000,165,10,0.0717597264589559,0.0406762130808084,1,0.0363636363636364
"two-step+refitted",0.05,10000,1000,165,10,0.0690885860973434,0.186311278672276,1,0.0363636363636364
"two-step oracle",0.05,10000,1000,165,10,0.0659202558223937,0,NA,NA
"two-step",0.05,10000,1000,166,10,0.0792197268158706,0.0132408550139327,1,0.00202020202020202
"two-step+refitted",0.05,10000,1000,166,10,0.0681246083442518,0.0727390549054656,1,0.00202020202020202
"two-step oracle",0.05,10000,1000,166,10,0.0665606489506924,0,NA,NA
"two-step",0.05,10000,1000,167,10,0.0763720961814909,0.0191276291591586,1,0.0111111111111111
"two-step+refitted",0.05,10000,1000,167,10,0.0674540771201777,0.126577477963874,1,0.0111111111111111
