"Method","alpha","n","p","seed","s","est_error","TPR","FPR"
"two-step oracle",0.05,10000,1000,117,10,0.00967212400536446,NA,NA
"glmnet",0.05,10000,1000,117,10,0.0357992064608532,1,0
"two-step",0.05,10000,1000,118,10,0.0520758660080644,1,0.0131313131313131
"two-step+Adaptive Lasso",0.05,10000,1000,118,10,0.239095748192553,1,0.0111111111111111
"two-step oracle",0.05,10000,1000,118,10,0.00956897726180298,NA,NA
"glmnet",0.05,10000,1000,118,10,0.0504356111541274,1,0
"two-step",0.05,10000,1000,119,10,0.0404552131849526,1,0.0171717171717172
"two-step+Adaptive Lasso",0.05,10000,1000,119,10,0.226604355172466,1,0.0151515151515152
"two-step oracle",0.05,10000,1000,119,10,0.0101316239902813,NA,NA
"glmnet",0.05,10000,1000,119,10,0.0435900781149709,1,0.00101010101010101
"two-step",0.05,10000,1000,11,10,0.0491126320113426,1,0.0141414141414141
"two-step+Adaptive Lasso",0.05,10000,1000,11,10,0.255222645617519,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,11,10,0.00524143198573123,NA,NA
"glmnet",0.05,10000,1000,11,10,0.049294945986374,1,0
"two-step",0.05,10000,1000,120,10,0.0531201486355811,1,0.0181818181818182
"two-step+Adaptive Lasso",0.05,10000,1000,120,10,0.303122573518083,1,0.0171717171717172
"two-step oracle",0.05,10000,1000,120,10,0.00976771433146583,NA,NA
"glmnet",0.05,10000,1000,120,10,0.0483478700582639,1,0
"two-step",0.05,10000,1000,121,10,0.0599738293291289,1,0.0101010101010101
"two-step+Adaptive Lasso",0.05,10000,1000,121,10,0.256950756757241,1,0.0101010101010101
"two-step oracle",0.05,10000,1000,121,10,0.00822199216789312,NA,NA
"glmnet",0.05,10000,1000,121,10,0.0485573329258599,1,0
"two-step",0.05,10000,1000,122,10,0.0742062213464631,1,0.0242424242424242
"two-step+Adaptive Lasso",0.05,10000,1000,122,10,0.310761078760109,1,0.0242424242424242
"two-step oracle",0.05,10000,1000,122,10,0.00721371848752823,NA,NA
"glmnet",0.05,10000,1000,122,10,0.0482034582267255,1,0
"two-step",0.05,10000,1000,123,10,0.0561335766413187,1,0.0202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,123,10,0.292775211884762,1,0.0191919191919192
"two-step oracle",0.05,10000,1000,123,10,0.011293594226181,NA,NA
"glmnet",0.05,10000,1000,123,10,0.0577517749610727,1,0
"two-step",0.05,10000,1000,124,10,0.0835966654385598,1,0.0262626262626263
"two-step+Adaptive Lasso",0.05,10000,1000,124,10,0.358150774559614,1,0.0252525252525253
"two-step oracle",0.05,10000,1000,124,10,0.00778961076022868,NA,NA
"glmnet",0.05,10000,1000,124,10,0.0472573320512433,1,0
"two-step",0.05,10000,1000,125,10,0.0950237949460423,1,0.0222222222222222
"two-step+Adaptive Lasso",0.05,10000,1000,125,10,0.393594992600892,1,0.0222222222222222
"two-step oracle",0.05,10000,1000,125,10,0.00800371588074425,NA,NA
"glmnet",0.05,10000,1000,125,10,0.0387993293554422,1,0
"two-step",0.05,10000,1000,126,10,0.0699769309284315,1,0.0121212121212121
"two-step+Adaptive Lasso",0.05,10000,1000,126,10,0.276623274687493,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,126,10,0.0112117303956296,NA,NA
"glmnet",0.05,10000,1000,126,10,0.0456287269911432,1,0
"two-step",0.05,10000,1000,127,10,0.0395024109622403,1,0.0131313131313131
"two-step+Adaptive Lasso",0.05,10000,1000,127,10,0.243689751594962,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,127,10,0.00688226756731652,NA,NA
"glmnet",0.05,10000,1000,127,10,0.0480799020474675,1,0
"two-step",0.05,10000,1000,128,10,0.082974006372115,1,0.0303030303030303
"two-step+Adaptive Lasso",0.05,10000,1000,128,10,0.35696221075428,1,0.0292929292929293
"two-step oracle",0.05,10000,1000,128,10,0.00963028984958969,NA,NA
"glmnet",0.05,10000,1000,128,10,0.0409193234300718,1,0
"two-step",0.05,10000,1000,129,10,0.0762648548695439,1,0.0151515151515152
"two-step+Adaptive Lasso",0.05,10000,1000,129,10,0.349433691924006,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,129,10,0.00878216760691699,NA,NA
"glmnet",0.05,10000,1000,129,10,0.0360231868594895,1,0
"two-step",0.05,10000,1000,12,10,0.105250091382897,1,0.0303030303030303
"two-step+Adaptive Lasso",0.05,10000,1000,12,10,0.362189559352583,1,0.0272727272727273
"two-step oracle",0.05,10000,1000,12,10,0.00634345221255781,NA,NA
"glmnet",0.05,10000,1000,12,10,0.0438085904435314,1,0
"two-step",0.05,10000,1000,130,10,0.0955151836355138,1,0.0222222222222222
"two-step+Adaptive Lasso",0.05,10000,1000,130,10,0.358056710766073,1,0.0222222222222222
"two-step oracle",0.05,10000,1000,130,10,0.00985171957064972,NA,NA
"glmnet",0.05,10000,1000,130,10,0.0382993912088401,1,0
"two-step",0.05,10000,1000,131,10,0.0666850835440795,1,0.0101010101010101
"two-step+Adaptive Lasso",0.05,10000,1000,131,10,0.311115708795462,1,0.00909090909090909
"two-step oracle",0.05,10000,1000,131,10,0.00962415644086561,NA,NA
"glmnet",0.05,10000,1000,131,10,0.0354103142275815,1,0
"two-step",0.05,10000,1000,132,10,0.0819369194784186,1,0.0525252525252525
"two-step+Adaptive Lasso",0.05,10000,1000,132,10,0.402198130514797,1,0.0494949494949495
"two-step oracle",0.05,10000,1000,132,10,0.013104474936117,NA,NA
"glmnet",0.05,10000,1000,132,10,0.0504639759861992,1,0
"two-step",0.05,10000,1000,133,10,0.0914242067419468,1,0.0202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,133,10,0.37705634674309,1,0.0202020202020202
"two-step oracle",0.05,10000,1000,133,10,0.00830045023275728,NA,NA
"glmnet",0.05,10000,1000,133,10,0.0392308598621939,1,0
"two-step",0.05,10000,1000,134,10,0.0612597282871485,1,0.0111111111111111
"two-step+Adaptive Lasso",0.05,10000,1000,134,10,0.275201975551022,1,0.0101010101010101
"two-step oracle",0.05,10000,1000,134,10,0.00712217804206433,NA,NA
"glmnet",0.05,10000,1000,134,10,0.0430444489324672,1,0.00101010101010101
"two-step",0.05,10000,1000,135,10,0.0625434058869343,1,0.0121212121212121
"two-step+Adaptive Lasso",0.05,10000,1000,135,10,0.224593309994546,1,0.0111111111111111
"two-step oracle",0.05,10000,1000,135,10,0.0141634664608741,NA,NA
"glmnet",0.05,10000,1000,135,10,0.0435939042723342,1,0
"two-step",0.05,10000,1000,136,10,0.0791306604645262,1,0.0202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,136,10,0.316940486732524,1,0.0202020202020202
"two-step oracle",0.05,10000,1000,136,10,0.0138298845302728,NA,NA
"glmnet",0.05,10000,1000,136,10,0.0475805401742252,1,0
"two-step",0.05,10000,1000,137,10,0.0496011754417067,1,0.0191919191919192
"two-step+Adaptive Lasso",0.05,10000,1000,137,10,0.249075409289003,1,0.0161616161616162
"two-step oracle",0.05,10000,1000,137,10,0.00931355337018985,NA,NA
"glmnet",0.05,10000,1000,137,10,0.0535474743364577,1,0
"two-step",0.05,10000,1000,138,10,0.101674649601974,1,0.0222222222222222
"two-step+Adaptive Lasso",0.05,10000,1000,138,10,0.412003540165715,1,0.0222222222222222
"two-step oracle",0.05,10000,1000,138,10,0.0114099218401306,NA,NA
"glmnet",0.05,10000,1000,138,10,0.0342558666921731,1,0
"two-step",0.05,10000,1000,139,10,0.0447259240502015,1,0.0141414141414141
"two-step+Adaptive Lasso",0.05,10000,1000,139,10,0.259051844246855,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,139,10,0.00983806225923369,NA,NA
"glmnet",0.05,10000,1000,139,10,0.0418608586973315,1,0
"two-step",0.05,10000,1000,13,10,0.046359651314852,1,0.0121212121212121
"two-step+Adaptive Lasso",0.05,10000,1000,13,10,0.19102002701953,1,0.0111111111111111
"two-step oracle",0.05,10000,1000,13,10,0.00751544990100992,NA,NA
"glmnet",0.05,10000,1000,13,10,0.0416596956474376,1,0
"two-step",0.05,10000,1000,140,10,0.0390423720726158,1,0.00505050505050505
"two-step+Adaptive Lasso",0.05,10000,1000,140,10,0.157396375076797,1,0.00404040404040404
"two-step oracle",0.05,10000,1000,140,10,0.00513274709343018,NA,NA
"glmnet",0.05,10000,1000,140,10,0.0442673088401218,1,0
"two-step",0.05,10000,1000,141,10,0.0764602539675045,1,0.0141414141414141
"two-step+Adaptive Lasso",0.05,10000,1000,141,10,0.334162324802799,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,141,10,0.00857954799605189,NA,NA
"glmnet",0.05,10000,1000,141,10,0.0464118997840569,1,0
"two-step",0.05,10000,1000,142,10,0.0678881892072115,1,0.0242424242424242
"two-step+Adaptive Lasso",0.05,10000,1000,142,10,0.389340249716798,1,0.0242424242424242
"two-step oracle",0.05,10000,1000,142,10,0.00857335208636317,NA,NA
"glmnet",0.05,10000,1000,142,10,0.0334578613197712,1,0
"two-step",0.05,10000,1000,146,10,0.0716138873411646,1,0.0141414141414141
"two-step+Adaptive Lasso",0.05,10000,1000,146,10,0.366931641684515,1,0.0131313131313131
"two-step oracle",0.05,10000,1000,146,10,0.0085928121936917,NA,NA
"glmnet",0.05,10000,1000,146,10,0.0447586515183486,1,0
"two-step",0.05,10000,1000,147,10,0.0836027927974885,1,0.0272727272727273
"two-step+Adaptive Lasso",0.05,10000,1000,147,10,0.358308324407486,1,0.0262626262626263
"two-step oracle",0.05,10000,1000,147,10,0.013574825879362,NA,NA
"glmnet",0.05,10000,1000,147,10,0.0411337585803244,1,0
