"Method","alpha","n","p","seed","s","est_error","est_error_FP","TPR","FPR"
"two-step",0.05,10000,1000,100,10,0.105588791028873,0.0596832582698114,1,0.0484848484848485
"two-step+refitted",0.05,10000,1000,100,10,0.070606066318431,0.25332041075969,1,0.0484848484848485
"two-step oracle",0.05,10000,1000,100,10,0.0759783156352888,0,NA,NA
"two-step",0.05,10000,1000,101,10,0.0518857390584344,0.0375361520325745,1,0.0373737373737374
"two-step+refitted",0.05,10000,1000,101,10,0.0395893480941534,0.195552369206425,1,0.0373737373737374
"two-step oracle",0.05,10000,1000,101,10,0.0375881155631871,0,NA,NA
"two-step",0.05,10000,1000,102,10,0.0879449556984794,0.00828452799103848,1,0.00606060606060606
"two-step+refitted",0.05,10000,1000,102,10,0.0376871476407537,0.0947863187934831,1,0.00606060606060606
"two-step oracle",0.05,10000,1000,102,10,0.0363076162408172,0,NA,NA
"two-step",0.05,10000,1000,103,10,0.0554471638566067,0.032514043400881,1,0.0323232323232323
"two-step+refitted",0.05,10000,1000,103,10,0.0503635020625279,0.18092731605876,1,0.0323232323232323
"two-step oracle",0.05,10000,1000,103,10,0.0493125313217704,0,NA,NA
"two-step",0.05,10000,1000,104,10,0.102595119969129,0.0419612051892723,1,0.0303030303030303
"two-step+refitted",0.05,10000,1000,104,10,0.0718964758385261,0.202709326861208,1,0.0303030303030303
"two-step oracle",0.05,10000,1000,104,10,0.0789386584905119,0,NA,NA
"two-step",0.05,10000,1000,105,10,0.0799229004244427,0.0114162687009589,1,0.0161616161616162
"two-step+refitted",0.05,10000,1000,105,10,0.0650936844603473,0.139995526916721,1,0.0161616161616162
"two-step oracle",0.05,10000,1000,105,10,0.0648142900247673,0,NA,NA
"two-step",0.05,10000,1000,106,10,0.0885361442136462,0.0380830621382179,1,0.0373737373737374
"two-step+refitted",0.05,10000,1000,106,10,0.0690738055053538,0.210521962310273,1,0.0373737373737374
"two-step oracle",0.05,10000,1000,106,10,0.0664628533042673,0,NA,NA
"two-step",0.05,10000,1000,107,10,0.0730465547165649,0.0413726781328448,1,0.0292929292929293
"two-step+refitted",0.05,10000,1000,107,10,0.0552563231008476,0.203851876435247,1,0.0292929292929293
"two-step oracle",0.05,10000,1000,107,10,0.0560445344209988,0,NA,NA
"two-step",0.05,10000,1000,108,10,0.0772964215719176,0.023575418694083,1,0.0131313131313131
"two-step+refitted",0.05,10000,1000,108,10,0.0566033442387775,0.134808989265809,1,0.0131313131313131
"two-step oracle",0.05,10000,1000,108,10,0.0581442164480086,0,NA,NA
"two-step",0.05,10000,1000,109,10,0.0791094406621241,0.049142873682555,1,0.0545454545454545
"two-step+refitted",0.05,10000,1000,109,10,0.0591586036390993,0.233003946892017,1,0.0545454545454545
"two-step oracle",0.05,10000,1000,109,10,0.0564046030216672,0,NA,NA
"two-step",0.05,10000,1000,10,10,0.108863360714511,0.02713781583977,1,0.0151515151515152
"two-step+refitted",0.05,10000,1000,10,10,0.0740775288110293,0.163985131183389,1,0.0151515151515152
"two-step oracle",0.05,10000,1000,10,10,0.0850644040048467,0,NA,NA
"two-step",0.05,10000,1000,110,10,0.0750749964217785,0.0216975464961691,1,0.0191919191919192
"two-step+refitted",0.05,10000,1000,110,10,0.0514545885494401,0.163590955634704,1,0.0191919191919192
"two-step oracle",0.05,10000,1000,110,10,0.0509140138313262,0,NA,NA
"two-step",0.05,10000,1000,111,10,0.1007007418998,0.0335803999433321,1,0.0262626262626263
"two-step+refitted",0.05,10000,1000,111,10,0.0721549055251843,0.186566855726798,1,0.0262626262626263
"two-step oracle",0.05,10000,1000,111,10,0.0897818671229059,0,NA,NA
"two-step",0.05,10000,1000,112,10,0.0670690183186101,0.0263765992099056,1,0.0111111111111111
"two-step+refitted",0.05,10000,1000,112,10,0.0554941960667874,0.13422942848544,1,0.0111111111111111
"two-step oracle",0.05,10000,1000,112,10,0.0538059396786262,0,NA,NA
"two-step",0.05,10000,1000,113,10,0.0585508260331819,0.0217346321914391,1,0.0111111111111111
"two-step+refitted",0.05,10000,1000,113,10,0.0341248668733077,0.122300764643484,1,0.0111111111111111
"two-step oracle",0.05,10000,1000,113,10,0.0341290444392336,0,NA,NA
"two-step",0.05,10000,1000,114,10,0.0911522900756514,0.0189131621582371,1,0.0101010101010101
"two-step+refitted",0.05,10000,1000,114,10,0.0482961878346281,0.122933538566374,1,0.0101010101010101
"two-step oracle",0.05,10000,1000,114,10,0.0420013513995292,0,NA,NA
"two-step",0.05,10000,1000,115,10,0.0948839434525438,0.0451389014998286,1,0.0292929292929293
"two-step+refitted",0.05,10000,1000,115,10,0.058792107674708,0.193350783678075,1,0.0292929292929293
"two-step oracle",0.05,10000,1000,115,10,0.0597908645270961,0,NA,NA
"two-step",0.05,10000,1000,116,10,0.106832589996314,0.0471545415552372,1,0.0313131313131313
"two-step+refitted",0.05,10000,1000,116,10,0.0588477041148235,0.217166047690896,1,0.0313131313131313
"two-step oracle",0.05,10000,1000,116,10,0.054555341182901,0,NA,NA
"two-step",0.05,10000,1000,117,10,0.0960703979714247,0.00948791902750975,1,0.0121212121212121
"two-step+refitted",0.05,10000,1000,117,10,0.0714118429068749,0.125931970746968,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,117,10,0.0729719955620417,0,NA,NA
"two-step",0.05,10000,1000,118,10,0.0859498462794155,0.0284983752278943,1,0.0151515151515152
"two-step+refitted",0.05,10000,1000,118,10,0.0478794986074538,0.164938726495156,1,0.0151515151515152
"two-step oracle",0.05,10000,1000,118,10,0.0463763134309148,0,NA,NA
"two-step",0.05,10000,1000,119,10,0.0733404455605839,0.0598436188751166,1,0.0595959595959596
"two-step+refitted",0.05,10000,1000,119,10,0.0541882461082702,0.255821367237328,1,0.0595959595959596
"two-step oracle",0.05,10000,1000,119,10,0.0551712599008349,0,NA,NA
"two-step",0.05,10000,1000,11,10,0.101132460293976,0.0307184933735365,1,0.0181818181818182
"two-step+refitted",0.05,10000,1000,11,10,0.0676624042196653,0.172710673741225,1,0.0181818181818182
"two-step oracle",0.05,10000,1000,11,10,0.0704992783740634,0,NA,NA
"two-step",0.05,10000,1000,120,10,0.107145245315786,0.0495269656651813,1,0.0515151515151515
"two-step+refitted",0.05,10000,1000,120,10,0.0930434940928423,0.245898012683275,1,0.0515151515151515
"two-step oracle",0.05,10000,1000,120,10,0.0894538168363947,0,NA,NA
"two-step",0.05,10000,1000,121,10,0.0816606695720786,0.0219962751901418,1,0.0141414141414141
"two-step+refitted",0.05,10000,1000,121,10,0.0562530022699832,0.12895013918183,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,121,10,0.06038281379611,0,NA,NA
"two-step",0.05,10000,1000,122,10,0.0829060983223651,0.0426684481349887,1,0.0343434343434343
"two-step+refitted",0.05,10000,1000,122,10,0.0690374387038567,0.211184705168241,1,0.0343434343434343
"two-step oracle",0.05,10000,1000,122,10,0.066627053803825,0,NA,NA
"two-step",0.05,10000,1000,123,10,0.0766318958206693,0.0373938441887264,1,0.0242424242424242
"two-step+refitted",0.05,10000,1000,123,10,0.0475145266215777,0.192343643686768,1,0.0242424242424242
"two-step oracle",0.05,10000,1000,123,10,0.0464767942919924,0,NA,NA
"two-step",0.05,10000,1000,124,10,0.0724942118578943,0.0401277905020959,1,0.0222222222222222
"two-step+refitted",0.05,10000,1000,124,10,0.048264631520812,0.171099675091675,1,0.0222222222222222
"two-step oracle",0.05,10000,1000,124,10,0.0468956946069345,0,NA,NA
"two-step",0.05,10000,1000,125,10,0.0796894347570809,0.0186330038288803,1,0.0131313131313131
"two-step+refitted",0.05,10000,1000,125,10,0.0455731488430817,0.13045482570438,1,0.0131313131313131
"two-step oracle",0.05,10000,1000,125,10,0.0572424173656534,0,NA,NA
"two-step",0.05,10000,1000,126,10,0.103735892443605,0.0628711921933249,1,0.0404040404040404
"two-step+refitted",0.05,10000,1000,126,10,0.0687783253556372,0.225817302184108,1,0.0404040404040404
"two-step oracle",0.05,10000,1000,126,10,0.0594778759386552,0,NA,NA
"two-step",0.05,10000,1000,127,10,0.0784680738728885,0.034992554545032,1,0.0212121212121212
"two-step+refitted",0.05,10000,1000,127,10,0.0537192974259629,0.170927598597265,1,0.0212121212121212
"two-step oracle",0.05,10000,1000,127,10,0.0546608577915908,0,NA,NA
"two-step",0.05,10000,1000,128,10,0.0664056161604407,0.0603405277595206,1,0.0636363636363636
"two-step+refitted",0.05,10000,1000,128,10,0.0561184892360618,0.257003451181864,1,0.0636363636363636
"two-step oracle",0.05,10000,1000,128,10,0.0566346302947013,0,NA,NA
"two-step",0.05,10000,1000,129,10,0.0772779208741993,0.0463932913661275,1,0.0333333333333333
"two-step+refitted",0.05,10000,1000,129,10,0.0713444261717034,0.208570946443115,1,0.0333333333333333
"two-step oracle",0.05,10000,1000,129,10,0.0710348541989476,0,NA,NA
"two-step",0.05,10000,1000,12,10,0.086655440642439,0.0498034581582234,1,0.0464646464646465
"two-step+refitted",0.05,10000,1000,12,10,0.0852854281477585,0.20937432758163,1,0.0464646464646465
"two-step oracle",0.05,10000,1000,12,10,0.0919569034245933,0,NA,NA
"two-step",0.05,10000,1000,130,10,0.0790916571705066,0.0177962397831124,1,0.0171717171717172
"two-step+refitted",0.05,10000,1000,130,10,0.045890890192613,0.144323282455437,1,0.0171717171717172
"two-step oracle",0.05,10000,1000,130,10,0.0514828138061666,0,NA,NA
"two-step",0.05,10000,1000,131,10,0.0818946432507989,0.0314502919988403,1,0.0353535353535354
"two-step+refitted",0.05,10000,1000,131,10,0.0625649126344957,0.208720481743645,1,0.0353535353535354
"two-step oracle",0.05,10000,1000,131,10,0.0653555335884206,0,NA,NA
"two-step",0.05,10000,1000,132,10,0.0637347861359587,0.0606284379401272,1,0.0474747474747475
"two-step+refitted",0.05,10000,1000,132,10,0.0594003880885104,0.237066431282465,1,0.0474747474747475
"two-step oracle",0.05,10000,1000,132,10,0.0533711559385456,0,NA,NA
"two-step",0.05,10000,1000,133,10,0.101156072790925,0.0114478421328,1,0.00707070707070707
"two-step+refitted",0.05,10000,1000,133,10,0.0489466553572796,0.109426040995109,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,133,10,0.0488601098552978,0,NA,NA
"two-step",0.05,10000,1000,134,10,0.103669944183571,0.0260799330282262,1,0.0212121212121212
"two-step+refitted",0.05,10000,1000,134,10,0.0637430491598494,0.17719864620371,1,0.0212121212121212
"two-step oracle",0.05,10000,1000,134,10,0.0661603605405673,0,NA,NA
"two-step",0.05,10000,1000,135,10,0.05963363112606,0.0254975774670685,1,0.0303030303030303
"two-step+refitted",0.05,10000,1000,135,10,0.0617093767965996,0.182914237792109,1,0.0303030303030303
"two-step oracle",0.05,10000,1000,135,10,0.0592604577348105,0,NA,NA
"two-step",0.05,10000,1000,136,10,0.100560329028428,0.0259525826956384,1,0.0121212121212121
"two-step+refitted",0.05,10000,1000,136,10,0.0779213279046632,0.132160358728002,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,136,10,0.0927273469817086,0,NA,NA
"two-step",0.05,10000,1000,137,10,0.0828739464076984,0.00947577990720003,1,0.00303030303030303
"two-step+refitted",0.05,10000,1000,137,10,0.0433883631122264,0.0758475538306271,1,0.00303030303030303
"two-step oracle",0.05,10000,1000,137,10,0.0439214321934702,0,NA,NA
"two-step",0.05,10000,1000,138,10,0.0783122208442931,0.0346301790493945,1,0.0232323232323232
"two-step+refitted",0.05,10000,1000,138,10,0.0478111591135394,0.198528570887018,1,0.0232323232323232
"two-step oracle",0.05,10000,1000,138,10,0.0468575998348005,0,NA,NA
"two-step",0.05,10000,1000,139,10,0.0989902910270025,0.0399665820886036,1,0.0181818181818182
"two-step+refitted",0.05,10000,1000,139,10,0.0646234392967014,0.175063198226776,1,0.0181818181818182
"two-step oracle",0.05,10000,1000,139,10,0.0692561613123695,0,NA,NA
"two-step",0.05,10000,1000,13,10,0.0978372141760697,0.0412906243768638,1,0.0222222222222222
"two-step+refitted",0.05,10000,1000,13,10,0.0514731305708101,0.178623339496651,1,0.0222222222222222
"two-step oracle",0.05,10000,1000,13,10,0.0461068607837625,0,NA,NA
"two-step",0.05,10000,1000,140,10,0.15056195764153,0.0543928844977805,1,0.0282828282828283
"two-step+refitted",0.05,10000,1000,140,10,0.107768569073821,0.232465888113755,1,0.0282828282828283
"two-step oracle",0.05,10000,1000,140,10,0.111982977645587,0,NA,NA
"two-step",0.05,10000,1000,141,10,0.0755224978844659,0.0380416283840708,1,0.0202020202020202
"two-step+refitted",0.05,10000,1000,141,10,0.0493308295075972,0.179333734724762,1,0.0202020202020202
"two-step oracle",0.05,10000,1000,141,10,0.0564092713559175,0,NA,NA
"two-step",0.05,10000,1000,142,10,0.0799680408751748,0.0406998896246991,1,0.0313131313131313
"two-step+refitted",0.05,10000,1000,142,10,0.0625101121905907,0.224160185697075,1,0.0313131313131313
"two-step oracle",0.05,10000,1000,142,10,0.0621321783361057,0,NA,NA
"two-step",0.05,10000,1000,143,10,0.0986627417436006,0.0258917131367236,1,0.0191919191919192
"two-step+refitted",0.05,10000,1000,143,10,0.0594074531891113,0.172928571745817,1,0.0191919191919192
"two-step oracle",0.05,10000,1000,143,10,0.0570495390062448,0,NA,NA
"two-step",0.05,10000,1000,144,10,0.0944925760992776,0.0275718014987522,1,0.0171717171717172
"two-step+refitted",0.05,10000,1000,144,10,0.066693655927496,0.178597219924181,1,0.0171717171717172
"two-step oracle",0.05,10000,1000,144,10,0.0701476309345894,0,NA,NA
"two-step",0.05,10000,1000,145,10,0.0711129734586555,0.0556969660383745,1,0.0383838383838384
"two-step+refitted",0.05,10000,1000,145,10,0.0556876009788467,0.21791193326486,1,0.0383838383838384
"two-step oracle",0.05,10000,1000,145,10,0.059815639961781,0,NA,NA
"two-step",0.05,10000,1000,146,10,0.0647688968613112,0.0357494263680806,1,0.0383838383838384
"two-step+refitted",0.05,10000,1000,146,10,0.0323395636489908,0.195302301617095,1,0.0383838383838384
"two-step oracle",0.05,10000,1000,146,10,0.0361094213619775,0,NA,NA
"two-step",0.05,10000,1000,147,10,0.0689706790889647,0.0508824865579753,1,0.0323232323232323
"two-step+refitted",0.05,10000,1000,147,10,0.0441994811431762,0.219419193803235,1,0.0323232323232323
"two-step oracle",0.05,10000,1000,147,10,0.0482375506465078,0,NA,NA
"two-step",0.05,10000,1000,148,10,0.097050475254039,0.0348004567137348,1,0.0131313131313131
"two-step+refitted",0.05,10000,1000,148,10,0.0625826401096936,0.15050221037128,1,0.0131313131313131
"two-step oracle",0.05,10000,1000,148,10,0.0652314556626656,0,NA,NA
"two-step",0.05,10000,1000,149,10,0.0562149659874799,0.049942499148488,1,0.0404040404040404
"two-step+refitted",0.05,10000,1000,149,10,0.0518517034131304,0.214838141228814,1,0.0404040404040404
"two-step oracle",0.05,10000,1000,149,10,0.0483254081532438,0,NA,NA
"two-step",0.05,10000,1000,14,10,0.0637858631297962,0.0639306329331781,1,0.0414141414141414
"two-step+refitted",0.05,10000,1000,14,10,0.0345731933931862,0.216642237769085,1,0.0414141414141414
